"","lowgel.baseline-Placebo.baseline","Placebo.baseline-Placebo.postgel"
"2",0,-1
"3",0,0
"4",0,1
"6",0,0
"7",0,0
"8",0,0
"11",0,0
"12",0,0
"13",0,0
"14",0,0
"15",0,0
"16",0,0
"17",0,0
"19",0,0
"23",0,0
"24",0,0
"25",0,0
"29",0,0
"30",0,0
"32",0,0
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"38",0,0
"41",0,1
"42",0,0
"43",0,0
"45",0,-1
"49",0,0
"50",0,-1
"51",0,1
"52",0,1
"53",0,0
"54",0,0
"55",0,0
"57",0,0
"58",0,1
"63",0,0
"66",0,0
"69",0,0
"73",0,0
"79",0,1
"80",0,0
"81",0,0
"82",-1,1
"83",0,1
"85",0,0
"86",0,0
"87",0,0
"88",-1,0
"89",0,1
"90",0,0
"91",0,1
"92",0,0
"93",0,0
"95",0,0
"96",0,0
"97",0,0
"98",0,1
"99",0,0
"100",0,1
"101",0,0
"102",0,0
"104",0,0
"105",0,-1
"106",0,0
"107",0,0
"108",0,0
"109",0,0
"110",0,0
"111",0,0
"113",0,0
"114",0,-1
"115",0,0
"117",0,0
"118",0,0
"119",0,0
"120",0,0
"121",-1,0
"122",0,0
"127",0,0
"128",0,0
"129",0,0
"130",0,1
"131",0,0
"132",0,0
"133",0,0
"134",0,0
"136",0,0
"137",0,0
"138",0,1
"143",1,0
"144",0,0
"146",0,0
"147",0,0
"148",0,0
"150",0,0
"151",0,0
"152",0,0
"153",0,0
"154",0,0
"155",0,0
"157",0,-1
"158",0,0
"159",0,0
"160",0,0
"161",0,0
"163",0,-1
"164",0,0
"166",0,0
"167",0,-1
"168",0,0
"169",0,0
"170",0,0
"172",0,0
"173",0,0
"174",0,0
"175",0,0
"176",0,0
"177",0,0
"180",0,0
"181",0,0
"182",0,0
"183",0,0
"185",0,1
"187",0,0
"192",0,-1
"194",0,0
"196",0,0
"198",0,0
"200",0,0
"202",0,1
"217",0,0
"222",0,0
"236",0,0
"237",0,0
"239",0,0
"240",0,-1
"241",0,0
"242",0,0
"243",0,0
"244",0,0
"245",0,0
"247",0,0
"248",0,0
"249",0,0
"250",0,0
"251",0,0
"252",0,0
"253",0,0
"255",0,0
"258",0,0
"259",0,0
"261",0,0
"262",0,0
"263",0,0
"267",0,0
"269",0,0
"271",1,-1
"272",0,0
"273",0,0
"274",0,0
"276",0,0
"278",0,0
"279",0,0
"284",0,0
"285",0,-1
"286",0,-1
"287",0,0
"288",0,0
"290",0,0
"292",0,0
"295",0,0
"296",0,0
"299",0,0
"316",0,-1
"319",0,0
"320",0,0
"322",0,0
"323",0,0
"324",0,0
"325",0,0
"327",0,0
"328",0,0
"329",0,0
"331",0,1
"332",0,0
"335",0,0
"338",0,0
"340",0,0
"342",0,-1
"346",0,0
"347",0,0
"348",0,0
"349",0,0
"350",0,0
"352",0,0
"354",0,0
"361",0,0
"362",0,-1
"363",0,0
"364",0,0
"365",0,0
"367",0,1
"368",0,0
"373",0,0
"375",0,0
"380",0,0
"381",-1,1
"382",0,0
"383",0,0
"384",0,0
"385",0,0
"386",0,0
"388",0,0
"389",0,0
"390",0,0
"394",0,0
"396",0,-1
"398",0,0
"400",0,0
"406",0,0
"408",0,0
"412",0,0
"413",0,0
"415",0,0
"416",0,0
"418",0,0
"420",0,0
"421",0,0
"423",0,0
"425",0,0
"426",1,0
"427",0,0
"431",0,1
"433",0,0
"438",0,-1
"439",0,0
"440",0,0
"441",0,0
"444",0,0
"445",0,0
"446",0,0
"447",0,0
"450",0,0
"451",0,0
"454",0,0
"455",0,0
"456",0,0
"457",0,-1
"459",0,0
"460",0,0
"461",0,0
"462",0,0
"463",0,0
"464",0,0
"465",0,0
"466",0,0
"468",0,0
"469",0,0
"470",-1,1
"472",0,1
"474",0,0
"475",0,0
"476",0,0
"478",0,1
"480",0,0
"482",0,-1
"484",0,0
"487",0,0
"488",0,0
"489",0,0
"491",0,0
"492",0,0
"493",0,0
"494",0,-1
"495",0,0
"496",0,0
"497",0,0
"498",0,0
"500",0,0
"501",0,0
"506",0,0
"509",0,0
"510",0,0
"511",0,0
"512",0,0
"514",0,0
"515",0,0
"516",0,0
"517",0,-1
"518",0,0
"519",0,-1
"521",0,0
"522",0,-1
"525",0,0
"526",0,0
"527",0,0
"528",0,0
"529",0,0
"530",0,0
"532",0,0
"533",0,0
"535",0,0
"536",0,0
"537",0,0
"538",0,0
"541",0,0
"542",0,0
"544",0,0
"545",0,0
"547",0,0
"548",0,0
"551",0,0
"552",0,0
"553",0,-1
"554",0,0
"557",0,0
"558",0,0
"560",0,0
"564",0,0
"565",0,0
"567",0,0
"568",0,0
"572",0,0
"574",0,0
"576",0,0
"577",0,0
"578",0,0
"579",0,1
"584",0,0
"585",0,0
"586",0,0
"587",0,0
"588",0,0
"589",0,0
"593",0,0
"596",0,0
"597",0,0
"602",0,1
"603",0,-1
"604",0,0
"605",0,0
"606",0,0
"610",0,-1
"612",0,-1
"613",0,0
"618",0,0
"619",0,0
"620",0,0
"621",0,0
"623",0,-1
"626",0,0
"627",0,0
"628",0,-1
"629",0,0
"630",0,0
"631",0,0
"632",0,0
"633",0,0
"634",0,0
"635",0,0
"636",0,0
"637",0,0
"638",0,0
"639",0,0
"640",0,0
"641",0,0
"643",0,0
"647",0,0
"648",0,0
"650",0,0
"651",0,-1
"652",0,0
"653",0,0
"654",0,0
"655",0,-1
"657",0,1
"658",0,0
"660",0,0
"661",0,0
"662",0,1
"663",0,0
"665",0,0
"667",0,0
"668",0,0
"673",0,0
"674",0,-1
"675",0,0
"676",0,-1
"677",0,0
"680",0,0
"681",0,0
"683",0,0
"685",0,0
"687",0,0
"689",0,0
"690",0,1
"691",0,0
"693",0,0
"694",0,0
"695",0,0
"697",0,0
"698",0,0
"699",-1,0
"703",0,-1
"704",0,0
"705",0,0
"706",0,0
"707",0,0
"709",0,0
"710",0,0
"712",0,-1
"714",0,0
"715",0,0
"721",0,0
"723",0,0
"724",0,0
"726",0,0
"727",0,0
"730",0,0
"731",0,0
"732",0,0
"734",0,0
"737",0,0
"738",0,0
"739",0,0
"743",0,0
"744",0,0
"745",0,0
"749",0,0
"750",0,0
"751",0,1
"754",0,0
"755",0,0
"758",0,1
"759",0,0
"765",0,0
"768",0,0
"772",0,0
"774",-1,0
"775",0,0
"776",0,0
"778",0,0
"780",0,0
"782",0,0
"784",0,0
"785",0,0
"786",0,0
"787",-1,0
"788",0,0
"791",0,0
"792",0,0
"793",0,0
"794",0,0
"795",0,0
"797",0,1
"801",-1,1
"802",0,1
"803",0,0
"804",0,0
"805",0,0
"806",0,0
"808",0,0
"809",0,0
"811",0,0
"812",0,0
"813",0,0
"814",0,0
"815",0,0
"816",0,0
"819",0,0
"824",0,0
"825",0,0
"826",0,0
"828",0,0
"829",0,0
"830",0,0
"831",0,0
"832",0,0
"833",0,0
"834",0,0
"836",0,1
"838",0,0
"841",0,0
"842",0,0
"843",0,0
"844",0,0
"845",0,0
"846",1,0
"847",0,0
"850",0,0
"851",0,0
"854",0,0
"855",0,0
"856",0,0
"857",0,0
"859",0,0
"860",0,-1
"865",0,0
"868",0,0
"869",0,0
"871",0,0
"872",0,0
"873",0,0
"875",0,0
"876",0,0
"877",0,0
"878",0,0
"880",0,0
"881",0,0
"882",0,0
"883",0,0
"884",0,0
"885",0,0
"886",0,0
"888",0,1
"890",0,0
"891",0,0
"892",0,0
"893",0,0
"894",0,0
"895",0,0
"896",0,0
"897",0,0
"901",0,0
"902",0,0
"903",0,0
"904",0,0
"906",0,0
"907",0,0
"913",0,0
"915",0,0
"916",0,0
"919",0,0
"922",1,0
"924",0,0
"935",0,0
"939",0,0
"945",0,0
"946",0,0
"947",0,0
"951",0,0
"953",0,0
"958",0,0
"959",0,0
"961",0,0
"962",0,0
"963",0,0
"964",0,0
"965",0,0
"967",0,0
"968",0,0
"970",0,0
"976",0,0
"977",0,-1
"979",0,0
"980",0,0
"981",0,0
"982",0,1
"984",0,-1
"986",0,0
"987",0,0
"989",0,0
"990",0,0
"992",0,0
"993",0,0
"995",0,0
"997",0,0
"998",0,0
"999",0,0
"1001",0,0
"1002",0,0
"1003",0,0
"1004",0,0
"1005",0,0
"1006",0,0
"1007",0,1
"1008",0,0
"1010",0,0
"1012",0,1
"1013",0,0
"1014",0,0
"1024",0,-1
"1025",0,0
"1033",0,1
"1034",0,0
"1035",0,0
"1036",0,0
"1038",0,-1
"1041",0,0
"1042",0,0
"1043",0,0
"1044",0,0
"1045",0,0
"1046",0,0
"1047",0,1
"1048",0,0
"1052",0,0
"1055",0,0
"1057",0,0
"1059",0,0
"1060",0,0
"1061",0,0
"1068",0,0
"1069",0,0
"1070",0,0
"1072",0,0
"1073",0,0
"1077",0,0
"1078",0,0
"1079",0,0
"1083",0,0
"1084",0,0
"1086",0,0
"1088",0,0
"1089",0,-1
"1091",0,-1
"1093",0,0
"1096",0,1
"1097",0,0
"1098",0,0
"1101",0,0
"1104",0,0
"1105",0,0
"1108",0,0
"1109",0,0
"1111",0,0
"1112",0,0
"1115",0,1
"1116",0,0
"1117",0,0
"1118",0,0
"1119",0,0
"1120",0,0
"1121",0,0
"1122",0,0
"1123",0,0
"1125",0,-1
"1126",0,0
"1135",0,0
"1136",0,0
"1137",0,0
"1138",0,0
"1139",0,0
"1142",0,0
"1146",0,0
"1147",0,0
"1155",0,-1
"1156",0,0
"1158",0,0
"1159",0,0
"1161",0,0
"1162",0,0
"1164",0,-1
"1165",0,0
"1166",0,0
"1167",0,0
"1171",0,-1
"1173",0,0
"1174",0,1
"1176",0,0
"1177",0,0
"1186",0,0
