,sampleName,numberOfInputReads,sampleNameDesc,pctUniquelyMappedReads,pctMappedMultipleLoci,pctUnMappedTooManyLoci,pctUnMappedTooManyMismatches,pctUnMappedTooShort,pctUnMappedOther
0,DH91-BL_S5_R1_001,37634721,DH91-BL_S5_R1_001 (37634721 reads),84.87,5.46,0.14,0.0,9.46,0.07
1,DH91-PG_S14_R1_001,39060465,DH91-PG_S14_R1_001 (39060465 reads),88.53,6.09,0.1,0.0,5.22,0.05
2,DV13-BL_S1_R1_001,36226708,DV13-BL_S1_R1_001 (36226708 reads),88.52,5.97,0.1,0.0,5.35,0.06
3,DV13-PG_S3_R1_001,19348988,DV13-PG_S3_R1_001 (19348988 reads),86.65,6.07,0.11,0.0,7.11,0.06
4,EJ42-BL_S9_R1_001,39359607,EJ42-BL_S9_R1_001 (39359607 reads),87.46,5.87,0.12,0.0,6.48,0.07
5,EJ42-PG_S15_R1_001,38859439,EJ42-PG_S15_R1_001 (38859439 reads),87.84,5.98,0.11,0.0,6.0,0.07
6,EL86-BL_S3_R1_001,37892030,EL86-BL_S3_R1_001 (37892030 reads),88.62,5.57,0.12,0.0,5.62,0.07
7,EL86-PG_S2_R1_001,18875175,EL86-PG_S2_R1_001 (18875175 reads),87.52,6.23,0.12,0.0,6.07,0.06
8,FC50-BL_S11_R1_001,37481493,FC50-BL_S11_R1_001 (37481493 reads),87.11,7.26,0.11,0.0,5.45,0.07
9,FC50-PG_S6_R1_001,19748450,FC50-PG_S6_R1_001 (19748450 reads),85.8,6.43,0.1,0.0,7.61,0.06
10,FF66-BL_S4_R1_001,40415125,FF66-BL_S4_R1_001 (40415125 reads),88.9,5.6,0.11,0.0,5.32,0.06
11,FF66-PG_S1_R1_001,17796608,FF66-PG_S1_R1_001 (17796608 reads),88.56,5.91,0.11,0.0,5.36,0.06
12,FH29-BL_S10_R1_001,37950105,FH29-BL_S10_R1_001 (37950105 reads),88.5,5.63,0.12,0.0,5.66,0.08
13,FH29-PG_S4_R1_001,19085547,FH29-PG_S4_R1_001 (19085547 reads),87.36,6.38,0.11,0.0,6.09,0.06
14,FV47-BL_S13_R1_001,39575354,FV47-BL_S13_R1_001 (39575354 reads),89.28,5.72,0.1,0.0,4.83,0.08
15,FV47-PG_S15_R1_001,18465873,FV47-PG_S15_R1_001 (18465873 reads),87.04,6.19,0.11,0.0,6.6,0.06
16,GB85-PG_S8_R1_001,17720839,GB85-PG_S8_R1_001 (17720839 reads),83.92,6.15,0.11,0.0,9.77,0.05
17,GC05-BL_S7_R1_001,38194996,GC05-BL_S7_R1_001 (38194996 reads),87.6,5.59,0.11,0.0,6.63,0.07
18,GC05-PG_S13_R1_001,18325322,GC05-PG_S13_R1_001 (18325322 reads),87.87,6.21,0.11,0.0,5.75,0.06
19,GI57-PG_S9_R1_001,19839369,GI57-PG_S9_R1_001 (19839369 reads),84.59,8.6,0.11,0.0,6.65,0.05
20,GK45-BL_S12_R1_001,35724369,GK45-BL_S12_R1_001 (35724369 reads),88.49,5.85,0.14,0.0,5.46,0.06
21,GK45-PG_S12_R1_001,17537904,GK45-PG_S12_R1_001 (17537904 reads),86.71,5.89,0.16,0.0,7.19,0.06
22,HA05-BL_S6_R1_001,40049766,HA05-BL_S6_R1_001 (40049766 reads),87.18,5.53,0.1,0.0,7.12,0.06
23,HA05-PG_S7_R1_001,18612494,HA05-PG_S7_R1_001 (18612494 reads),87.95,6.15,0.1,0.0,5.73,0.06
24,HH78-BL_S8_R1_001,39525293,HH78-BL_S8_R1_001 (39525293 reads),88.02,6.01,0.1,0.0,5.8,0.06
25,HH78-PG_S10_R1_001,18343325,HH78-PG_S10_R1_001 (18343325 reads),86.98,6.24,0.1,0.0,6.64,0.06
26,HH91-BL_S2_R1_001,39228269,HH91-BL_S2_R1_001 (39228269 reads),88.6,5.97,0.12,0.0,5.25,0.06
27,HH91-PG_S14_R1_001,18185250,HH91-PG_S14_R1_001 (18185250 reads),87.1,5.92,0.11,0.0,6.82,0.06
28,HI81-PG_S5_R1_001,18603546,HI81-PG_S5_R1_001 (18603546 reads),87.45,6.32,0.13,0.0,6.04,0.06
29,IC87-PG_S11_R1_001,18577084,IC87-PG_S11_R1_001 (18577084 reads),87.92,6.17,0.11,0.0,5.75,0.06
