sampleName,numberOfInputReads,pctUniquelyMappedReads,pctMappedMultipleLoci,pctUnMappedTooManyLoci,pctUnMappedTooShort,pctUnMappedOther
DH91-BL_S5_R1_001,37634721,84.87,5.46,0.14,9.46,0.07
DH91-PG_S14_R1_001,39060465,88.53,6.09,0.1,5.22,0.05
DV13-BL_S1_R1_001,36226708,88.52,5.97,0.1,5.35,0.06
DV13-PG_S3_R1_001,19348988,86.65,6.07,0.11,7.11,0.06
EJ42-BL_S9_R1_001,39359607,87.46,5.87,0.12,6.48,0.07
EJ42-PG_S15_R1_001,38859439,87.84,5.98,0.11,6.0,0.07
EL86-BL_S3_R1_001,37892030,88.62,5.57,0.12,5.62,0.07
EL86-PG_S2_R1_001,18875175,87.52,6.23,0.12,6.07,0.06
FC50-BL_S11_R1_001,37481493,87.11,7.26,0.11,5.45,0.07
FC50-PG_S6_R1_001,19748450,85.8,6.43,0.1,7.61,0.06
FF66-BL_S4_R1_001,40415125,88.9,5.6,0.11,5.32,0.06
FF66-PG_S1_R1_001,17796608,88.56,5.91,0.11,5.36,0.06
FH29-BL_S10_R1_001,37950105,88.5,5.63,0.12,5.66,0.08
FH29-PG_S4_R1_001,19085547,87.36,6.38,0.11,6.09,0.06
FV47-BL_S13_R1_001,39575354,89.28,5.72,0.1,4.83,0.08
FV47-PG_S15_R1_001,18465873,87.04,6.19,0.11,6.6,0.06
GB85-PG_S8_R1_001,17720839,83.92,6.15,0.11,9.77,0.05
GC05-BL_S7_R1_001,38194996,87.6,5.59,0.11,6.63,0.07
GC05-PG_S13_R1_001,18325322,87.87,6.21,0.11,5.75,0.06
GI57-PG_S9_R1_001,19839369,84.59,8.6,0.11,6.65,0.05
GK45-BL_S12_R1_001,35724369,88.49,5.85,0.14,5.46,0.06
GK45-PG_S12_R1_001,17537904,86.71,5.89,0.16,7.19,0.06
HA05-BL_S6_R1_001,40049766,87.18,5.53,0.1,7.12,0.06
HA05-PG_S7_R1_001,18612494,87.95,6.15,0.1,5.73,0.06
HH78-BL_S8_R1_001,39525293,88.02,6.01,0.1,5.8,0.06
HH78-PG_S10_R1_001,18343325,86.98,6.24,0.1,6.64,0.06
HH91-BL_S2_R1_001,39228269,88.6,5.97,0.12,5.25,0.06
HH91-PG_S14_R1_001,18185250,87.1,5.92,0.11,6.82,0.06
HI81-PG_S5_R1_001,18603546,87.45,6.32,0.13,6.04,0.06
IC87-PG_S11_R1_001,18577084,87.92,6.17,0.11,5.75,0.06
