##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	DH91-BL_S5_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	41323462
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.4155253739389	32.0	32.0	32.0	32.0	32.0
2	31.520379681644293	32.0	32.0	32.0	32.0	32.0
3	31.546685246265184	32.0	32.0	32.0	32.0	32.0
4	31.559912139016813	32.0	32.0	32.0	32.0	32.0
5	31.587677649079836	32.0	32.0	32.0	32.0	32.0
6	35.13249318268639	36.0	36.0	36.0	36.0	36.0
7	35.14925852533846	36.0	36.0	36.0	36.0	36.0
8	35.104963543470774	36.0	36.0	36.0	36.0	36.0
9	35.103999297057925	36.0	36.0	36.0	36.0	36.0
10-11	35.10439485926905	36.0	36.0	36.0	36.0	36.0
12-13	35.1218368635232	36.0	36.0	36.0	36.0	36.0
14-15	35.10263358379799	36.0	36.0	36.0	36.0	36.0
16-17	35.09277084528881	36.0	36.0	36.0	36.0	36.0
18-19	35.07573882604512	36.0	36.0	36.0	36.0	36.0
20-21	35.058067835652295	36.0	36.0	36.0	36.0	36.0
22-23	35.02067309849305	36.0	36.0	36.0	36.0	36.0
24-25	34.986165208036056	36.0	36.0	36.0	36.0	36.0
26-27	34.90933932873688	36.0	36.0	36.0	36.0	36.0
28-29	34.871872272960694	36.0	36.0	36.0	36.0	36.0
30-31	34.832669823242554	36.0	36.0	36.0	32.0	36.0
32-33	34.80297862212531	36.0	36.0	36.0	32.0	36.0
34-35	34.77590120444667	36.0	36.0	36.0	32.0	36.0
36-37	34.74811509251322	36.0	36.0	36.0	32.0	36.0
38-39	34.71573837278183	36.0	36.0	36.0	32.0	36.0
40-41	34.68945194523713	36.0	36.0	36.0	32.0	36.0
42-43	34.667568763477234	36.0	36.0	36.0	32.0	36.0
44-45	34.63224991612109	36.0	36.0	36.0	32.0	36.0
46-47	34.59638269529077	36.0	36.0	36.0	32.0	36.0
48-49	34.54860903882551	36.0	36.0	36.0	32.0	36.0
50-51	34.50647743338314	36.0	36.0	36.0	32.0	36.0
52-53	34.45755959967835	36.0	36.0	36.0	32.0	36.0
54-55	34.40871555765352	36.0	36.0	36.0	32.0	36.0
56-57	34.340478916032566	36.0	36.0	36.0	32.0	36.0
58-59	34.2720471826953	36.0	36.0	36.0	32.0	36.0
60-61	34.21699686417102	36.0	36.0	36.0	32.0	36.0
62-63	34.15303303801504	36.0	36.0	36.0	32.0	36.0
64-65	34.09540248708406	36.0	36.0	36.0	32.0	36.0
66-67	34.03567096437537	36.0	36.0	36.0	32.0	36.0
68-69	33.985353791227084	36.0	36.0	36.0	32.0	36.0
70-71	33.93327352696822	36.0	36.0	36.0	32.0	36.0
72-73	33.882745668985095	36.0	36.0	36.0	32.0	36.0
74-75	33.812099322458124	36.0	36.0	36.0	27.0	36.0
76	32.34894252879475	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.08333487988097588
11101	2	0.05378116254343723
11101	3	0.044115608282808694
11101	4	0.038511657508994546
11101	5	0.043405498229599715
11101	6	0.08363170580979329
11101	7	0.02552684645214498
11101	8	0.0892038481857611
11101	9	0.11778294808160439
11101	10-11	0.06933676185381188
11101	12-13	0.054344705016816874
11101	14-15	0.09364859258054281
11101	16-17	0.1274484648702341
11101	18-19	0.08176100421711396
11101	20-21	0.12976981469883953
11101	22-23	0.06285937420530274
11101	24-25	0.14783093719376694
11101	26-27	0.06385521352404311
11101	28-29	0.09914302061176983
11101	30-31	0.16191485547828677
11101	32-33	0.13237743856891626
11101	34-35	0.09463798718770988
11101	36-37	0.14043660506933264
11101	38-39	0.16490246972313827
11101	40-41	0.1549020056173589
11101	42-43	0.12781649592866273
11101	44-45	0.15781578163210952
11101	46-47	0.16273321018510956
11101	48-49	0.17037742084066565
11101	50-51	0.17533005121126877
11101	52-53	0.1659881161537058
11101	54-55	0.17820937792119196
11101	56-57	0.14357367085271022
11101	58-59	0.17012461154816094
11101	60-61	0.19638122921905676
11101	62-63	0.16807029932089534
11101	64-65	0.15445250010950673
11101	66-67	0.29797789047526635
11101	68-69	0.357566642587237
11101	70-71	0.26884501923412074
11101	72-73	0.26852948054667536
11101	74-75	0.25322244771440694
11101	76	0.5118271385863338
11102	1	0.10375766508627038
11102	2	0.02506128113391526
11102	3	0.046894530696736325
11102	4	0.03461904859799958
11102	5	0.033321462510855326
11102	6	0.0983511094676075
11102	7	0.13576083041445486
11102	8	0.09530770896634522
11102	9	0.06899353016203946
11102	10-11	0.06953864626077433
11102	12-13	0.0892472283104766
11102	14-15	0.12154442310220759
11102	16-17	0.08873925934866378
11102	18-19	0.1096722641799488
11102	20-21	0.07942955549076203
11102	22-23	0.10401575009372266
11102	24-25	0.0994551513842552
11102	26-27	0.17001320462814107
11102	28-29	0.17261850702516313
11102	30-31	0.10068617101491384
11102	32-33	0.12141206797606685
11102	34-35	0.12414374391443062
11102	36-37	0.11135988725037294
11102	38-39	0.17199277798363966
11102	40-41	0.13997461917317366
11102	42-43	0.1321216872405131
11102	44-45	0.15905451056702447
11102	46-47	0.17702194375839042
11102	48-49	0.18639802750079326
11102	50-51	0.1970313377082462
11102	52-53	0.09521630832797712
11102	54-55	0.2308421387924895
11102	56-57	0.19722056765335338
11102	58-59	0.12051393776631869
11102	60-61	0.10575181523248744
11102	62-63	0.1392355240485088
11102	64-65	0.13166747555536773
11102	66-67	0.11728137256579885
11102	68-69	0.13284142502570973
11102	70-71	0.14586379185103482
11102	72-73	0.1861984275947819
11102	74-75	0.2291969567154979
11102	76	0.24451823832132646
11103	1	0.1300696571186215
11103	2	0.05215681228161628
11103	3	0.009799838980381281
11103	4	0.044711098146290595
11103	5	-0.014693293390564577
11103	6	0.0164281807368738
11103	7	0.03339684393845488
11103	8	0.044131462689321665
11103	9	0.08648682712074418
11103	10-11	0.09103157435504272
11103	12-13	0.10020758189087786
11103	14-15	0.042586176152546784
11103	16-17	0.02334870481546858
11103	18-19	0.04537746537818066
11103	20-21	0.07351953966290381
11103	22-23	0.009047313705025317
