#Transcript position	Transcript coverage profile
0.0	4699.491322762432
1.0	5305.941527820697
2.0	6291.692112940682
3.0	6916.1181707354
4.0	7690.009156565759
5.0	7676.463846997689
6.0	7725.318858128705
7.0	7667.583419380775
8.0	7758.403886365065
9.0	8099.874703791394
10.0	8901.259592795628
11.0	9425.519738338282
12.0	9738.277606561058
13.0	10022.512755764024
14.0	10065.83012915513
15.0	10375.749549681246
16.0	10712.700075402267
17.0	10708.778082686882
18.0	11236.82970147565
19.0	11501.03076311809
20.0	12091.884491419149
21.0	12189.999912877809
22.0	12069.356565661305
23.0	12384.925110904753
24.0	12166.906199945415
25.0	12430.574041103115
26.0	12899.312527847642
27.0	12782.424087534891
28.0	12991.817091400904
29.0	13001.324729451411
30.0	13224.729957392305
31.0	13376.127453088804
32.0	13922.209353361543
33.0	14206.313304400652
34.0	13814.196768204749
35.0	14313.130520114062
36.0	13965.765133402036
37.0	14105.746427853668
38.0	14314.480060121368
39.0	14848.065889871059
40.0	14751.012346976144
41.0	15164.904659232576
42.0	15774.87673848568
43.0	15919.373917007479
44.0	15747.12363167141
45.0	15228.722224528577
46.0	15606.702860747855
47.0	15639.09827068315
48.0	15413.232904569444
49.0	15737.08969858483
50.0	15686.502070841296
51.0	15762.692785611165
52.0	15796.060185996936
53.0	15963.814915373438
54.0	15892.044179083208
55.0	15996.079586708747
56.0	16032.187330038336
57.0	16014.161576831522
58.0	16035.003610663905
59.0	15889.557495022333
60.0	15807.944913740315
61.0	15815.232407130336
62.0	15815.7786205639
63.0	15872.161658232088
64.0	15380.507209868974
65.0	15315.661564574953
66.0	14900.577921080921
67.0	14705.06298626745
68.0	14951.565037913062
69.0	15021.716587812632
70.0	14965.8041233113
71.0	15139.500336598563
72.0	15206.003061920184
73.0	15294.40636581279
74.0	14768.994034013167
75.0	14464.662088896317
76.0	13837.326976338416
77.0	13603.118232319228
78.0	13648.018554005148
79.0	13179.661808598747
80.0	13022.659677199
81.0	12752.260427084713
82.0	12233.429299834164
83.0	11517.214850344737
84.0	11246.322734112307
85.0	10994.076436866846
86.0	10808.930346051575
87.0	10672.841704443937
88.0	10335.517913978705
89.0	9502.44975427471
90.0	9003.289646162937
91.0	8393.61936893568
92.0	7781.775980585833
93.0	6100.400961428827
94.0	5079.452335231026
95.0	3711.729257630023
96.0	2740.7114230278517
97.0	1992.6070113817646
98.0	1275.6620018238223
99.0	283.62261259192474
