#Transcript position	Transcript coverage profile
0.0	7193.412027666033
1.0	8101.3448386794125
2.0	9358.3368606628
3.0	10316.690408221113
4.0	11419.12582523392
5.0	11751.210050811173
6.0	12107.066641534539
7.0	12320.002429115642
8.0	12669.447479638087
9.0	13240.728734352922
10.0	14252.802666834816
11.0	14977.014641185138
12.0	15445.817523860302
13.0	15908.55600141953
14.0	16137.484227368312
15.0	16633.54499814734
16.0	17102.452432362767
17.0	17209.819294281995
18.0	17850.51014349091
19.0	18225.073400234556
20.0	18904.31945544622
21.0	19125.575041343018
22.0	19149.219595818668
23.0	19545.35987397809
24.0	19409.556059001974
25.0	19766.042747948894
26.0	20333.28338027186
27.0	20249.459178592566
28.0	20491.25957231007
29.0	20584.388463540297
30.0	20859.828112487667
31.0	21026.90280135423
32.0	21621.821832818572
33.0	22001.813590027574
34.0	21649.252564525646
35.0	22184.5156994629
36.0	21910.323892487035
37.0	22126.08741784213
38.0	22406.31231044116
39.0	22982.906395991533
40.0	22914.12537906805
41.0	23332.935540806495
42.0	23917.197183509477
43.0	24083.97465331951
44.0	23935.910793591793
45.0	23523.747072993378
46.0	23972.434723457965
47.0	24041.118730047685
48.0	23808.59544492801
49.0	24148.59532504404
50.0	24137.71098454257
51.0	24242.367917467986
52.0	24325.35332107866
53.0	24497.04948945295
54.0	24402.884620662215
55.0	24539.28682410139
56.0	24613.93973691092
57.0	24618.50566375382
58.0	24654.36366326589
59.0	24573.12154996029
60.0	24549.855017694765
61.0	24558.567139659357
62.0	24506.026172775033
63.0	24559.43297590008
64.0	24119.98746786696
65.0	24102.44818434537
66.0	23725.332863788157
67.0	23540.882212915603
68.0	23769.088291216944
69.0	23898.44178680757
70.0	23868.907093066253
71.0	24041.428571990902
72.0	24078.8039179221
73.0	24128.934318683598
74.0	23592.393323532655
75.0	23286.79970327127
76.0	22716.309675801633
77.0	22440.786076104756
78.0	22424.29820845388
79.0	21907.073298557818
80.0	21678.337820080764
81.0	21400.56364227113
82.0	20826.187114116492
83.0	20073.526151597365
84.0	19737.15400033615
85.0	19420.734276957908
86.0	19207.70984059223
87.0	19005.071703281417
88.0	18630.576024967544
89.0	17666.53925191464
90.0	16958.857617407502
91.0	16077.925019388349
92.0	15130.897797345568
93.0	12927.483093488927
94.0	11258.371770812491
95.0	9106.782676866804
96.0	7108.379071971387
97.0	5099.386528219719
98.0	3041.936105866187
99.0	807.9799900683929
