#Transcript position	Transcript coverage profile
0.0	4263.762253188055
1.0	4742.029942821428
2.0	5795.277047941152
3.0	6605.108382534292
4.0	7621.118199286588
5.0	7652.368028440808
6.0	7438.303845506647
7.0	7536.543703561756
8.0	7638.609734845566
9.0	7776.303623602804
10.0	8647.964097245438
11.0	9142.961215034667
12.0	9325.833323246059
13.0	9658.296795160024
14.0	9437.90988645607
15.0	9835.098569843676
16.0	10208.172184377685
17.0	10305.846502600582
18.0	10913.539963112384
19.0	11084.28067151838
20.0	11542.292419166351
21.0	11804.550645082545
22.0	11981.414140449342
23.0	12455.945558047888
24.0	12414.480869070418
25.0	12783.063502868124
26.0	13256.752005705313
27.0	13149.961728758399
28.0	13390.765609802844
29.0	13486.389945257892
30.0	13805.366747231905
31.0	14021.430078646255
32.0	14627.659461142144
33.0	15187.669186068437
34.0	14858.171454867317
35.0	15081.236035727146
36.0	14907.647809335986
37.0	15261.729952729824
38.0	15392.098664164469
39.0	15888.871412672852
40.0	15722.647735676046
41.0	16258.961729061262
42.0	17193.727750432252
43.0	17302.840844398044
44.0	17180.110526717213
45.0	16787.8946534853
46.0	17042.520092026516
47.0	17141.936271986113
48.0	16767.69066949613
49.0	17137.09378547178
50.0	17067.09183571194
51.0	17011.331592164544
52.0	16951.213763364383
53.0	17261.0640298094
54.0	17232.99937121242
55.0	17230.967460683187
56.0	17010.888545530703
57.0	16907.237356540943
58.0	16737.46566277302
59.0	16425.404367367722
60.0	16317.764198362816
61.0	16405.530396934857
62.0	16538.524739263106
63.0	17073.81658125605
64.0	16509.65068476567
65.0	16523.40984146427
66.0	16492.066977343013
67.0	16502.872902723782
68.0	16771.125177589536
69.0	16891.497372485483
70.0	16544.153617638916
71.0	16508.22824225393
72.0	16479.17374709995
73.0	16594.954792163488
74.0	15950.892763473183
75.0	15630.901765239518
76.0	15085.55236273993
77.0	14815.376232233188
78.0	14715.898668671976
79.0	14175.981699057902
80.0	13897.922074480182
81.0	13572.521456171175
82.0	13163.353740381383
83.0	12672.777690079234
84.0	12382.024457798965
85.0	12021.305062894358
86.0	12182.55420804451
87.0	11989.9493060077
88.0	11508.487107104984
89.0	10371.223071541941
90.0	9907.087743398477
91.0	9253.700067365948
92.0	8731.575604756195
93.0	7399.563732003113
94.0	6343.26751973561
95.0	4491.017024072337
96.0	3063.467515265566
97.0	2144.2372993041668
98.0	1361.1605594683926
99.0	348.72931271561305
