#Transcript position	Transcript coverage profile
0.0	7701.713401244497
1.0	8485.717181846057
2.0	9858.000871898623
3.0	11083.649575077097
4.0	12535.438121249308
5.0	13080.212824706996
6.0	13508.97495262401
7.0	13937.794128919271
8.0	14353.210162669206
9.0	14835.03225189536
10.0	15994.375732495355
11.0	16790.837265446306
12.0	17236.74702294871
13.0	17817.788102023274
14.0	17917.575244003012
15.0	18571.96619417109
16.0	19161.59594387515
17.0	19418.345239676855
18.0	20220.95939233473
19.0	20608.623779759637
20.0	21221.91833614316
21.0	21687.58748336677
22.0	22068.01851769877
23.0	22652.998472246225
24.0	22731.55888088781
25.0	23212.25223600364
26.0	23857.684836617314
27.0	23827.072716857663
28.0	24078.584955477723
29.0	24295.611126043612
30.0	24702.155330281534
31.0	24976.53365255381
32.0	25662.651394518907
33.0	26333.725219075037
34.0	26066.251124250237
35.0	26299.648909673306
36.0	26162.746315719694
37.0	26643.956603758517
38.0	26929.684926950584
39.0	27514.249952050697
40.0	27407.397333182813
41.0	27958.98728582629
42.0	28845.842761097403
43.0	28993.466770711333
44.0	28945.99951191638
45.0	28722.855129190135
46.0	29118.10543277734
47.0	29209.45555274493
48.0	28788.07884601202
49.0	29171.58893909718
50.0	29093.834719463575
51.0	29039.79711219531
52.0	29018.75869785399
53.0	29318.057720853154
54.0	29262.837275313934
55.0	29319.165656457266
56.0	29182.792563190585
57.0	29092.768682469563
58.0	28952.313655339818
59.0	28727.61073812622
60.0	28750.343103159805
61.0	28871.678536853004
62.0	28941.292906762836
63.0	29492.20431420143
64.0	28966.92566766906
65.0	29023.18131451721
66.0	29044.440672413104
67.0	29072.61189818945
68.0	29286.286816389544
69.0	29435.57523298234
70.0	29063.4359141024
71.0	29042.842193140645
72.0	28977.396697821005
73.0	29006.28800424847
74.0	28361.282486736804
75.0	28074.033507660155
76.0	27652.905888509238
77.0	27278.599171924183
78.0	27081.37771239803
79.0	26487.508667068625
80.0	26083.54332496468
81.0	25764.437645963968
82.0	25262.683917756964
83.0	24671.043265800025
84.0	24274.22120881487
85.0	23800.244552684922
86.0	23891.031199578883
87.0	23592.156312118434
88.0	22996.12082258185
89.0	21626.006085370995
90.0	20770.11816413633
91.0	19735.294305340623
92.0	18687.425656511576
93.0	16664.295743161263
94.0	14717.546078193234
95.0	11758.406160710483
96.0	8962.919430402124
97.0	6362.042515937582
98.0	3767.4404484341385
99.0	1074.4740234589694
