##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	DV13-BL_S1_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	39962925
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.418519240020593	32.0	32.0	32.0	32.0	32.0
2	31.53320656583571	32.0	32.0	32.0	32.0	32.0
3	31.558385953981094	32.0	32.0	32.0	32.0	32.0
4	31.57617581796127	32.0	32.0	32.0	32.0	32.0
5	31.607951470018772	32.0	32.0	32.0	32.0	32.0
6	35.17317018211254	36.0	36.0	36.0	36.0	36.0
7	35.187978232324085	36.0	36.0	36.0	36.0	36.0
8	35.147307160324225	36.0	36.0	36.0	36.0	36.0
9	35.1499516614462	36.0	36.0	36.0	36.0	36.0
10-11	35.147612831142865	36.0	36.0	36.0	36.0	36.0
12-13	35.16724240029978	36.0	36.0	36.0	36.0	36.0
14-15	35.14909502995589	36.0	36.0	36.0	36.0	36.0
16-17	35.14135006384042	36.0	36.0	36.0	36.0	36.0
18-19	35.12669001330609	36.0	36.0	36.0	36.0	36.0
20-21	35.10874709496365	36.0	36.0	36.0	36.0	36.0
22-23	35.07520636940364	36.0	36.0	36.0	36.0	36.0
24-25	35.043439763230545	36.0	36.0	36.0	36.0	36.0
26-27	34.97176721199952	36.0	36.0	36.0	36.0	36.0
28-29	34.93588455950608	36.0	36.0	36.0	36.0	36.0
30-31	34.89484950481115	36.0	36.0	36.0	36.0	36.0
32-33	34.869969708571524	36.0	36.0	36.0	36.0	36.0
34-35	34.840004345037045	36.0	36.0	36.0	34.0	36.0
36-37	34.809594194444294	36.0	36.0	36.0	32.0	36.0
38-39	34.77991198079462	36.0	36.0	36.0	32.0	36.0
40-41	34.7517319872243	36.0	36.0	36.0	32.0	36.0
42-43	34.728480623540214	36.0	36.0	36.0	32.0	36.0
44-45	34.691021544158744	36.0	36.0	36.0	32.0	36.0
46-47	34.65373971033323	36.0	36.0	36.0	32.0	36.0
48-49	34.6044729886558	36.0	36.0	36.0	32.0	36.0
50-51	34.562280096307994	36.0	36.0	36.0	32.0	36.0
52-53	34.512012963780414	36.0	36.0	36.0	32.0	36.0
54-55	34.462174459561524	36.0	36.0	36.0	32.0	36.0
56-57	34.39183783062465	36.0	36.0	36.0	32.0	36.0
58-59	34.327367699656975	36.0	36.0	36.0	32.0	36.0
60-61	34.268562635010646	36.0	36.0	36.0	32.0	36.0
62-63	34.20535062171828	36.0	36.0	36.0	32.0	36.0
64-65	34.146156649396815	36.0	36.0	36.0	32.0	36.0
66-67	34.08845263726441	36.0	36.0	36.0	32.0	36.0
68-69	34.04122385180458	36.0	36.0	36.0	32.0	36.0
70-71	33.98530293982904	36.0	36.0	36.0	32.0	36.0
72-73	33.931087099362045	36.0	36.0	36.0	32.0	36.0
74-75	33.86248526896088	36.0	36.0	36.0	32.0	36.0
76	32.4087378311265	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.05611028958442432
11101	2	0.06152654896222742
11101	3	0.04386819119124752
11101	4	0.008759901575484008
11101	5	0.014899804346462986
11101	6	0.10989165682128998
11101	7	0.10359791062406032
11101	8	0.02225318949212607
11101	9	0.037097129356268965
11101	10-11	0.10479870202398445
11101	12-13	0.051220129716924134
11101	14-15	0.10053375112881469
11101	16-17	0.08129048376868298
11101	18-19	0.04716965380949745
11101	20-21	0.0909736688540832
11101	22-23	0.08350110194580651
11101	24-25	0.11865227707236414
11101	26-27	0.022022259114422127
11101	28-29	0.10242039243397727
11101	30-31	0.09582236549620404
11101	32-33	0.12835247037796194
11101	34-35	0.1659508080589447
11101	36-37	0.15141805763235539
11101	38-39	0.08465527671755524
11101	40-41	0.1568665775691045
11101	42-43	0.07618826213379037
11101	44-45	0.07754796633312111
11101	46-47	0.07184447454487497
11101	48-49	0.14526387964532006
11101	50-51	0.13410798078000852
11101	52-53	0.09593575879151928
11101	54-55	0.07203902283085029
11101	56-57	0.1304584582125088
11101	58-59	0.11973984339813626
11101	60-61	0.1479153563427218
11101	62-63	0.14768582476771996
11101	64-65	0.05125274019329851
11101	66-67	0.29558556844557415
11101	68-69	0.27806149473472885
11101	70-71	0.2040920239154218
11101	72-73	0.17933078137698288
11101	74-75	0.1292052385314051
11101	76	0.30387462119170294
11102	1	0.12584625837666508
11102	2	0.05888783735607461
11102	3	0.02003444816509159
11102	4	0.01472951674451295
11102	5	0.06610962340599968
11102	6	0.04401050711426535
11102	7	0.1009660069934597
11102	8	0.056052889057362165
11102	9	0.014232161251634068
11102	10-11	0.10639537533658938
11102	12-13	0.060962844376867054
11102	14-15	0.03227898880061275
11102	16-17	0.020645891504898373
11102	18-19	0.055339785835258226
11102	20-21	0.050332150928738884
11102	22-23	0.01228172902724367
11102	24-25	0.03392913534213449
11102	26-27	0.047444268727431904
11102	28-29	0.11589591224983309
11102	30-31	0.06474482031325124
11102	32-33	0.10226822438066563
11102	34-35	0.07404003030489292
11102	36-37	0.05422439523399447
11102	38-39	0.136495686208022
11102	40-41	0.05856136096104336
11102	42-43	0.10643467313321509
11102	44-45	0.15459423939989847
11102	46-47	0.16902735143277425
11102	48-49	0.15413441037557618
11102	50-51	0.1584061790659561
11102	52-53	0.07818968291410044
11102	54-55	0.2481194273319005
11102	56-57	0.0875556504727939
11102	58-59	0.09874218755164321
11102	60-61	0.11069582245138321
11102	62-63	0.14592958239609288
11102	64-65	0.10150964247656447
11102	66-67	0.081585106876787
11102	68-69	0.11327671969134201
11102	70-71	0.13714649650724908
11102	72-73	0.12160591488744643
11102	74-75	0.09099937563916427
11102	76	0.24282360581381113
11103	1	0.03390553213334968
11103	2	0.0851554400280854
11103	3	-0.020502773567116606
11103	4	0.07018836649101345
11103	5	0.036307062403444945
11103	6	0.11656393340443572
11103	7	0.060673370068322185
11103	8	0.09436041431997211
11103	9	0.10205256053677658
11103	10-11	0.05162881491928317
11103	12-13	0.0718224927410418
11103	14-15	0.07124127748414111
11103	16-17	0.07501323193982046
11103	18-19	0.0984719522619244
11103	20-21	0.06771322164033933
11103	22-23	0.142243545601076
