#Transcript position	Transcript coverage profile
0.0	5182.609778841072
1.0	6098.696978421992
2.0	7593.856376514032
3.0	8448.754995162466
4.0	9364.578684059277
5.0	9129.495566250409
6.0	9030.8304217938
7.0	8724.414914858193
8.0	8747.021673863901
9.0	9131.00259954401
10.0	10223.027792108574
11.0	10867.506568666422
12.0	11137.679800130823
13.0	11444.78236094285
14.0	11446.690105747513
15.0	11865.942329531112
16.0	12328.841996799076
17.0	12396.652115457777
18.0	13074.132952474625
19.0	13325.116829733173
20.0	13981.726691347694
21.0	14071.06732132114
22.0	14064.974823322264
23.0	14274.15870385742
24.0	13778.619093179106
25.0	14038.580074866954
26.0	14598.51015263618
27.0	14529.842557865617
28.0	14735.486860698375
29.0	14624.132760680683
30.0	14837.41859557372
31.0	15121.14439533911
32.0	15644.420504715961
33.0	15993.800423552115
34.0	15562.720313332222
35.0	16126.174732318636
36.0	15901.55930581487
37.0	16244.941634807572
38.0	16522.848493855046
39.0	17197.755041621735
40.0	16981.0996397749
41.0	17264.324952775445
42.0	17728.32328542984
43.0	17810.68643054974
44.0	17378.331545772737
45.0	16826.68333778721
46.0	17243.65494264228
47.0	17319.006225868627
48.0	17118.144746249294
49.0	17409.38791005794
50.0	17458.612370308445
51.0	17371.11570493258
52.0	17446.88163564589
53.0	17517.87262060022
54.0	17483.152168373876
55.0	17506.355394155587
56.0	17599.649613892176
57.0	17707.141899510658
58.0	17628.97865244086
59.0	17368.61139591098
60.0	17298.247259154447
61.0	17233.216266417698
62.0	17288.310620653363
63.0	17370.014257850034
64.0	16764.999675828974
65.0	16525.522652310246
66.0	16078.697890137899
67.0	15649.65777803788
68.0	15811.403341720294
69.0	15943.75923693429
70.0	15984.344041229986
71.0	16159.796787872556
72.0	16383.165755269936
73.0	16539.17391250639
74.0	15945.169590176796
75.0	15799.936024827883
76.0	15195.049741549521
77.0	14888.669603637156
78.0	14966.062992543673
79.0	14612.755251831632
80.0	14326.882335016466
81.0	13885.541150034644
82.0	13344.350950558159
83.0	12499.401020647625
84.0	12003.575271595078
85.0	11629.7391606486
86.0	11532.765242360007
87.0	11430.259068380092
88.0	11128.219607766383
89.0	10257.891927485805
90.0	9722.4932969617
91.0	8970.11292398312
92.0	8330.800562187502
93.0	6688.875173105036
94.0	5602.870065268678
95.0	4046.6376248807965
96.0	3037.3053181946716
97.0	2174.9189176973873
98.0	1359.4554036632364
99.0	278.73483436279383
