#Transcript position	Transcript coverage profile
0.0	7848.7190905519565
1.0	9047.351865283477
2.0	10821.831333264923
3.0	12024.82064767178
4.0	13307.66712298024
5.0	13457.118087074607
6.0	13698.052886885505
7.0	13699.537431465802
8.0	14031.210328968145
9.0	14680.664668421485
10.0	16047.187848764475
11.0	16921.40950768827
12.0	17353.782390466386
13.0	17840.111933002434
14.0	18045.71591703195
15.0	18674.51438866915
16.0	19283.07063030557
17.0	19475.583144320153
18.0	20271.027691716572
19.0	20651.575494605073
20.0	21422.659600858387
21.0	21644.273141088674
22.0	21794.821469711984
23.0	22103.14050941978
24.0	21713.716700177847
25.0	22034.55479872517
26.0	22689.191706578487
27.0	22644.349757311396
28.0	22871.77886014437
29.0	22861.20967391521
30.0	23151.779645511826
31.0	23453.496103617883
32.0	24023.1396442743
33.0	24446.572855181676
34.0	24041.574368430774
35.0	24610.570818409815
36.0	24423.858765827863
37.0	24844.52585280088
38.0	25219.285165469963
39.0	25949.83593348605
40.0	25754.843049540552
41.0	26013.5389840984
42.0	26432.668697248086
43.0	26516.202686275188
44.0	26095.498314763074
45.0	25635.70253956732
46.0	26116.905498418488
47.0	26196.401776040693
48.0	25988.637380382916
49.0	26294.28564235066
50.0	26345.206976545804
51.0	26245.225906014843
52.0	26327.279479723897
53.0	26374.433371883948
54.0	26310.308004876755
55.0	26360.396539375797
56.0	26482.99287619226
57.0	26608.636274926874
58.0	26536.687843269116
59.0	26333.533398607793
60.0	26328.024906222046
61.0	26291.193139836647
62.0	26287.877524596683
63.0	26358.248296753176
64.0	25800.452582224007
65.0	25587.275064632922
66.0	25134.977546456885
67.0	24667.045140868828
68.0	24766.63380217645
69.0	24905.45842945024
70.0	24935.51011441495
71.0	25094.71257111634
72.0	25284.801206084703
73.0	25391.79503726026
74.0	24798.225496426483
75.0	24647.60535578988
76.0	24113.01417670672
77.0	23733.33788869147
78.0	23733.781706977636
79.0	23310.705247937763
80.0	22940.572704235958
81.0	22466.132594530452
82.0	21855.67621528253
83.0	20962.47753624945
84.0	20427.167894950748
85.0	19983.427015398953
86.0	19846.678405443574
87.0	19674.070215578016
88.0	19288.75398263382
89.0	18283.83832008719
90.0	17496.78796707149
91.0	16428.467460841865
92.0	15416.246873022219
93.0	13270.880258475903
94.0	11551.625034869268
95.0	9258.763461605733
96.0	7281.124591271293
97.0	5205.517236861331
98.0	3095.985277801811
99.0	805.185372807741
