##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	DV13-PG_S3_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	21502803
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.78375693624687	32.0	32.0	32.0	32.0	32.0
2	31.837572850386064	32.0	32.0	32.0	32.0	32.0
3	31.856229999409845	32.0	32.0	32.0	32.0	32.0
4	31.865718483306573	32.0	32.0	32.0	32.0	32.0
5	31.877776027618353	32.0	32.0	32.0	32.0	32.0
6	35.699527824349225	36.0	36.0	36.0	36.0	36.0
7	35.70079300824176	36.0	36.0	36.0	36.0	36.0
8	35.69133800835175	36.0	36.0	36.0	36.0	36.0
9	35.68882228981961	36.0	36.0	36.0	36.0	36.0
10-11	35.687624492490585	36.0	36.0	36.0	36.0	36.0
12-13	35.69934647589898	36.0	36.0	36.0	36.0	36.0
14-15	35.68969154858554	36.0	36.0	36.0	36.0	36.0
16-17	35.685340511188244	36.0	36.0	36.0	36.0	36.0
18-19	35.679576588224336	36.0	36.0	36.0	36.0	36.0
20-21	35.67331961326158	36.0	36.0	36.0	36.0	36.0
22-23	35.65595322619102	36.0	36.0	36.0	36.0	36.0
24-25	35.63884148034096	36.0	36.0	36.0	36.0	36.0
26-27	35.614457491397374	36.0	36.0	36.0	36.0	36.0
28-29	35.59775809681467	36.0	36.0	36.0	36.0	36.0
30-31	35.58248714464342	36.0	36.0	36.0	36.0	36.0
32-33	35.57037204206452	36.0	36.0	36.0	36.0	36.0
34-35	35.5548233564138	36.0	36.0	36.0	36.0	36.0
36-37	35.54201841521465	36.0	36.0	36.0	36.0	36.0
38-39	35.52485503178597	36.0	36.0	36.0	36.0	36.0
40-41	35.51111797383659	36.0	36.0	36.0	36.0	36.0
42-43	35.49911272414039	36.0	36.0	36.0	36.0	36.0
44-45	35.486909168823004	36.0	36.0	36.0	36.0	36.0
46-47	35.47148109178171	36.0	36.0	36.0	36.0	36.0
48-49	35.455600654642886	36.0	36.0	36.0	36.0	36.0
50-51	35.44643838659896	36.0	36.0	36.0	36.0	36.0
52-53	35.43009465729712	36.0	36.0	36.0	36.0	36.0
54-55	35.41558580228276	36.0	36.0	36.0	36.0	36.0
56-57	35.39870354791701	36.0	36.0	36.0	36.0	36.0
58-59	35.381105767900486	36.0	36.0	36.0	36.0	36.0
60-61	35.36274719701148	36.0	36.0	36.0	36.0	36.0
62-63	35.340308337640934	36.0	36.0	36.0	36.0	36.0
64-65	35.31448626933869	36.0	36.0	36.0	36.0	36.0
66-67	35.29212141113891	36.0	36.0	36.0	36.0	36.0
68-69	35.27147615626422	36.0	36.0	36.0	36.0	36.0
70-71	35.24035896093051	36.0	36.0	36.0	36.0	36.0
72-73	35.210694402757056	36.0	36.0	36.0	36.0	36.0
74-75	35.167956301092836	36.0	36.0	36.0	36.0	36.0
76	34.60064637881609	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.05224088680495598
11101	2	0.008985049613592366
11101	3	-0.0016353570042397791
11101	4	-0.022153509387479176
11101	5	-0.02606496449552509
11101	6	-0.02326524970382593
11101	7	-0.01090331536325806
11101	8	0.013062855645706861
11101	9	-0.02478377777477192
11101	10-11	-0.01655184629936457
11101	12-13	0.051364337987834574
11101	14-15	0.002553461213999242
11101	16-17	-0.010651872121059114
11101	18-19	0.007276047713709488
11101	20-21	0.05049851786668569
11101	22-23	-0.06153476860350793
11101	24-25	0.0013422615148783734
11101	26-27	-3.6860971989938207E-4
11101	28-29	-0.030191768312874956
11101	30-31	0.03626189938004387
11101	32-33	0.07585437750249469
11101	34-35	-0.0010787228706945484
11101	36-37	-0.017004653875112297
11101	38-39	0.012225450140896044
11101	40-41	0.00975461468637917
11101	42-43	0.0514513060877988
11101	44-45	0.0013735035317168354
11101	46-47	0.023377214584527906
11101	48-49	-0.040737386906506856
11101	50-51	0.018660902377369837
11101	52-53	0.009296074746380611
11101	54-55	0.03946266703874102
11101	56-57	0.04319011435863018
11101	58-59	0.060021673523401375
11101	60-61	0.02812012196044833
11101	62-63	0.0615444744110647
11101	64-65	0.05311544043635763
11101	66-67	-0.031130998744188787
11101	68-69	0.07973069725608894
11101	70-71	0.07533675313590038
11101	72-73	-0.010852706864092454
11101	74-75	-0.015967314917979536
11101	76	0.19151880553933154
11102	1	0.03330260978312438
11102	2	-0.017630449925565728
11102	3	0.03578444203720821
11102	4	0.0113580390140271
11102	5	3.677638899155511E-4
11102	6	-0.03344871658411819
11102	7	0.04285695484955454
11102	8	-0.002762153376309584
11102	9	0.0515563380571038
11102	10-11	0.030484019856920952
11102	12-13	0.026141303087783285
11102	14-15	-0.001639412839523402
11102	16-17	0.011532108594202839
11102	18-19	0.039448630299133924
11102	20-21	-0.03169399099634518
11102	22-23	0.02251724764465024
11102	24-25	-0.042976576869776295
11102	26-27	-0.02314080048000733
11102	28-29	-0.04932748224661765
11102	30-31	0.019421940741501942
11102	32-33	0.04296232146249679
11102	34-35	0.0030242202624535253
11102	36-37	-0.05154925898231255
11102	38-39	-0.025903002013542675
11102	40-41	-0.010965277877900803
11102	42-43	-0.021412381939398983
11102	44-45	-0.01851602860492818
11102	46-47	-0.05832913570612419
11102	48-49	-0.008499774254083547
11102	50-51	-0.019864232144421123
11102	52-53	-0.041709758396727636
11102	54-55	-0.027651832475818594
11102	56-57	0.010437117951838104
11102	58-59	-0.021831875167642067
11102	60-61	0.013708212600477054
11102	62-63	-0.019506699729625154
11102	64-65	-0.024173750979933573
11102	66-67	-0.03615018020120431
11102	68-69	-0.09657404914751311
11102	70-71	0.0066205280756861384
11102	72-73	-0.01852254174479384
11102	74-75	-0.013170949898025697
11102	76	0.11934581839542346
11103	1	0.011402224617349077
11103	2	0.03091551328305897
11103	3	-8.742996913824186E-5
11103	4	-0.022006960082379123
11103	5	-0.04078076730940339
11103	6	0.033656270908245745
11103	7	0.04988861446802417
11103	8	0.04214658197206944
11103	9	0.002484253497897271
11103	10-11	0.014260955851753465
11103	12-13	0.00599713885138442
11103	14-15	0.025561241956609138
