#Transcript position	Transcript coverage profile
0.0	2546.4330874988186
1.0	2713.2945744327576
2.0	3052.177700092813
3.0	3430.644644891573
4.0	3990.0313458564506
5.0	4175.908224658194
6.0	4299.715833911529
7.0	4413.564756273503
8.0	4433.760302065049
9.0	4487.7601203959275
10.0	4889.377981829511
11.0	5216.957731399488
12.0	5359.844229418427
13.0	5451.0841056623185
14.0	5502.79027798898
15.0	5738.000363227033
16.0	5921.854689403279
17.0	6007.487701554677
18.0	6303.432327595661
19.0	6503.041330930004
20.0	6919.503295638201
21.0	7021.551839344667
22.0	7093.714052178028
23.0	7212.263466675175
24.0	7223.942657846704
25.0	7422.423947776426
26.0	7693.737197835996
27.0	7592.663748453798
28.0	7785.342755873543
29.0	7717.777466463208
30.0	7820.008409425064
31.0	7960.66541516387
32.0	8348.302613475935
33.0	8652.7817249529
34.0	8499.416757397687
35.0	8596.26456218
36.0	8509.643009410276
37.0	8534.91010332283
38.0	8597.848164673846
39.0	8858.004023837033
40.0	8833.443815844106
41.0	9199.142326665486
42.0	9547.79271893413
43.0	9600.899994508958
44.0	9506.9902380471
45.0	9404.18256920287
46.0	9621.932996721447
47.0	9683.039157874882
48.0	9522.920821162106
49.0	9669.098597485423
50.0	9653.231218469948
51.0	9702.17154784657
52.0	9717.171845762234
53.0	9778.95408668606
54.0	9754.738887033967
55.0	9717.725553017657
56.0	9626.6058282364
57.0	9738.286985359604
58.0	9728.788952351024
59.0	9670.158126304714
60.0	9610.412873579686
61.0	9537.662188714123
62.0	9555.440581159583
63.0	9651.792113325555
64.0	9528.226268099668
65.0	9481.229372182519
66.0	9262.340979804263
67.0	9196.91235551018
68.0	9403.603996468897
69.0	9532.755875681523
70.0	9436.703764092625
71.0	9405.543049714528
72.0	9327.617760957086
73.0	9417.096576892076
74.0	9190.75616377989
75.0	9053.811394403347
76.0	8659.460141172156
77.0	8535.380259329475
78.0	8524.666849328236
79.0	8423.592636881876
80.0	8350.70936872743
81.0	8166.774029995006
82.0	7768.598193348223
83.0	7368.211901511374
84.0	7300.8199843585635
85.0	7019.976767734471
86.0	6840.062140367279
87.0	6635.404925327837
88.0	6264.902357265272
89.0	5634.523881244634
90.0	5334.896622241055
91.0	5002.727706049537
92.0	4703.191834730927
93.0	3779.5538707884075
94.0	3248.6407176327307
95.0	2480.5745470681936
96.0	1725.3434371469982
97.0	1326.744298086786
98.0	894.0328104568536
99.0	208.7661734699629
