#Transcript position	Transcript coverage profile
0.0	3874.357377125385
1.0	4208.333757151452
2.0	4698.169917087155
3.0	5236.5560869418205
4.0	5940.510245357795
5.0	6312.334257614436
6.0	6634.200339443613
7.0	6919.673940352261
8.0	7099.312920181666
9.0	7277.593168602251
10.0	7811.317524811634
11.0	8261.617953911224
12.0	8508.555965169287
13.0	8703.505660295405
14.0	8862.562335600724
15.0	9219.998641636224
16.0	9495.178290420525
17.0	9649.606664727138
18.0	10034.234893696843
19.0	10315.229771677257
20.0	10792.935217535414
21.0	10969.73363469704
22.0	11133.093480515374
23.0	11315.453936223073
24.0	11380.084391477052
25.0	11627.098314595234
26.0	11965.13337866241
27.0	11894.371693220824
28.0	12096.399733656042
29.0	12089.015247201542
30.0	12235.82626709772
31.0	12409.836145087043
32.0	12858.80544067896
33.0	13209.839569817223
34.0	13085.094845084079
35.0	13211.248786094824
36.0	13150.380604500711
37.0	13227.432294237988
38.0	13333.92404706119
39.0	13625.064428380505
40.0	13631.646731451836
41.0	14015.638873903947
42.0	14371.396778810522
43.0	14449.743419839942
44.0	14362.216069191614
45.0	14319.06541783343
46.0	14588.372677178622
47.0	14683.194266395725
48.0	14534.00477318754
49.0	14694.584524114709
50.0	14698.781812217137
51.0	14751.427444148687
52.0	14784.518532976761
53.0	14837.035318337095
54.0	14820.033455076313
55.0	14801.354796734317
56.0	14733.439760437157
57.0	14846.173345750563
58.0	14843.023394480635
59.0	14831.665562293203
60.0	14823.423309301721
61.0	14799.288508219368
62.0	14815.537017571989
63.0	14928.416422565502
64.0	14849.229903842072
65.0	14844.634912333737
66.0	14636.995574264858
67.0	14569.71970989003
68.0	14773.20884218103
69.0	14928.05952150453
70.0	14851.600425306742
71.0	14850.42750757073
72.0	14782.34559073575
73.0	14850.767839558017
74.0	14602.468427095982
75.0	14463.869339939383
76.0	14118.265139349505
77.0	13984.842697629123
78.0	13955.177559604504
79.0	13834.483694471004
80.0	13716.520668058203
81.0	13532.053090293575
82.0	13103.309682566016
83.0	12684.41085346638
84.0	12599.543773151143
85.0	12296.507573313878
86.0	12097.992319212908
87.0	11857.132199929001
88.0	11443.333863100122
89.0	10727.338878819806
90.0	10294.06350041018
91.0	9799.645756390715
92.0	9279.42537556595
93.0	8045.954383295492
94.0	7093.659229279981
95.0	5819.284397234516
96.0	4405.804664817151
97.0	3195.138405377799
98.0	1943.586254256575
99.0	519.7112275656326
