##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	EJ42-BL_S9_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	43571740
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.437242097745006	32.0	32.0	32.0	32.0	32.0
2	31.532360034279098	32.0	32.0	32.0	32.0	32.0
3	31.55712498513945	32.0	32.0	32.0	32.0	32.0
4	31.572566392804145	32.0	32.0	32.0	32.0	32.0
5	31.603173685512672	32.0	32.0	32.0	32.0	32.0
6	35.161613949775706	36.0	36.0	36.0	36.0	36.0
7	35.175819349881365	36.0	36.0	36.0	36.0	36.0
8	35.13696916854824	36.0	36.0	36.0	36.0	36.0
9	35.137433735719526	36.0	36.0	36.0	36.0	36.0
10-11	35.1359439283352	36.0	36.0	36.0	36.0	36.0
12-13	35.158638339896456	36.0	36.0	36.0	36.0	36.0
14-15	35.14155670625043	36.0	36.0	36.0	36.0	36.0
16-17	35.13504505443207	36.0	36.0	36.0	36.0	36.0
18-19	35.12158603259819	36.0	36.0	36.0	36.0	36.0
20-21	35.105965357362365	36.0	36.0	36.0	36.0	36.0
22-23	35.07433440803604	36.0	36.0	36.0	36.0	36.0
24-25	35.04663340275142	36.0	36.0	36.0	36.0	36.0
26-27	34.97683257761999	36.0	36.0	36.0	36.0	36.0
28-29	34.94597790897715	36.0	36.0	36.0	36.0	36.0
30-31	34.91251650411046	36.0	36.0	36.0	36.0	36.0
32-33	34.88697477714443	36.0	36.0	36.0	36.0	36.0
34-35	34.86521043249553	36.0	36.0	36.0	36.0	36.0
36-37	34.83982805593676	36.0	36.0	36.0	36.0	36.0
38-39	34.816652726912565	36.0	36.0	36.0	34.0	36.0
40-41	34.7906576351075	36.0	36.0	36.0	32.0	36.0
42-43	34.77072375787432	36.0	36.0	36.0	32.0	36.0
44-45	34.738336943701505	36.0	36.0	36.0	32.0	36.0
46-47	34.7067129482474	36.0	36.0	36.0	32.0	36.0
48-49	34.66793658275621	36.0	36.0	36.0	32.0	36.0
50-51	34.628209561176945	36.0	36.0	36.0	32.0	36.0
52-53	34.584739823660584	36.0	36.0	36.0	32.0	36.0
54-55	34.53841718521622	36.0	36.0	36.0	32.0	36.0
56-57	34.4746983213285	36.0	36.0	36.0	32.0	36.0
58-59	34.410644241715545	36.0	36.0	36.0	32.0	36.0
60-61	34.353444888745514	36.0	36.0	36.0	32.0	36.0
62-63	34.29538225792455	36.0	36.0	36.0	32.0	36.0
64-65	34.23783970899504	36.0	36.0	36.0	32.0	36.0
66-67	34.186927250506365	36.0	36.0	36.0	32.0	36.0
68-69	34.13729286859456	36.0	36.0	36.0	32.0	36.0
70-71	34.08839972257308	36.0	36.0	36.0	32.0	36.0
72-73	34.03851905987833	36.0	36.0	36.0	32.0	36.0
74-75	33.96939651675653	36.0	36.0	36.0	32.0	36.0
76	32.537631871891634	36.0	32.0	36.0	21.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.08117413158383258
11101	2	0.003386474591348332
11101	3	0.018727489747302428
11101	4	0.028400113319705156
11101	5	-0.015054629225360827
11101	6	0.11638950368475776
11101	7	0.06529115077690761
11101	8	0.0513527821694737
11101	9	0.034570441444110145
11101	10-11	0.04193100170623154
11101	12-13	-4.3410447935343655E-4
11101	14-15	0.06855778315713934
11101	16-17	0.1003296458405245
11101	18-19	0.07416775612293947
11101	20-21	0.10937881938942695
11101	22-23	0.09323715807545341
11101	24-25	0.11293087874177843
11101	26-27	0.060676859595282906
11101	28-29	0.08279994227419252
11101	30-31	0.07899198364216886
11101	32-33	0.099101557741335
11101	34-35	0.0982763744824311
11101	36-37	0.08264273684379475
11101	38-39	0.176413823358061
11101	40-41	0.17745412267701255
11101	42-43	0.10529513142758162
11101	44-45	0.08618582547413212
11101	46-47	0.08465499559084577
11101	48-49	0.09634220576527497
11101	50-51	0.08618880812224461
11101	52-53	0.11676566485645168
11101	54-55	0.06934588754310766
11101	56-57	0.10264319886312734
11101	58-59	0.12743434501865636
11101	60-61	0.21180028428336328
11101	62-63	0.12443797416424474
11101	64-65	0.08139600078791887
11101	66-67	0.30312551727651993
11101	68-69	0.25108154771893254
11101	70-71	0.2273686181124006
11101	72-73	0.19481066207960396
11101	74-75	0.2594735237608674
11101	76	0.32948518300091933
11102	1	0.06684058256607628
11102	2	0.03930584564446349
11102	3	0.04620260735548243
11102	4	0.04780108917601211
11102	5	0.030429258315113117
11102	6	0.08567932800840339
11102	7	0.06902441209201271
11102	8	0.044925432644070895
11102	9	0.04549661627623891
11102	10-11	0.059790991042348196
11102	12-13	0.05948216044036059
11102	14-15	0.09942385562710143
11102	16-17	0.05830690316778231
11102	18-19	0.10277021825783095
11102	20-21	0.030964953843216847
11102	22-23	0.0704209281466035
11102	24-25	0.09362925194432847
11102	26-27	0.1035010799664704
11102	28-29	0.060237577811996346
11102	30-31	0.0937665034784203
11102	32-33	0.04992634761654813
11102	34-35	0.07485019002493232
11102	36-37	0.13730152582530764
11102	38-39	0.16575488177595332
11102	40-41	0.120994232531622
11102	42-43	0.12333379498649322
11102	44-45	0.1524636405708577
11102	46-47	0.13634806015979706
11102	48-49	0.08534991177301521
11102	50-51	0.1831942444286483
11102	52-53	0.12115430131171934
11102	54-55	0.2284946805578585
11102	56-57	0.11401644215778362
11102	58-59	0.11785928267770629
11102	60-61	0.1846609924963687
11102	62-63	0.17677223847869072
11102	64-65	0.16133460187747062
11102	66-67	0.1456328254125907
11102	68-69	0.14780088141866798
11102	70-71	0.17501574584571244
11102	72-73	0.20577368137458052
11102	74-75	0.20310010590737448
11102	76	0.2819130947938504
11103	1	0.12036830247432562
11103	2	0.04681995755559143
11103	3	9.98228907462817E-5
11103	4	0.09374834956138045
11103	5	0.020597067997140783
11103	6	0.031173995331606363
11103	7	0.09006792948856202
11103	8	0.032803530072030185
11103	9	0.06015072272763433
11103	10-11	0.07020747613098877
11103	12-13	0.08852019023574087
11103	14-15	0.043903083647151675
11103	16-17	0.08786261025381492
11103	18-19	0.06933023232137003
11103	20-21	0.09960607099546337
11103	22-23	0.07530709791397783
