#Transcript position	Transcript coverage profile
0.0	5948.001415374319
1.0	6626.01996056957
2.0	7608.262309497817
3.0	7781.816898320296
4.0	8249.06386235566
5.0	8176.904820934327
6.0	8026.503822246191
7.0	7719.500086493459
8.0	7908.100974902583
9.0	8119.1045087621405
10.0	8468.035359080179
11.0	8898.728613780118
12.0	9461.897842830067
13.0	9985.454966401725
14.0	10278.298324411688
15.0	10724.64241310388
16.0	11072.084852355629
17.0	11079.635199687822
18.0	11734.707675154552
19.0	12146.968512287858
20.0	12910.337102684874
21.0	13103.86296427483
22.0	12951.968234507252
23.0	13193.001485657584
24.0	13021.372437241182
25.0	13638.097756502177
26.0	14680.915513633869
27.0	14789.42737033831
28.0	14665.28669019573
29.0	14539.199028037643
30.0	14675.962575856795
31.0	15121.230935441941
32.0	15907.788682858489
33.0	16219.460992865574
34.0	15689.016498954004
35.0	17009.96345961592
36.0	16601.595649832503
37.0	16769.1933528674
38.0	17388.55692550226
39.0	18160.258908941072
40.0	17740.470158667264
41.0	17884.22535431358
42.0	18549.714520246776
43.0	18549.063412518222
44.0	18818.313518134673
45.0	18443.010204029095
46.0	19011.973084540456
47.0	18792.161368377827
48.0	18175.53000764749
49.0	18860.735819706548
50.0	18887.64958552752
51.0	19105.008469953482
52.0	19143.290504986126
53.0	19048.10442353307
54.0	18676.266193401647
55.0	18754.740879250658
56.0	18333.024985900083
57.0	17952.567429217128
58.0	18067.36484878135
59.0	18759.636873682804
60.0	18989.698854320515
61.0	19221.62634161231
62.0	19268.692940632438
63.0	18499.188716803634
64.0	17819.19521554295
65.0	17938.289754878337
66.0	17332.35846391367
67.0	17362.84470290502
68.0	17466.89159633579
69.0	17566.123146090693
70.0	18016.7882581012
71.0	18610.36575595649
72.0	18227.47226772572
73.0	18200.668688461396
74.0	17488.629080789262
75.0	17038.360010489687
76.0	16226.74261071803
77.0	15969.632733082606
78.0	15879.987723848591
79.0	14550.771150088503
80.0	14790.822218126203
81.0	14754.187182110765
82.0	14193.956204586708
83.0	12927.766814505141
84.0	12551.286566780942
85.0	12219.657563965538
86.0	11657.016325707058
87.0	11510.745930387839
88.0	11070.325338561615
89.0	10118.373870067322
90.0	9556.226755198491
91.0	8733.989227577393
92.0	7963.54730552827
93.0	6515.868747539168
94.0	5495.1294984183405
95.0	4181.009799743443
96.0	3079.875699585819
97.0	2268.8086817536737
98.0	1392.6338114080347
99.0	288.29329734773717
