#Transcript position	Transcript coverage profile
0.0	8504.706131967976
1.0	9478.533019721044
2.0	10746.298375214308
3.0	11274.167555864717
4.0	12095.091458148694
5.0	12416.377242641594
6.0	12673.365474798651
7.0	12681.59310878643
8.0	13117.507478358682
9.0	13564.01453713616
10.0	14128.048795371118
11.0	14784.92427997695
12.0	15531.03021096662
13.0	16235.41394357952
14.0	16745.972547651192
15.0	17395.682079893108
16.0	17916.35199154391
17.0	18060.065113517583
18.0	18863.405564043882
19.0	19407.296397908012
20.0	20290.847943832916
21.0	20641.115070653217
22.0	20648.40873978877
23.0	21008.078924508525
24.0	20922.79153511346
25.0	21616.277123766096
26.0	22784.459547844264
27.0	22972.523000265024
28.0	22876.569911646384
29.0	22876.00689863055
30.0	23075.511937475843
31.0	23560.516839683478
32.0	24415.825279344575
33.0	24819.542246173503
34.0	24351.459234233105
35.0	25725.612769327025
36.0	25379.191681731187
37.0	25630.203311518966
38.0	26362.231223451425
39.0	27204.773278491277
40.0	26811.779701889616
41.0	26964.12985123489
42.0	27628.90964363467
43.0	27649.131691256345
44.0	27928.34488988025
45.0	27659.898627583276
46.0	28326.596959805003
47.0	28108.664608250157
48.0	27490.57140700169
49.0	28179.466108601515
50.0	28218.82043661333
51.0	28450.320788988498
52.0	28535.276097611695
53.0	28464.64405974072
54.0	28142.415172479352
55.0	28267.347297720444
56.0	27911.23041465143
57.0	27582.667872166836
58.0	27712.447113752904
59.0	28497.360761952692
60.0	28799.369658747386
61.0	29080.848813108918
62.0	29084.441238430016
63.0	28303.527256168938
64.0	27669.146482981414
65.0	27833.596710235845
66.0	27262.920303260275
67.0	27323.657012432803
68.0	27417.762673181453
69.0	27549.523085950234
70.0	28031.904662140558
71.0	28615.910237091797
72.0	28212.796826863087
73.0	28145.73345056362
74.0	27420.792328364823
75.0	26984.497597057067
76.0	26228.644991878064
77.0	25903.373337885456
78.0	25711.932567316373
79.0	24338.986876860352
80.0	24504.27509922486
81.0	24466.839381104102
82.0	23834.391058125122
83.0	22543.920090179534
84.0	22140.076156921252
85.0	21711.580350482564
86.0	21123.04080485751
87.0	20916.298085031252
88.0	20431.39365760651
89.0	19344.643883714292
90.0	18531.371619323894
91.0	17393.98297800197
92.0	16227.625713871721
93.0	14226.830731206448
94.0	12473.66270425107
95.0	10256.782006644415
96.0	7999.722215668889
97.0	5748.887694902554
98.0	3369.516113945048
99.0	878.8665881083679
