##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	EJ42-PG_S15_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	43244825
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.44022358744659	32.0	32.0	32.0	32.0	32.0
2	31.541524887659968	32.0	32.0	32.0	32.0	32.0
3	31.5659938501312	32.0	32.0	32.0	32.0	32.0
4	31.57476535053616	32.0	32.0	32.0	32.0	32.0
5	31.603166714167532	32.0	32.0	32.0	32.0	32.0
6	35.163253452869796	36.0	36.0	36.0	36.0	36.0
7	35.183668149888454	36.0	36.0	36.0	36.0	36.0
8	35.1444335131429	36.0	36.0	36.0	36.0	36.0
9	35.144686953872515	36.0	36.0	36.0	36.0	36.0
10-11	35.13644987579438	36.0	36.0	36.0	36.0	36.0
12-13	35.159796021836144	36.0	36.0	36.0	36.0	36.0
14-15	35.14045812418018	36.0	36.0	36.0	36.0	36.0
16-17	35.13248399085902	36.0	36.0	36.0	36.0	36.0
18-19	35.11705920881863	36.0	36.0	36.0	36.0	36.0
20-21	35.098355583587164	36.0	36.0	36.0	36.0	36.0
22-23	35.06373028449069	36.0	36.0	36.0	36.0	36.0
24-25	35.03209658034227	36.0	36.0	36.0	36.0	36.0
26-27	34.957888935095184	36.0	36.0	36.0	36.0	36.0
28-29	34.92431099906685	36.0	36.0	36.0	36.0	36.0
30-31	34.88398242642166	36.0	36.0	36.0	36.0	36.0
32-33	34.855846028188395	36.0	36.0	36.0	36.0	36.0
34-35	34.829553536749	36.0	36.0	36.0	34.0	36.0
36-37	34.799091951840296	36.0	36.0	36.0	32.0	36.0
38-39	34.770459612486086	36.0	36.0	36.0	32.0	36.0
40-41	34.74232825896137	36.0	36.0	36.0	32.0	36.0
42-43	34.71957515590577	36.0	36.0	36.0	32.0	36.0
44-45	34.682719776541205	36.0	36.0	36.0	32.0	36.0
46-47	34.64619288319635	36.0	36.0	36.0	32.0	36.0
48-49	34.59720826133839	36.0	36.0	36.0	32.0	36.0
50-51	34.5567698307921	36.0	36.0	36.0	32.0	36.0
52-53	34.50676365082601	36.0	36.0	36.0	32.0	36.0
54-55	34.45902238039301	36.0	36.0	36.0	32.0	36.0
56-57	34.39042652998194	36.0	36.0	36.0	32.0	36.0
58-59	34.323058689897366	36.0	36.0	36.0	32.0	36.0
60-61	34.26185718375184	36.0	36.0	36.0	32.0	36.0
62-63	34.19934611541485	36.0	36.0	36.0	32.0	36.0
64-65	34.14236031195558	36.0	36.0	36.0	32.0	36.0
66-67	34.083183405173955	36.0	36.0	36.0	32.0	36.0
68-69	34.03310619297668	36.0	36.0	36.0	32.0	36.0
70-71	33.97905483615551	36.0	36.0	36.0	32.0	36.0
72-73	33.927031374678634	36.0	36.0	36.0	32.0	36.0
74-75	33.857931008914605	36.0	36.0	36.0	32.0	36.0
76	32.41098826121302	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.0532896447623088
11101	2	0.055244322053635386
11101	3	0.06907733574148622
11101	4	0.02644706293047605
11101	5	0.03952574587340507
11101	6	0.06979867570812104
11101	7	0.11282792612566794
11101	8	0.04379331092403049
11101	9	0.032751307197187884
11101	10-11	0.029127212929743962
11101	12-13	0.031224247246953496
11101	14-15	0.05132788910472641
11101	16-17	0.08732590682377861
11101	18-19	0.05307021732542694
11101	20-21	0.05686817864616245
11101	22-23	0.03339202991157464
11101	24-25	0.1277514832892237
11101	26-27	0.055107263105675486
11101	28-29	0.08501932185664884
11101	30-31	0.06385551511120013
11101	32-33	0.08621895088611353
11101	34-35	0.08448220302808807
11101	36-37	0.09545955055653366
11101	38-39	0.13772263821169872
11101	40-41	0.11066171602326591
11101	42-43	0.0609447990761538
11101	44-45	0.09374236431500549
11101	46-47	0.10654170779037742
11101	48-49	0.14318372422866332
11101	50-51	0.12951891030456153
11101	52-53	0.1012149593324736
11101	54-55	0.11843033541619974
11101	56-57	0.10415177118372299
11101	58-59	0.10044805174499771
11101	60-61	0.19466760241417091
11101	62-63	0.08043707805975231
11101	64-65	0.10869311437643603
11101	66-67	0.2706807167318246
11101	68-69	0.2431022311663753
11101	70-71	0.146427027739783
11101	72-73	0.18468362747487532
11101	74-75	0.26743209264815704
11101	76	0.35718570765636315
11102	1	0.045820338912353265
11102	2	0.047459405753965456
11102	3	0.054998152840845194
11102	4	0.06620419911526199
11102	5	0.041471479015836366
11102	6	0.06772729646559128
11102	7	0.04892529272414947
11102	8	0.09076289447150998
11102	9	-0.020229757804258952
11102	10-11	0.0820719144832438
11102	12-13	0.07551162063304417
11102	14-15	0.042868065434632285
11102	16-17	0.026467371196460476
11102	18-19	0.07838091903042255
11102	20-21	0.047201008562787194
11102	22-23	0.03152721025211491
11102	24-25	0.0749389958571598
11102	26-27	0.08993991313638361
11102	28-29	0.103242187523513
11102	30-31	0.12049177903358554
11102	32-33	0.07428109483320355
11102	34-35	0.07855009388005385
11102	36-37	0.11371117308412693
11102	38-39	0.15535963062603741
11102	40-41	0.09760623528018186
11102	42-43	0.09230670468424762
11102	44-45	0.04828891641474797
11102	46-47	0.08805353830928908
11102	48-49	0.20366552008741223
11102	50-51	0.14517975476778844
11102	52-53	0.050204765613763414
11102	54-55	0.16096410228820446
11102	56-57	0.1180593876720124
11102	58-59	0.1512676278338816
11102	60-61	0.100304098718496
11102	62-63	0.15603387709405325
11102	64-65	0.17462038747285646
11102	66-67	0.11617301196601915
11102	68-69	0.15703588590160678
11102	70-71	0.14511057379326786
11102	72-73	0.1701951594204374
11102	74-75	0.15967419104449476
11102	76	0.20572472641368478
11103	1	0.059890141040224165
11103	2	0.06464659533301287
11103	3	0.06592909853126372
11103	4	0.003137963223462492
11103	5	0.018724560943496726
11103	6	0.11806100471304148
11103	7	0.07348636476807258
11103	8	0.021380934071473234
11103	9	0.04989425707076123
11103	10-11	0.08141613991315921
11103	12-13	0.048989870510446565
11103	14-15	0.041297213503874275
11103	16-17	0.046181782642179314
11103	18-19	0.022909664633516513
11103	20-21	0.05561738815195838
11103	22-23	-0.010469299456261183
