#Transcript position	Transcript coverage profile
0.0	5084.648399792702
1.0	5412.101604427938
2.0	6101.46880129766
3.0	6669.351641497094
4.0	7571.624154097918
5.0	7903.550220331572
6.0	7820.8250600087695
7.0	7908.899430516949
8.0	7902.824486639066
9.0	7937.796265056007
10.0	8420.07363580077
11.0	8919.585653457194
12.0	9342.086219529514
13.0	9710.573297350753
14.0	9893.75231759711
15.0	10400.844281976188
16.0	10736.304893504419
17.0	10809.711210839205
18.0	11309.789170836082
19.0	11676.022111881095
20.0	12299.391144887479
21.0	12490.656783467315
22.0	12506.075985886097
23.0	12868.011886327347
24.0	12929.980273390205
25.0	13392.912815312939
26.0	14118.39894741772
27.0	14109.981685861536
28.0	14294.558742037872
29.0	14149.273446569596
30.0	14262.273029870132
31.0	14697.405289742874
32.0	15507.293166430878
33.0	15870.523810497687
34.0	15507.220523598286
35.0	16213.744429194976
36.0	15858.229965886801
37.0	16036.74289969695
38.0	16153.151476167564
39.0	16740.090363132058
40.0	16627.180769583334
41.0	17221.038046726408
42.0	17997.317281467476
43.0	18078.499581433283
44.0	18269.241425705804
45.0	18183.336653264047
46.0	18703.928919880032
47.0	18632.17566504161
48.0	18297.185531628584
49.0	18510.478231129506
50.0	18448.018173050437
51.0	18581.901302579452
52.0	18541.961147230362
53.0	18490.30022183511
54.0	18259.841555089894
55.0	18219.925556869584
56.0	18042.597782356297
57.0	18029.510529174084
58.0	18038.777759244167
59.0	18334.963654297266
60.0	18299.15850406194
61.0	18349.78360513869
62.0	18260.52913857758
63.0	17839.002158677657
64.0	17367.522734292023
65.0	17388.508850406546
66.0	16914.96925765764
67.0	16813.9568418575
68.0	17051.317696310678
69.0	17176.48755303838
70.0	17032.345491209988
71.0	17257.2650483168
72.0	16854.325444441907
73.0	16991.553724078705
74.0	16307.858191343657
75.0	15898.263801538431
76.0	15119.883522155305
77.0	14740.11539596553
78.0	14469.268505993854
79.0	13716.082261862926
80.0	13841.309559095469
81.0	13705.785710947852
82.0	13121.930968385992
83.0	12265.768896549022
84.0	12159.525519996956
85.0	11689.685129076535
86.0	11388.436881982372
87.0	11112.253982544049
88.0	10545.110439893959
89.0	9343.874037131764
90.0	8828.765569021089
91.0	8201.490699838163
92.0	7706.586599882926
93.0	6475.4633985411565
94.0	5671.888581241112
95.0	4393.7661390565145
96.0	3036.4872552920365
97.0	2369.319004698515
98.0	1511.2869641521377
99.0	392.0806673009283
