#Transcript position	Transcript coverage profile
0.0	8202.258303906632
1.0	8884.10143236654
2.0	9915.84947874342
3.0	10888.850983295066
4.0	12162.998371192949
5.0	12922.307166926013
6.0	13461.176794380935
7.0	13819.108490712113
8.0	14072.3587890054
9.0	14427.031204719526
10.0	15189.619540546322
11.0	15973.497907542614
12.0	16612.87931867535
13.0	17221.00771810151
14.0	17693.958493154343
15.0	18421.639880332026
16.0	18979.405621908492
17.0	19212.359064722747
18.0	19864.669596274016
19.0	20401.47423020011
20.0	21191.02560482438
21.0	21551.516363921142
22.0	21746.392169680308
23.0	22213.460934647337
24.0	22380.146546694672
25.0	22969.443898037873
26.0	23831.131004648392
27.0	23886.139074324892
28.0	24096.43496155034
29.0	24070.543769060954
30.0	24275.871350405352
31.0	24744.14559451598
32.0	25657.502423592367
33.0	26122.813231602242
34.0	25783.958553251996
35.0	26510.635838338967
36.0	26226.750389314024
37.0	26498.495639491586
38.0	26725.020717129588
39.0	27370.0201886613
40.0	27259.303647004897
41.0	27850.20481240883
42.0	28621.501345436758
43.0	28754.924911199654
44.0	28952.173864441076
45.0	28964.57613443809
46.0	29564.019098784953
47.0	29527.928857655665
48.0	29199.630938047878
49.0	29422.48059395655
50.0	29371.62779681257
51.0	29501.120069744058
52.0	29489.362560450707
53.0	29407.257702316834
54.0	29136.59496615447
55.0	29130.478474198804
56.0	28985.265949804267
57.0	28978.815463218714
58.0	28989.85846803642
59.0	29393.262439958013
60.0	29440.171022510192
61.0	29513.403105915702
62.0	29363.367144232536
63.0	28948.172254240475
64.0	28529.676095217837
65.0	28570.458016790104
66.0	28115.291152964528
67.0	28004.099866416607
68.0	28196.22368955078
69.0	28349.591575573784
70.0	28229.224481628946
71.0	28437.426264423575
72.0	27998.475620259167
73.0	28081.703807830585
74.0	27355.077154878218
75.0	26909.759457242402
76.0	26202.449414202565
77.0	25792.141329716513
78.0	25438.925672934332
79.0	24643.711666137526
80.0	24659.9315722034
81.0	24510.519810182595
82.0	23867.418015267725
83.0	22955.78390103725
84.0	22752.404938481373
85.0	22179.82293736123
86.0	21795.985044368153
87.0	21418.050454300166
88.0	20752.458513420403
89.0	19331.87500407062
90.0	18517.186052395264
91.0	17539.27184292697
92.0	16596.432620694442
93.0	14746.717977604996
94.0	13163.204747213493
95.0	10894.234422038646
96.0	8278.579531980764
97.0	6054.937049431888
98.0	3598.7938221162603
99.0	1016.7604138161691
