##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	EL86-BL_S3_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	41789545
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.438582449270505	32.0	32.0	32.0	32.0	32.0
2	31.541465718279536	32.0	32.0	32.0	32.0	32.0
3	31.566666638749	32.0	32.0	32.0	32.0	32.0
4	31.585759093572328	32.0	32.0	32.0	32.0	32.0
5	31.615720654532133	32.0	32.0	32.0	32.0	32.0
6	35.18175024399045	36.0	36.0	36.0	36.0	36.0
7	35.19556755164479	36.0	36.0	36.0	36.0	36.0
8	35.15783378354562	36.0	36.0	36.0	36.0	36.0
9	35.16114255371768	36.0	36.0	36.0	36.0	36.0
10-11	35.15811421253809	36.0	36.0	36.0	36.0	36.0
12-13	35.17994454115258	36.0	36.0	36.0	36.0	36.0
14-15	35.16140379130714	36.0	36.0	36.0	36.0	36.0
16-17	35.15380056183909	36.0	36.0	36.0	36.0	36.0
18-19	35.14027909373026	36.0	36.0	36.0	36.0	36.0
20-21	35.12369251687234	36.0	36.0	36.0	36.0	36.0
22-23	35.09267550053488	36.0	36.0	36.0	36.0	36.0
24-25	35.061800409647915	36.0	36.0	36.0	36.0	36.0
26-27	34.990211572177564	36.0	36.0	36.0	36.0	36.0
28-29	34.95854341500045	36.0	36.0	36.0	36.0	36.0
30-31	34.92141767516488	36.0	36.0	36.0	36.0	36.0
32-33	34.89424437823406	36.0	36.0	36.0	36.0	36.0
34-35	34.86941910527271	36.0	36.0	36.0	36.0	36.0
36-37	34.84032266192396	36.0	36.0	36.0	36.0	36.0
38-39	34.812141228868576	36.0	36.0	36.0	32.0	36.0
40-41	34.784183661184585	36.0	36.0	36.0	32.0	36.0
42-43	34.76379255155241	36.0	36.0	36.0	32.0	36.0
44-45	34.72773636289865	36.0	36.0	36.0	32.0	36.0
46-47	34.69302606876454	36.0	36.0	36.0	32.0	36.0
48-49	34.648309399864445	36.0	36.0	36.0	32.0	36.0
50-51	34.60528273872008	36.0	36.0	36.0	32.0	36.0
52-53	34.55649032729906	36.0	36.0	36.0	32.0	36.0
54-55	34.51406973173474	36.0	36.0	36.0	32.0	36.0
56-57	34.445484659122855	36.0	36.0	36.0	32.0	36.0
58-59	34.382028430384125	36.0	36.0	36.0	32.0	36.0
60-61	34.32185908601443	36.0	36.0	36.0	32.0	36.0
62-63	34.26201286804205	36.0	36.0	36.0	32.0	36.0
64-65	34.204797388859895	36.0	36.0	36.0	32.0	36.0
66-67	34.14561629411476	36.0	36.0	36.0	32.0	36.0
68-69	34.09912109803797	36.0	36.0	36.0	32.0	36.0
70-71	34.04547665233781	36.0	36.0	36.0	32.0	36.0
72-73	33.99451277836084	36.0	36.0	36.0	32.0	36.0
74-75	33.92526842856806	36.0	36.0	36.0	32.0	36.0
76	32.48495905123891	36.0	32.0	36.0	21.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.04438561301962096
11101	2	0.08393403409111144
11101	3	0.04728219341859585
11101	4	-0.005224039854269336
11101	5	-0.0024363798057862596
11101	6	0.0680791144574755
11101	7	0.05592981623223636
11101	8	0.01709564980741618
11101	9	0.03329966614935387
11101	10-11	0.038149239085925046
11101	12-13	0.011920316801713682
11101	14-15	0.0538514148076672
11101	16-17	0.1081386900920478
11101	18-19	0.05617111695929822
11101	20-21	0.0921086027414475
11101	22-23	0.03569112162011834
11101	24-25	0.13025808640609426
11101	26-27	0.05128216272848363
11101	28-29	0.09916227104402964
11101	30-31	0.03312471536338535
11101	32-33	0.018872559787425303
11101	34-35	0.09727600011287052
11101	36-37	0.0995385095378083
11101	38-39	0.1285625057775448
11101	40-41	0.11187655026204624
11101	42-43	0.11831411386482671
11101	44-45	0.043821828021847864
11101	46-47	0.0911525998121121
11101	48-49	0.0828191958001554
11101	50-51	0.12471770511679381
11101	52-53	0.08919082410490375
11101	54-55	0.07432797578204742
11101	56-57	0.08998729283045748
11101	58-59	0.05080198736635566
11101	60-61	0.12813368807059788
11101	62-63	0.08910051319640644
11101	64-65	0.0728272360837181
11101	66-67	0.24914723503196967
11101	68-69	0.2919567199689368
11101	70-71	0.19805174755146027
11101	72-73	0.1746410544897472
11101	74-75	0.23327059541011863
11101	76	0.3894453358902581
11102	1	0.05160120375689914
11102	2	0.006885879298277331
11102	3	0.027680465094881868
11102	4	0.01965036018441424
11102	5	3.6918780086381275E-4
11102	6	0.08495241638924256
11102	7	0.03398317732872158
11102	8	0.021019110044775857
11102	9	0.09632835620475788
11102	10-11	0.05633511015632564
11102	12-13	0.05560019084219192
11102	14-15	0.08769237282505316
11102	16-17	0.024792223923654433
11102	18-19	0.07909281515758693
11102	20-21	0.12326079486505392
11102	22-23	0.06592698803648034
11102	24-25	0.12996692312140112
11102	26-27	0.0930191823882609
11102	28-29	0.09119408296194109
11102	30-31	0.1454122937845952
11102	32-33	0.08855491669133642
11102	34-35	0.09632534804542559
11102	36-37	0.037414520069319224
11102	38-39	0.12394536325138006
11102	40-41	0.17105401731797087
11102	42-43	0.11902407104133772
11102	44-45	0.12292633619864546
11102	46-47	0.11891326315317485
11102	48-49	0.17451938537065104
11102	50-51	0.14497672771454262
11102	52-53	0.11623475057108124
11102	54-55	0.2033563258507911
11102	56-57	0.11372772807960985
11102	58-59	0.17011285842959012
11102	60-61	0.15136841323525374
11102	62-63	0.17350936986782273
11102	64-65	0.16131919926319682
11102	66-67	0.22924697215344736
11102	68-69	0.1649254763143304
11102	70-71	0.1770496868440503
11102	72-73	0.17687531767021625
11102	74-75	0.1340339594416875
11102	76	0.2639964469053879
11103	1	0.10649539231218697
11103	2	0.026853802615288913
11103	3	0.029455273104098012
11103	4	0.02316173233296226
11103	5	0.05000407549968244
11103	6	0.0478782799432409
11103	7	0.07858145380642156
11103	8	0.1306295891876772
11103	9	0.061096441055617845
11103	10-11	0.09027882403928089
11103	12-13	0.0578513699565022
11103	14-15	0.07505308562971891
11103	16-17	0.06354782194133435
11103	18-19	0.09007507944198068
11103	20-21	0.07206277903056701
11103	22-23	0.06647984150546904
