#Transcript position	Transcript coverage profile
0.0	4111.049162449393
1.0	4575.616348785537
2.0	5549.054557995959
3.0	6304.258430474404
4.0	7284.6777404867935
5.0	7376.116014975217
6.0	7480.181373444014
7.0	7488.817207061988
8.0	7510.4605416086415
9.0	7725.751037747531
10.0	8522.73913593203
11.0	8986.669134020767
12.0	9266.137717317222
13.0	9528.924547147179
14.0	9591.677006358144
15.0	9999.942318863537
16.0	10374.937460241057
17.0	10422.116589918034
18.0	10865.592624248591
19.0	11088.863592468377
20.0	11586.767831837667
21.0	11765.606606854482
22.0	11781.632353883264
23.0	12066.512552544425
24.0	11872.070824491782
25.0	12102.577420174375
26.0	12643.9608965135
27.0	12559.929818909262
28.0	12738.517439079349
29.0	12669.306299196727
30.0	12925.98869811967
31.0	13208.875015745532
32.0	13734.787312497303
33.0	14032.906047394168
34.0	13643.693708823206
35.0	13754.934983562784
36.0	13359.233618330196
37.0	13611.352067808326
38.0	13744.554893444682
39.0	14351.90011291847
40.0	14342.887004596398
41.0	14759.103148075206
42.0	15417.952973266289
43.0	15628.151655253716
44.0	15613.0159096603
45.0	15526.016371921218
46.0	15917.567120973428
47.0	15945.71507942694
48.0	15463.79737854238
49.0	15539.801144146637
50.0	15428.523679920552
51.0	15253.706637409967
52.0	15200.054582266494
53.0	15306.87314046529
54.0	15255.938168398417
55.0	15233.118121102321
56.0	15109.581237441693
57.0	15099.716996367335
58.0	14987.770168010886
59.0	14772.477052667833
60.0	14735.988688935933
61.0	14800.192134219697
62.0	14868.303263486985
63.0	15139.062798201656
64.0	14570.637724886876
65.0	14359.664513202973
66.0	14117.328310530253
67.0	13911.876449613083
68.0	14215.585034330083
69.0	14388.474791640296
70.0	14191.626091149124
71.0	14246.530544931531
72.0	14260.985869103064
73.0	14315.344034753223
74.0	13737.886854716955
75.0	13461.038407940823
76.0	12815.981259659007
77.0	12503.384449280498
78.0	12479.683649108336
79.0	12110.448301821623
80.0	11910.180287391755
81.0	11544.3287353408
82.0	11104.445281599104
83.0	10609.868566188297
84.0	10360.572941159466
85.0	9921.42896038098
86.0	9835.870223977694
87.0	9669.322549039241
88.0	9362.280175256154
89.0	8455.532903208305
90.0	8074.423499875514
91.0	7547.494819505168
92.0	7093.232419498908
93.0	5840.341122508039
94.0	4961.613018276814
95.0	3613.6708455554735
96.0	2587.3520339627426
97.0	1927.6157869182346
98.0	1244.6840805587337
99.0	315.36315484261104
