#Transcript position	Transcript coverage profile
0.0	7249.177360486531
1.0	8059.952726453739
2.0	9361.43009999899
3.0	10524.616677690858
4.0	11921.857049002414
5.0	12458.584127066553
6.0	12960.559677931808
7.0	13320.770473134322
8.0	13690.271453861986
9.0	14195.792801472462
10.0	15283.708367238458
11.0	16018.267496568553
12.0	16499.46173741748
13.0	16996.866980999628
14.0	17320.386159327732
15.0	17987.376912970405
16.0	18554.49812594609
17.0	18720.944335792352
18.0	19314.859976717333
19.0	19689.208494048402
20.0	20326.67126388321
21.0	20654.085770708665
22.0	20852.243835875273
23.0	21237.343669919104
24.0	21152.49114832894
25.0	21458.435070276257
26.0	22120.72250097455
27.0	22094.53125891278
28.0	22305.292499986623
29.0	22347.90387564381
30.0	22673.443515133044
31.0	22962.801037510144
32.0	23567.806098657064
33.0	23979.547312350285
34.0	23629.99602116045
35.0	23743.130275858817
36.0	23386.61727048266
37.0	23725.662844954168
38.0	23949.22399938572
39.0	24611.458452328527
40.0	24634.779490821486
41.0	25041.874414107024
42.0	25660.259544728666
43.0	25871.36748610044
44.0	25890.46390936889
45.0	25922.17947744049
46.0	26394.983211326315
47.0	26437.545285136363
48.0	25953.261303832656
49.0	26049.685006022046
50.0	25941.180779434857
51.0	25760.17970663582
52.0	25739.825653473068
53.0	25825.405735670436
54.0	25786.814386834445
55.0	25803.83928505601
56.0	25735.811024148985
57.0	25757.68499490922
58.0	25615.112347656588
59.0	25472.03125473287
60.0	25513.86835087095
61.0	25579.71059051552
62.0	25553.79467382469
63.0	25761.01900267783
64.0	25237.068575328107
65.0	25073.374551211244
66.0	24852.365215784812
67.0	24619.06674412253
68.0	24859.881024788298
69.0	25039.8852873952
70.0	24849.16993166756
71.0	24900.44955024189
72.0	24875.78276819364
73.0	24873.907234730494
74.0	24291.96623001037
75.0	24002.207674544345
76.0	23416.55472676472
77.0	22982.426908424284
78.0	22822.696122795438
79.0	22385.38620564982
80.0	22073.683886229937
81.0	21665.97878174325
82.0	21137.300628325534
83.0	20545.940229448308
84.0	20213.612859526133
85.0	19685.35598779785
86.0	19554.824118802448
87.0	19321.812385079465
88.0	18941.652722890816
89.0	17847.670667808008
90.0	17194.11302515382
91.0	16320.720898565225
92.0	15442.880881340536
93.0	13607.95963225732
94.0	11996.372573388588
95.0	9751.644143439047
96.0	7564.144157782714
97.0	5463.561179022229
98.0	3261.491602885011
99.0	916.7779142135213
