##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	EL86-PG_S2_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	21101902
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.74363675843059	32.0	32.0	32.0	32.0	32.0
2	31.804829773164524	32.0	32.0	32.0	32.0	32.0
3	31.831288762501124	32.0	32.0	32.0	32.0	32.0
4	31.84773941230511	32.0	32.0	32.0	32.0	32.0
5	31.864604858841634	32.0	32.0	32.0	32.0	32.0
6	35.68064409549433	36.0	36.0	36.0	36.0	36.0
7	35.68139924069404	36.0	36.0	36.0	36.0	36.0
8	35.67320016934966	36.0	36.0	36.0	36.0	36.0
9	35.670986293083914	36.0	36.0	36.0	36.0	36.0
10-11	35.667678629158644	36.0	36.0	36.0	36.0	36.0
12-13	35.680666415757216	36.0	36.0	36.0	36.0	36.0
14-15	35.66915987004394	36.0	36.0	36.0	36.0	36.0
16-17	35.6649850331027	36.0	36.0	36.0	36.0	36.0
18-19	35.65801689345349	36.0	36.0	36.0	36.0	36.0
20-21	35.651388486213236	36.0	36.0	36.0	36.0	36.0
22-23	35.63141092684441	36.0	36.0	36.0	36.0	36.0
24-25	35.61299483809564	36.0	36.0	36.0	36.0	36.0
26-27	35.58704375937897	36.0	36.0	36.0	36.0	36.0
28-29	35.56760652725451	36.0	36.0	36.0	36.0	36.0
30-31	35.54938617931437	36.0	36.0	36.0	36.0	36.0
32-33	35.53523460233532	36.0	36.0	36.0	36.0	36.0
34-35	35.519597302943595	36.0	36.0	36.0	36.0	36.0
36-37	35.50510538916952	36.0	36.0	36.0	36.0	36.0
38-39	35.484411269741216	36.0	36.0	36.0	36.0	36.0
40-41	35.46927032012579	36.0	36.0	36.0	36.0	36.0
42-43	35.45786016937116	36.0	36.0	36.0	36.0	36.0
44-45	35.44221663328253	36.0	36.0	36.0	36.0	36.0
46-47	35.42557837105868	36.0	36.0	36.0	36.0	36.0
48-49	35.40735967919905	36.0	36.0	36.0	36.0	36.0
50-51	35.39618098547224	36.0	36.0	36.0	36.0	36.0
52-53	35.37904245291756	36.0	36.0	36.0	36.0	36.0
54-55	35.363659048516084	36.0	36.0	36.0	36.0	36.0
56-57	35.345016375863	36.0	36.0	36.0	36.0	36.0
58-59	35.32541221255693	36.0	36.0	36.0	36.0	36.0
60-61	35.30561139750827	36.0	36.0	36.0	36.0	36.0
62-63	35.279758276699724	36.0	36.0	36.0	36.0	36.0
64-65	35.254113890065106	36.0	36.0	36.0	36.0	36.0
66-67	35.22772863024218	36.0	36.0	36.0	36.0	36.0
68-69	35.20824890226632	36.0	36.0	36.0	36.0	36.0
70-71	35.17363564457868	36.0	36.0	36.0	36.0	36.0
72-73	35.141428420568516	36.0	36.0	36.0	36.0	36.0
74-75	35.0952964755944	36.0	36.0	36.0	36.0	36.0
76	34.50534659070392	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.055112395994271424
11101	2	-0.024542626123313482
11101	3	-0.005451207677005243
11101	4	-0.020224378262874154
11101	5	-0.004513910154674505
11101	6	-0.006037425829759968
11101	7	-0.020106518434367615
11101	8	-0.008784066763929843
11101	9	-1.8439095600797373E-4
11101	10-11	-0.006399548751751638
11101	12-13	-0.05630778470040099
11101	14-15	-0.027726021301319292
11101	16-17	-0.042379501062768554
11101	18-19	-0.07116597122065116
11101	20-21	-0.04496907291790109
11101	22-23	-0.10610950069214198
11101	24-25	-0.04997736889408344
11101	26-27	-0.025198316278348898
11101	28-29	-0.07750348204151436
11101	30-31	-0.026990635689884357
11101	32-33	-0.015963383928458086
11101	34-35	-0.01656367398956604
11101	36-37	-0.03166430377747531
11101	38-39	0.032758439576468845
11101	40-41	-0.006281782778458478
11101	42-43	-0.03190930067727038
11101	44-45	-0.0786290218219392
11101	46-47	-0.06942239332956035
11101	48-49	-0.06203228166072705
11101	50-51	-0.09848409748316556
11101	52-53	-0.02927537219353127
11101	54-55	-0.05472737544369011
11101	56-57	-0.058179778981404695
11101	58-59	-0.028242105502776838
11101	60-61	-0.017553589428146665
11101	62-63	-0.02818798686320889
11101	64-65	-0.048413533264714204
11101	66-67	-0.018331104646541974
11101	68-69	-0.03859944169578711
11101	70-71	-0.03894368081846977
11101	72-73	-0.039781795419919774
11101	74-75	-0.019836059720461208
11101	76	0.2349241203675092
11102	1	0.02904123533418712
11102	2	0.040481020715006366
11102	3	-0.02192519723611852
11102	4	5.076821139446963E-4
11102	5	0.01121648372081907
11102	6	0.06104089684905034
11102	7	0.0424531032522637
11102	8	-0.029852490992546166
11102	9	0.03032091801532033
11102	10-11	0.03931852049271356
11102	12-13	0.021864800861763456
11102	14-15	0.03478336656603176
11102	16-17	0.01971756401169955
11102	18-19	0.02249712483515509
11102	20-21	0.00688590209088602
11102	22-23	0.025394506164531094
11102	24-25	0.041662903617400104
11102	26-27	0.06444837412962556
11102	28-29	0.02397858704855338
11102	30-31	0.04452135076304842
11102	32-33	0.04569813978151416
11102	34-35	0.07882372394968229
11102	36-37	0.06518761858806243
11102	38-39	0.052111259213702965
11102	40-41	0.04104801845168993
11102	42-43	0.039158527652034536
11102	44-45	0.028605103382595587
11102	46-47	0.01872181710842824
11102	48-49	-0.006310564531318619
11102	50-51	0.05108549547468755
11102	52-53	0.06637724436760806
11102	54-55	0.04385700574660234
11102	56-57	0.09204401691756914
11102	58-59	0.03354286978547805
11102	60-61	0.0636485370884543
11102	62-63	0.08263020190163672
11102	64-65	0.042718174569039036
11102	66-67	0.0383128384430762
11102	68-69	-0.01595538835500321
11102	70-71	0.07777964524046865
11102	72-73	0.09150758970783812
11102	74-75	0.07651351015591246
11102	76	0.12311513531232521
11103	1	0.043449731975588435
11103	2	-0.010534322813217756
11103	3	0.015950557088245887
11103	4	0.015431455090304524
11103	5	0.01907220805352594
11103	6	-0.011395317546522676
11103	7	0.011755466535305459
11103	8	0.07237934922827804
11103	9	0.07760313185200829
11103	10-11	0.018668622989103767
11103	12-13	0.04334883339610229
11103	14-15	-0.0018539412665745658
11103	16-17	0.0383995948267426
