#Transcript position	Transcript coverage profile
0.0	2307.742005678182
1.0	2427.822836583346
2.0	2826.155493535293
3.0	3276.1426259063587
4.0	3947.7341013721925
5.0	4217.261918991715
6.0	4350.783479012463
7.0	4469.025698347535
8.0	4421.075778028119
9.0	4409.375773721005
10.0	4787.376908866192
11.0	5076.596648053559
12.0	5157.849632973762
13.0	5241.696726221973
14.0	5253.048713430252
15.0	5465.407850691689
16.0	5660.343456358868
17.0	5738.349180308274
18.0	5985.474619058347
19.0	6136.804122052977
20.0	6422.593851449501
21.0	6544.721805822779
22.0	6672.005562572966
23.0	6893.450010232402
24.0	6962.004428180967
25.0	7097.886841449184
26.0	7308.407363324311
27.0	7206.441219473924
28.0	7378.718159178776
29.0	7338.733478614983
30.0	7463.13038883756
31.0	7599.899178616086
32.0	8001.69691473663
33.0	8290.498407080002
34.0	8119.960051008805
35.0	8082.148637019312
36.0	7910.151674887376
37.0	7968.598574140168
38.0	7930.897274188164
39.0	8218.423932481024
40.0	8282.31454816627
41.0	8696.235264055169
42.0	9151.294777444014
43.0	9268.342519769341
44.0	9279.71837739124
45.0	9228.301410539929
46.0	9422.159351536337
47.0	9486.030196490674
48.0	9266.299231611849
49.0	9324.38571663239
50.0	9261.050086316585
51.0	9267.210816669996
52.0	9285.10864755185
53.0	9333.710215896723
54.0	9301.656950673674
55.0	9250.458978263734
56.0	9169.930618681006
57.0	9205.972206039674
58.0	9157.508124691674
59.0	9071.670150570659
60.0	8992.334314960694
61.0	8933.728759623571
62.0	8918.06503650127
63.0	9078.195143835559
64.0	8887.141135687416
65.0	8805.833239192445
66.0	8643.042332606969
67.0	8591.056042982804
68.0	8783.93402501434
69.0	8861.370669893624
70.0	8635.989711037897
71.0	8585.35303793564
72.0	8466.82002941856
73.0	8556.465852636402
74.0	8284.89992641709
75.0	8104.51320329266
76.0	7699.5972943566285
77.0	7532.40215200746
78.0	7472.297258768274
79.0	7339.395590606361
80.0	7291.973775857871
81.0	7139.437691435688
82.0	6817.917890530838
83.0	6519.270636719125
84.0	6458.612216321913
85.0	6210.03090382774
86.0	6089.69817901675
87.0	5916.777975962724
88.0	5633.749536011571
89.0	5014.505902773217
90.0	4766.3389692945475
91.0	4495.079052900156
92.0	4271.063975845779
93.0	3577.576599946056
94.0	3081.9990903680878
95.0	2325.0195960817887
96.0	1589.0978175917965
97.0	1246.5972673387735
98.0	821.9308622007323
99.0	212.88213467547467
