#Transcript position	Transcript coverage profile
0.0	3808.672411829554
1.0	4116.35845502647
2.0	4698.260435183809
3.0	5343.827522065842
4.0	6186.64741238854
5.0	6671.857784786376
6.0	7024.383802005078
7.0	7336.96821473896
8.0	7469.540063657933
9.0	7614.560355691653
10.0	8128.920929269302
11.0	8546.816190192549
12.0	8727.635184832192
13.0	8926.988495893016
14.0	9072.644310295233
15.0	9411.328985201584
16.0	9708.651763202623
17.0	9868.267515137113
18.0	10192.764113330599
19.0	10437.377732804182
20.0	10798.956662106819
21.0	10997.922384475847
22.0	11214.961028924994
23.0	11509.599167950662
24.0	11637.123303581659
25.0	11817.936796513586
26.0	12097.303649155321
27.0	12025.145458206614
28.0	12209.819462327221
29.0	12214.954364970265
30.0	12377.224496786039
31.0	12529.207452640625
32.0	12972.258567617164
33.0	13303.596699913927
34.0	13154.536411340085
35.0	13142.26959271963
36.0	13004.557585909886
37.0	13127.900514177953
38.0	13140.717048172157
39.0	13466.682346046184
40.0	13540.858931038041
41.0	13952.50754852829
42.0	14398.212087231339
43.0	14540.592055782012
44.0	14561.126263903067
45.0	14567.177577794064
46.0	14796.64523769832
47.0	14881.945269893116
48.0	14667.120871257599
49.0	14729.02910401924
50.0	14672.536508278956
51.0	14671.377120986814
52.0	14707.230969383187
53.0	14734.454575564456
54.0	14684.098943443989
55.0	14651.681597243101
56.0	14594.528769817973
57.0	14632.563935358758
58.0	14589.337365922394
59.0	14547.528125558232
60.0	14520.887459198548
61.0	14479.730071246786
62.0	14439.780313214156
63.0	14605.186785488439
64.0	14449.254890644104
65.0	14384.470440320245
66.0	14227.502813741372
67.0	14151.68024782376
68.0	14304.879795921916
69.0	14392.848425151127
70.0	14170.431973227809
71.0	14119.234433016753
72.0	13999.921825076635
73.0	14060.314160585156
74.0	13765.559709796478
75.0	13581.55229130381
76.0	13209.970198232384
77.0	13004.71664577056
78.0	12897.22043310497
79.0	12735.065177665896
80.0	12631.799219210283
81.0	12461.584497220061
82.0	12097.896998497821
83.0	11762.870759832622
84.0	11666.747354500045
85.0	11387.901582805718
86.0	11224.92012773501
87.0	10998.541526422812
88.0	10669.006370317027
89.0	9937.23546892782
90.0	9537.617026484286
91.0	9084.765311408635
92.0	8635.938435241627
93.0	7643.104431195668
94.0	6751.167067315144
95.0	5508.261889955001
96.0	4152.040378145699
97.0	3059.740302020562
98.0	1857.9195543184526
99.0	522.775162370373
