##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	FC50-BL_S11_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	42011412
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.415930366729878	32.0	32.0	32.0	32.0	32.0
2	31.48570919254035	32.0	32.0	32.0	32.0	32.0
3	31.517599622692995	32.0	32.0	32.0	32.0	32.0
4	31.541636567702128	32.0	32.0	32.0	32.0	32.0
5	31.575289685574006	32.0	32.0	32.0	32.0	32.0
6	35.129202489076064	36.0	36.0	36.0	36.0	36.0
7	35.1427014402658	36.0	36.0	36.0	36.0	36.0
8	35.106039592289825	36.0	36.0	36.0	36.0	36.0
9	35.108548196380546	36.0	36.0	36.0	36.0	36.0
10-11	35.10463837778173	36.0	36.0	36.0	36.0	36.0
12-13	35.129071120009016	36.0	36.0	36.0	36.0	36.0
14-15	35.10960955085251	36.0	36.0	36.0	36.0	36.0
16-17	35.101382702871305	36.0	36.0	36.0	36.0	36.0
18-19	35.08638894355657	36.0	36.0	36.0	36.0	36.0
20-21	35.066831579000485	36.0	36.0	36.0	36.0	36.0
22-23	35.03038896907345	36.0	36.0	36.0	36.0	36.0
24-25	34.997487777844746	36.0	36.0	36.0	36.0	36.0
26-27	34.92279066058984	36.0	36.0	36.0	36.0	36.0
28-29	34.88880483205918	36.0	36.0	36.0	36.0	36.0
30-31	34.84363333701512	36.0	36.0	36.0	34.0	36.0
32-33	34.81780472198293	36.0	36.0	36.0	32.0	36.0
34-35	34.788797238311936	36.0	36.0	36.0	32.0	36.0
36-37	34.7621951663877	36.0	36.0	36.0	32.0	36.0
38-39	34.72897398249913	36.0	36.0	36.0	32.0	36.0
40-41	34.700206688559504	36.0	36.0	36.0	32.0	36.0
42-43	34.67821860206814	36.0	36.0	36.0	32.0	36.0
44-45	34.6398315424284	36.0	36.0	36.0	32.0	36.0
46-47	34.60137488793976	36.0	36.0	36.0	32.0	36.0
48-49	34.5522158688215	36.0	36.0	36.0	32.0	36.0
50-51	34.507050647156774	36.0	36.0	36.0	32.0	36.0
52-53	34.45572441225637	36.0	36.0	36.0	32.0	36.0
54-55	34.406490130311894	36.0	36.0	36.0	32.0	36.0
56-57	34.33166199603659	36.0	36.0	36.0	32.0	36.0
58-59	34.2662509704808	36.0	36.0	36.0	32.0	36.0
60-61	34.206176255728124	36.0	36.0	36.0	32.0	36.0
62-63	34.142600331469126	36.0	36.0	36.0	32.0	36.0
64-65	34.081986464731756	36.0	36.0	36.0	32.0	36.0
66-67	34.02335763979596	36.0	36.0	36.0	32.0	36.0
68-69	33.969322710601794	36.0	36.0	36.0	32.0	36.0
70-71	33.91362750120323	36.0	36.0	36.0	32.0	36.0
72-73	33.860213339093164	36.0	36.0	36.0	32.0	36.0
74-75	33.78916449277241	36.0	36.0	36.0	27.0	36.0
76	32.30842799504694	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.044500963109889824
11101	2	0.0588611698362449
11101	3	-0.0020283493139849895
11101	4	0.0472275723022193
11101	5	0.06074945500141382
11101	6	0.1234404311145525
11101	7	0.15399545288239125
11101	8	0.037533294175418064
11101	9	0.0962901423503979
11101	10-11	0.0992356726118544
11101	12-13	0.06351905453681894
11101	14-15	0.10812177264488554
11101	16-17	0.12615024055271817
11101	18-19	0.12775659911925885
11101	20-21	0.16013551649888313
11101	22-23	0.05455815470885028
11101	24-25	0.10230188976816379
11101	26-27	0.07258839930659633
11101	28-29	0.0992583025593845
11101	30-31	0.09513289606184117
11101	32-33	0.11278590261191113
11101	34-35	0.11900438439462135
11101	36-37	0.17128324881780088
11101	38-39	0.1285558846605923
11101	40-41	0.18707515118889262
11101	42-43	0.09756208084416329
11101	44-45	0.13900157764598475
11101	46-47	0.15191654329652238
11101	48-49	0.16773373241029788
11101	50-51	0.16114382885227485
11101	52-53	0.17901039004019736
11101	54-55	0.10366509200702012
11101	56-57	0.22279598024172032
11101	58-59	0.17461338784126923
11101	60-61	0.2313655793242262
11101	62-63	0.21666045244872123
11101	64-65	0.21177473281554882
11101	66-67	0.3379576508054569
11101	68-69	0.3655666763442511
11101	70-71	0.29764972573565984
11101	72-73	0.2790215988332747
11101	74-75	0.29660361924144496
11101	76	0.4680046665607378
11102	1	0.12761830759036386
11102	2	0.014097382413240211
11102	3	0.006296740865852968
11102	4	0.07748622240444547
11102	5	0.08315869566763823
11102	6	0.09031446583216507
11102	7	0.06043224886109044
11102	8	0.09243873882387987
11102	9	0.12549804431807843
11102	10-11	0.07060387982363636
11102	12-13	0.10839452171396147
11102	14-15	0.10353553206982014
11102	16-17	0.035471411002376385
11102	18-19	0.1339285203079399
11102	20-21	0.054049048032531744
11102	22-23	0.062446370775838034
11102	24-25	0.129678170842773
11102	26-27	0.10321849445257669
11102	28-29	0.1233115057720724
11102	30-31	0.12974466850625532
11102	32-33	0.06913697412271347
11102	34-35	0.14332128800638344
11102	36-37	0.09120745928949248
11102	38-39	0.08529849919285226
11102	40-41	0.1406830160966166
11102	42-43	0.14978727596501074
11102	44-45	0.1746281628345443
11102	46-47	0.20556315300227368
11102	48-49	0.1498573587648977
11102	50-51	0.16372771997597368
11102	52-53	0.09114260024899323
11102	54-55	0.150803087150571
11102	56-57	0.08165816691658279
11102	58-59	0.08132206658989105
11102	60-61	0.21039757167440598
11102	62-63	0.10686151283256606
11102	64-65	0.13780782547147652
11102	66-67	0.1132015856417965
11102	68-69	0.05402686882644758
11102	70-71	0.12133898971956825
11102	72-73	0.07174754201946598
11102	74-75	0.18449253603937876
11102	76	0.17859493416056438
11103	1	0.08288232866166112
11103	2	0.006671404477284426
11103	3	-0.001152418291297863
11103	4	0.013970928804219795
11103	5	0.002782513109668372
11103	6	0.09306155347309186
11103	7	0.06448274121564879
11103	8	0.09581141144929006
11103	9	0.04651458295931121
11103	10-11	0.05740466391971921
11103	12-13	0.09772272109463387
11103	14-15	0.0977818307997822
11103	16-17	0.08345337687465815
11103	18-19	0.07826441271257778
11103	20-21	0.057702713401440064
11103	22-23	0.1349460199263106
11103	24-25	0.10944051302079316
11103	26-27	0.045759963657708624
11103	28-29	0.10226407473825105
11103	30-31	0.0843904483745419
11103	32-33	0.09138197419612482
11103	34-35	0.12319456178881438
11103	36-37	0.11139285102195373
11103	38-39	0.12511452372056908
11103	40-41	0.12336968420396488
11103	42-43	0.08272254156782566
11103	44-45	0.111921690300548
11103	46-47	0.09692208508585054
11103	48-49	0.0727180124085578
11103	50-51	0.07108450126878552
11103	52-53	0.10978217868433404
11103	54-55	0.11786685823037857
11103	56-57	0.17596182010507988
11103	58-59	0.11255495446800268
11103	60-61	0.17873386358768073
11103	62-63	0.10944986360136966
11103	64-65	0.040104943978768404
11103	66-67	0.1348724698963224
11103	68-69	0.11549597788174282
11103	70-71	0.17183519053130425
11103	72-73	0.17589254661783826
11103	74-75	0.2224234533912366
11103	76	0.3774006847404223
11104	1	0.07478102568778056
11104	2	0.058296165726257954
11104	3	0.007412851333004511
11104	4	0.0507689506067841
11104	5	0.07645236911590914
11104	6	0.07393845566841861
11104	7	0.049413054240012855
11104	8	0.004165277841522652
11104	9	-0.011840422706747233
11104	10-11	0.07837941614856447
11104	12-13	0.058175432973960994
11104	14-15	0.041771283423663874
11104	16-17	0.05906663542981505
11104	18-19	0.03810220938628106
11104	20-21	0.03501028116889415
11104	22-23	0.07110661280022867
11104	24-25	0.023499779090151662
11104	26-27	0.03225779724393618
11104	28-29	-0.006405739462643112
11104	30-31	0.038263396669812266
11104	32-33	0.04731180664506951
11104	34-35	0.06165001835238115
11104	36-37	0.06968353396192839
11104	38-39	0.08970472496319104
11104	40-41	0.09836851146103953
11104	42-43	0.10819408277259157
11104	44-45	0.0827723903139912
11104	46-47	0.06627516781270515
11104	48-49	0.1179503027599651
11104	50-51	0.05324658280741801
11104	52-53	0.060599234403426294
11104	54-55	0.10150232813976601
11104	56-57	0.004698160555676623
11104	58-59	-0.006913335055955372
11104	60-61	0.040068648018831254
11104	62-63	0.08760926055975204
11104	64-65	0.17686481488361494
11104	66-67	0.07027448414190474
11104	68-69	0.1731351191231525
11104	70-71	0.1407603482177464
11104	72-73	0.11543369327403497
