#Transcript position	Transcript coverage profile
0.0	4876.353080732252
1.0	5558.617257402016
2.0	6695.847857503853
3.0	7173.852583152897
4.0	7776.321260035943
5.0	7465.056897651991
6.0	7380.5153533744815
7.0	7105.393809180125
8.0	7085.022394245559
9.0	7345.451493970677
10.0	8014.023544279146
11.0	8422.12727307441
12.0	8672.54391090416
13.0	8946.451759142994
14.0	9134.946694107144
15.0	9460.264658630167
16.0	9726.48393471819
17.0	9717.067307700094
18.0	10223.798456547132
19.0	10394.706499757871
20.0	11084.673497665564
21.0	11245.581859293421
22.0	11292.816630852782
23.0	11646.452269883697
24.0	11411.988548822335
25.0	12091.576212042195
26.0	12820.677580208398
27.0	12765.164844222425
28.0	13102.752922577523
29.0	13081.611012740752
30.0	13353.77325558408
31.0	13664.371805118182
32.0	14204.898904021305
33.0	14411.600735739286
34.0	14106.247940853556
35.0	14547.328290115665
36.0	14023.480083026614
37.0	14112.237030761433
38.0	14416.49396248073
39.0	15055.465677130567
40.0	15075.152391615462
41.0	15565.06435740513
42.0	16293.940772259944
43.0	16484.141447534923
44.0	16428.10628692179
45.0	15882.38006136319
46.0	16260.464478844446
47.0	16248.291914602232
48.0	15894.058298622042
49.0	16361.012162193863
50.0	16190.455298431742
51.0	16129.821382546284
52.0	16237.09716214732
53.0	16150.14326770735
54.0	15791.144520625096
55.0	15961.412749128946
56.0	16056.268581871094
57.0	16033.1086338246
58.0	16135.975476837972
59.0	16133.699872169105
60.0	16190.375261636524
61.0	16415.02945631029
62.0	16544.224312945047
63.0	16488.806083126332
64.0	15839.467822542074
65.0	15699.22277082182
66.0	15287.937510240561
67.0	14912.009180629557
68.0	14858.680028578216
69.0	14816.386485656962
70.0	14852.521435399327
71.0	14944.003243182813
72.0	14879.006260982871
73.0	14958.916634285179
74.0	14214.383902026166
75.0	13890.482970713982
76.0	13129.63086095792
77.0	12665.994147739431
78.0	12746.681561879088
79.0	12270.633443561162
80.0	12058.137570105226
81.0	11825.037882069446
82.0	11482.413357556145
83.0	10801.31217126121
84.0	10236.15511076706
85.0	9809.014429664956
86.0	9657.159894113915
87.0	9520.04704698022
88.0	9279.768156608321
89.0	8481.177826170653
90.0	7967.09764774994
91.0	7184.425159512356
92.0	6645.589200808508
93.0	5192.229456914256
94.0	4343.306191508301
95.0	3322.0531369254168
96.0	2568.4356068106667
97.0	1887.1671716330245
98.0	1128.2653378450877
99.0	235.02904391561665
