#Transcript position	Transcript coverage profile
0.0	7862.9746440951485
1.0	8847.500181624862
2.0	10280.816910777765
3.0	11145.369829527546
4.0	12148.162765710544
5.0	12255.591167124081
6.0	12544.980124112448
7.0	12594.190389526022
8.0	12905.37312528187
9.0	13480.350277252972
10.0	14436.701696188511
11.0	15115.197417308249
12.0	15557.132846049006
13.0	16047.50021281184
14.0	16484.061961833613
15.0	17034.831646198254
16.0	17497.54493515567
17.0	17624.269353070507
18.0	18305.275872549486
19.0	18616.460917830867
20.0	19421.281519910524
21.0	19723.18980692142
22.0	19949.81151815461
23.0	20381.92225419283
24.0	20243.86749692773
25.0	21007.169839278977
26.0	21860.28677694559
27.0	21854.65800822049
28.0	22228.67971164938
29.0	22311.089403473372
30.0	22651.325565094572
31.0	22981.29158591525
32.0	23581.39910081812
33.0	23879.2597950877
34.0	23582.685169629698
35.0	24017.543612752983
36.0	23545.140932752252
37.0	23729.025797706596
38.0	24141.866886151245
39.0	24834.845694186362
40.0	24888.90462832124
41.0	25364.137095044687
42.0	26042.44715147529
43.0	26237.06362053108
44.0	26192.189404789067
45.0	25769.598594737658
46.0	26214.430801167837
47.0	26214.808839630794
48.0	25827.704695804772
49.0	26294.147905359256
50.0	26147.185202254637
51.0	26101.11608596106
52.0	26234.81280002448
53.0	26128.20377375729
54.0	25763.833845962992
55.0	25975.42751836936
56.0	26129.663647532692
57.0	26129.675023862914
58.0	26203.87512764227
59.0	26273.048524928283
60.0	26363.528210267305
61.0	26582.75252090588
62.0	26606.94499551751
63.0	26502.428677554133
64.0	25906.750821692152
65.0	25805.01879713169
66.0	25426.199280384626
67.0	25036.515949678065
68.0	24938.932812533727
69.0	24918.749901252842
70.0	24936.903713100743
71.0	24984.97635345555
72.0	24869.019863631587
73.0	24884.4720535468
74.0	24143.473878255107
75.0	23804.83523366833
76.0	23093.756991507682
77.0	22535.5398881
78.0	22527.13724248189
79.0	22005.6100825722
80.0	21687.160038723247
81.0	21426.99239022144
82.0	20980.652066892926
83.0	20224.405222193993
84.0	19587.928454988905
85.0	19064.588173196826
86.0	18876.72386410777
87.0	18661.010970682066
88.0	18311.12145699248
89.0	17307.908489564845
90.0	16513.43608347255
91.0	15408.832462570354
92.0	14454.828918985566
93.0	12455.49469153944
94.0	10918.187837003366
95.0	9045.76745893161
96.0	7219.011399877201
97.0	5190.442789162441
98.0	3030.486789029357
99.0	811.6301881757586
