##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	FC50-PG_S6_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	22052324
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.78101727509536	32.0	32.0	32.0	32.0	32.0
2	31.84377963973321	32.0	32.0	32.0	32.0	32.0
3	31.859463655621965	32.0	32.0	32.0	32.0	32.0
4	31.86869125449091	32.0	32.0	32.0	32.0	32.0
5	31.879364914101572	32.0	32.0	32.0	32.0	32.0
6	35.70266476222642	36.0	36.0	36.0	36.0	36.0
7	35.70362026242676	36.0	36.0	36.0	36.0	36.0
8	35.693679858866574	36.0	36.0	36.0	36.0	36.0
9	35.69259353345253	36.0	36.0	36.0	36.0	36.0
10-11	35.69185032380261	36.0	36.0	36.0	36.0	36.0
12-13	35.700919435974185	36.0	36.0	36.0	36.0	36.0
14-15	35.6911728441864	36.0	36.0	36.0	36.0	36.0
16-17	35.683128363250965	36.0	36.0	36.0	36.0	36.0
18-19	35.67339752943953	36.0	36.0	36.0	36.0	36.0
20-21	35.66121035587904	36.0	36.0	36.0	36.0	36.0
22-23	35.6404003723145	36.0	36.0	36.0	36.0	36.0
24-25	35.617156767694865	36.0	36.0	36.0	36.0	36.0
26-27	35.5873833240678	36.0	36.0	36.0	36.0	36.0
28-29	35.56505230347442	36.0	36.0	36.0	36.0	36.0
30-31	35.536380823968926	36.0	36.0	36.0	36.0	36.0
32-33	35.51834289200315	36.0	36.0	36.0	36.0	36.0
34-35	35.50328059859579	36.0	36.0	36.0	36.0	36.0
36-37	35.480317198613015	36.0	36.0	36.0	36.0	36.0
38-39	35.45571530321544	36.0	36.0	36.0	36.0	36.0
40-41	35.437336557644535	36.0	36.0	36.0	36.0	36.0
42-43	35.42059046005065	36.0	36.0	36.0	36.0	36.0
44-45	35.4007515780673	36.0	36.0	36.0	36.0	36.0
46-47	35.38038282695824	36.0	36.0	36.0	36.0	36.0
48-49	35.352555883674924	36.0	36.0	36.0	36.0	36.0
50-51	35.34121492982	36.0	36.0	36.0	36.0	36.0
52-53	35.31987798721561	36.0	36.0	36.0	36.0	36.0
54-55	35.298356249823065	36.0	36.0	36.0	36.0	36.0
56-57	35.27399706515065	36.0	36.0	36.0	36.0	36.0
58-59	35.25227723524715	36.0	36.0	36.0	36.0	36.0
60-61	35.23385786178468	36.0	36.0	36.0	36.0	36.0
62-63	35.20733624438237	36.0	36.0	36.0	36.0	36.0
64-65	35.179214657706936	36.0	36.0	36.0	36.0	36.0
66-67	35.15178023132648	36.0	36.0	36.0	36.0	36.0
68-69	35.128185904399686	36.0	36.0	36.0	36.0	36.0
70-71	35.09479851927693	36.0	36.0	36.0	36.0	36.0
72-73	35.05968210792541	36.0	36.0	36.0	36.0	36.0
74-75	35.00862450779107	36.0	36.0	36.0	36.0	36.0
76	34.45596583297954	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.014425383573744455
11101	2	0.014904527973282455
11101	3	-0.03809227490408418
11101	4	-0.029190139778801694
11101	5	0.012586775552104967
11101	6	-0.06746602965221626
11101	7	-0.012223463966101633
11101	8	-0.011535956986271856
11101	9	0.025095520813387395
11101	10-11	-0.04903047301377228
11101	12-13	-0.03993782503684429
11101	14-15	-0.061189743685396536
11101	16-17	-0.0515462058189442
11101	18-19	0.008800947344127508
11101	20-21	-0.019851461173580276
11101	22-23	-0.03374967133751028
11101	24-25	-0.013848466856252628
11101	26-27	-0.024634278314657365
11101	28-29	-0.02493020361479381
11101	30-31	-0.026460418877277903
11101	32-33	-0.04829783753262973
11101	34-35	0.014460797901328704
11101	36-37	-0.03254370934484996
11101	38-39	0.001731179774090208
11101	40-41	-0.009296372044431678
11101	42-43	0.036158093021718685
11101	44-45	-0.050277406688685744
11101	46-47	-0.09022230957218369
11101	48-49	-0.037076160271404035
11101	50-51	-0.02131333304249239
11101	52-53	-0.031478649767997524
11101	54-55	-0.03869926180231431
11101	56-57	-0.053639070565296265
11101	58-59	-0.03471782935833545
11101	60-61	-0.02320928030406577
11101	62-63	-0.07337994828299088
11101	64-65	-0.015028975840870373
11101	66-67	-0.06362417806770537
11101	68-69	-0.026371500004522375
11101	70-71	-0.08052927947657906
11101	72-73	0.06185660369684598
11101	74-75	0.045538089386568004
11101	76	0.08226628912635903
11102	1	0.036263190609631124
11102	2	-0.01057828594291621
11102	3	0.01597340343310094
11102	4	0.00724099089937269
11102	5	0.023766019952788042
11102	6	0.03855364851151677
11102	7	-0.03500550432571714
11102	8	-0.014174747387983189
11102	9	-0.007966200464771589
11102	10-11	0.032084305504859856
11102	12-13	0.025410084115740972
11102	14-15	0.017227853578845043
11102	16-17	4.8525169496116405E-4
11102	18-19	0.006908994441118921
11102	20-21	0.03835492997838941
11102	22-23	0.0204609319481861
11102	24-25	0.04341270244022866
11102	26-27	0.04949476323248092
11102	28-29	0.022080187342844226
11102	30-31	0.027903051826271508
11102	32-33	0.0870284707991189
11102	34-35	0.06968206264090071
11102	36-37	0.06382735652731242
11102	38-39	0.03286292006482938
11102	40-41	0.017163589447363847
11102	42-43	0.026071890446083046
11102	44-45	0.0557741177303015
11102	46-47	0.047628956027381264
11102	48-49	0.017168778193273226
11102	50-51	0.04171241990908925
11102	52-53	0.01948796258781016
11102	54-55	0.009114995855242114
11102	56-57	0.01647569049714548
11102	58-59	0.031499421359910684
11102	60-61	0.12924695952055032
11102	62-63	0.019768304871078612
11102	64-65	0.06507159512484151
11102	66-67	0.08542095517393733
11102	68-69	0.010939259599133777
11102	70-71	0.06336091528174137
11102	72-73	0.14769584970530047
11102	74-75	0.0745325806225523
11102	76	0.29148588785388796
11103	1	-0.02624528323323716
11103	2	0.0023332062707659418
11103	3	-0.03976296750246178
11103	4	-0.033778658800375894
11103	5	-1.246879075722518E-4
11103	6	-0.04867404665129982
11103	7	-0.028949891877225298
11103	8	-0.01459771835335033
11103	9	-0.019131840654587506
11103	10-11	-0.012333535480181013
11103	12-13	-5.610423163986411E-4
11103	14-15	0.0030321234340746628
11103	16-17	0.020822354385920505
