#Transcript position	Transcript coverage profile
0.0	2645.5323524695555
1.0	2832.290302625399
2.0	3194.615507020153
3.0	3446.2732338196347
4.0	3856.628155872928
5.0	3994.9787217010653
6.0	3981.7348292526285
7.0	3921.973084207129
8.0	3886.714554274211
9.0	3909.045485916791
10.0	4135.248108755017
11.0	4371.370519696795
12.0	4647.450525122119
13.0	4837.460758872016
14.0	4945.187761673915
15.0	5184.423526953463
16.0	5316.253623945401
17.0	5342.892679017746
18.0	5591.414386296496
19.0	5777.231070407774
20.0	6238.542486525186
21.0	6349.709095259792
22.0	6326.210979558875
23.0	6413.286391698871
24.0	6404.878095009444
25.0	6690.437177258006
26.0	7068.057844845464
27.0	7035.103252582734
28.0	7154.06983039194
29.0	7062.807433275884
30.0	7126.527937783351
31.0	7254.140767067991
32.0	7624.349450770341
33.0	7747.085187133076
34.0	7541.554008185363
35.0	7900.668395408395
36.0	7686.754737391359
37.0	7594.337404261927
38.0	7655.294459794126
39.0	7891.3375321526255
40.0	7888.85364442718
41.0	8207.305133651455
42.0	8526.265704805175
43.0	8587.236082434903
44.0	8604.932341019792
45.0	8494.987608273292
46.0	8762.818280005182
47.0	8667.964298461507
48.0	8464.6876118879
49.0	8622.559046061915
50.0	8570.232140895925
51.0	8650.603525357532
52.0	8652.752919001872
53.0	8537.913165056149
54.0	8368.923409716215
55.0	8313.600827167827
56.0	8222.963737855962
57.0	8254.699579759348
58.0	8327.83952182977
59.0	8493.81157891769
60.0	8453.173283530105
61.0	8455.102025865232
62.0	8451.207938758756
63.0	8250.497214830168
64.0	8033.89727891368
65.0	7969.876225677689
66.0	7720.98994661364
67.0	7648.411487680594
68.0	7776.455869138583
69.0	7834.494489864055
70.0	7797.088201158314
71.0	7841.668211030114
72.0	7724.256902178537
73.0	7810.468999502349
74.0	7543.055459276038
75.0	7367.78560313572
76.0	6943.821439770416
77.0	6788.437325714436
78.0	6773.70809288701
79.0	6485.037720421057
80.0	6510.00006615927
81.0	6513.728315827767
82.0	6222.741329832003
83.0	5747.850887760632
84.0	5604.348826970056
85.0	5353.396286680679
86.0	5136.531251791534
87.0	4983.630376746252
88.0	4735.4424567080805
89.0	4232.286091590107
90.0	3942.5429019276467
91.0	3581.9942237153023
92.0	3325.9920817224843
93.0	2637.385417932003
94.0	2285.426377593544
95.0	1912.122304761309
96.0	1445.6822351756446
97.0	1129.8465445348295
98.0	710.7019787608144
99.0	178.0073894697775
