#Transcript position	Transcript coverage profile
0.0	4265.308647777656
1.0	4627.979380885263
2.0	5168.402394279437
3.0	5635.063625704989
4.0	6248.397574963244
5.0	6622.86888310261
6.0	6905.63109318002
7.0	7005.841666399268
8.0	7117.990021682296
9.0	7299.164219981181
10.0	7660.286011054647
11.0	8022.817924258593
12.0	8403.494857674883
13.0	8709.275874873272
14.0	8953.913065475772
15.0	9310.454013491568
16.0	9542.817071551599
17.0	9642.843635445792
18.0	9978.375340442153
19.0	10227.371999563138
20.0	10749.610505837336
21.0	10922.514640804504
22.0	10979.8486030112
23.0	11106.015027913561
24.0	11153.344522436582
25.0	11485.697851849562
26.0	11928.399197538729
27.0	11937.516004793228
28.0	12064.089096525575
29.0	12028.059838858186
30.0	12131.453340399114
31.0	12274.98765995203
32.0	12684.887060263845
33.0	12856.574747839206
34.0	12668.674229098193
35.0	13049.921066103243
36.0	12861.434863887333
37.0	12798.54067893152
38.0	12899.341806835073
39.0	13168.859062110609
40.0	13166.515383628075
41.0	13493.670099070465
42.0	13795.376726404445
43.0	13878.081135670342
44.0	13901.366783151621
45.0	13844.59682427504
46.0	14134.405797176727
47.0	14063.49594801085
48.0	13863.49589814675
49.0	14035.532820847286
50.0	13983.991359859847
51.0	14042.60915803438
52.0	14048.165894513002
53.0	13922.7030721804
54.0	13751.5037180068
55.0	13707.00300175115
56.0	13629.786113923315
57.0	13667.030177242532
58.0	13746.179295550606
59.0	13950.635980077255
60.0	13945.509764027722
61.0	13967.903016595772
62.0	13938.093534532749
63.0	13728.100372404026
64.0	13540.345326576162
65.0	13491.774830194596
66.0	13260.751763639719
67.0	13164.455329974413
68.0	13268.814653626876
69.0	13347.9847876191
70.0	13307.468523272139
71.0	13345.01958495162
72.0	13221.078630451811
73.0	13275.630221972335
74.0	12986.595137644625
75.0	12800.831744277046
76.0	12405.234229891596
77.0	12218.228378242684
78.0	12165.537517281726
79.0	11840.676776919587
80.0	11809.296090188258
81.0	11796.041949822
82.0	11468.13855718404
83.0	10950.51954297233
84.0	10759.942823492513
85.0	10460.061263045869
86.0	10208.754808056834
87.0	9992.071482183683
88.0	9654.705963571027
89.0	9016.857255943056
90.0	8576.54660595396
91.0	8040.474503408313
92.0	7571.625207697902
93.0	6598.306010597049
94.0	5875.4178628884765
95.0	5038.093922491033
96.0	3973.4110823384176
97.0	2928.151051051635
98.0	1728.735479912176
99.0	486.6733880939544
