##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	FF66-BL_S4_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	44644433
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.40307121830845	32.0	32.0	32.0	32.0	32.0
2	31.511232296308926	32.0	32.0	32.0	32.0	32.0
3	31.54133291378121	32.0	32.0	32.0	32.0	32.0
4	31.55954414293939	32.0	32.0	32.0	32.0	32.0
5	31.591968185596624	32.0	32.0	32.0	32.0	32.0
6	35.14779419418318	36.0	36.0	36.0	36.0	36.0
7	35.165813327722184	36.0	36.0	36.0	36.0	36.0
8	35.12721574938582	36.0	36.0	36.0	36.0	36.0
9	35.13034756203534	36.0	36.0	36.0	36.0	36.0
10-11	35.12465809566895	36.0	36.0	36.0	36.0	36.0
12-13	35.146185270176915	36.0	36.0	36.0	36.0	36.0
14-15	35.127893807050924	36.0	36.0	36.0	36.0	36.0
16-17	35.11770998413173	36.0	36.0	36.0	36.0	36.0
18-19	35.100177305421255	36.0	36.0	36.0	36.0	36.0
20-21	35.076948462980816	36.0	36.0	36.0	36.0	36.0
22-23	35.04109311904577	36.0	36.0	36.0	36.0	36.0
24-25	35.004115238735366	36.0	36.0	36.0	36.0	36.0
26-27	34.92681249653171	36.0	36.0	36.0	36.0	36.0
28-29	34.88827978205437	36.0	36.0	36.0	36.0	36.0
30-31	34.83675823087245	36.0	36.0	36.0	34.0	36.0
32-33	34.80624240440822	36.0	36.0	36.0	32.0	36.0
34-35	34.77468655257059	36.0	36.0	36.0	32.0	36.0
36-37	34.739665007295244	36.0	36.0	36.0	32.0	36.0
38-39	34.70405246890299	36.0	36.0	36.0	32.0	36.0
40-41	34.672497741197944	36.0	36.0	36.0	32.0	36.0
42-43	34.64537576592376	36.0	36.0	36.0	32.0	36.0
44-45	34.60290124210829	36.0	36.0	36.0	32.0	36.0
46-47	34.56146650338537	36.0	36.0	36.0	32.0	36.0
48-49	34.50281324943795	36.0	36.0	36.0	32.0	36.0
50-51	34.45977779834128	36.0	36.0	36.0	32.0	36.0
52-53	34.406188880388	36.0	36.0	36.0	32.0	36.0
54-55	34.35262283029065	36.0	36.0	36.0	32.0	36.0
56-57	34.27583808970455	36.0	36.0	36.0	32.0	36.0
58-59	34.209545699859476	36.0	36.0	36.0	32.0	36.0
60-61	34.144389358618625	36.0	36.0	36.0	32.0	36.0
62-63	34.079162130996274	36.0	36.0	36.0	32.0	36.0
64-65	34.02060186608132	36.0	36.0	36.0	32.0	36.0
66-67	33.956792229401785	36.0	36.0	36.0	32.0	36.0
68-69	33.905883366290325	36.0	36.0	36.0	32.0	36.0
70-71	33.84800747057549	36.0	36.0	36.0	32.0	36.0
72-73	33.79094265337973	36.0	36.0	36.0	27.0	36.0
74-75	33.716521217263974	36.0	36.0	36.0	27.0	36.0
76	32.26725037390763	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.09317202284363901
11101	2	0.024014054755756575
11101	3	0.019683547782594957
11101	4	0.04123356949981627
11101	5	0.07315157551116513
11101	6	0.08699955058559539
11101	7	0.09118243182626884
11101	8	0.060984971488664996
11101	9	0.11639242639621727
11101	10-11	0.03460811868186653
11101	12-13	0.05593054034503098
11101	14-15	0.09878418912825992
11101	16-17	0.13656053212560693
11101	18-19	0.05520852583032365
11101	20-21	0.05722786202500885
11101	22-23	0.03211274803310005
11101	24-25	0.07549840231565952
11101	26-27	0.02224184368001403
11101	28-29	0.11639199798870692
11101	30-31	0.06386892492702856
11101	32-33	0.09090607915570814
11101	34-35	0.12692518858894886
11101	36-37	0.1254482672707411
11101	38-39	0.11626304706473434
11101	40-41	0.14371556481436443
11101	42-43	0.08300468221114699
11101	44-45	0.09386514383187716
11101	46-47	0.11020102377816698
11101	48-49	0.07044161977546537
11101	50-51	0.14326689844814666
11101	52-53	0.1387769712142557
11101	54-55	0.0640572445557197
11101	56-57	0.05003678888835594
11101	58-59	0.16935465280094064
11101	60-61	0.16449295311829104
11101	62-63	0.1405968703011169
11101	64-65	0.09416036367702674
11101	66-67	0.26492972519685765
11101	68-69	0.2220754623210155
11101	70-71	0.17373045837604906
11101	72-73	0.14703956033959997
11101	74-75	0.2555576293265247
11101	76	0.38996639711564995
11102	1	0.06966856283703748
11102	2	0.09614880214506982
11102	3	0.012255710646897455
11102	4	0.017405254609009546
11102	5	0.02261754010709538
11102	6	0.0628040892591315
11102	7	0.022933859747055862
11102	8	0.0608007011573477
11102	9	-0.021031042161638425
11102	10-11	0.034322627472469946
11102	12-13	0.030583935520070327
11102	14-15	-0.002889719772944943
11102	16-17	0.01014155762602087
11102	18-19	0.059453900482338895
11102	20-21	0.01620129270636994
11102	22-23	-0.0067586949453399825
11102	24-25	0.08311178782407325
11102	26-27	0.04259906304587702
11102	28-29	0.08216308426680285
11102	30-31	0.08061509598942251
11102	32-33	0.07577059554926535
11102	34-35	0.09481628848773482
11102	36-37	0.07821150482538997
11102	38-39	0.14037934428812093
11102	40-41	0.12674658956289164
11102	42-43	0.09998112832876416
11102	44-45	0.13085577418618755
11102	46-47	0.08467649306007985
11102	48-49	0.1493066155778635
11102	50-51	0.09256669120969008
11102	52-53	0.04806712195055951
11102	54-55	0.17592359053656992
11102	56-57	0.05906179039535431
11102	58-59	0.06507614057604627
11102	60-61	0.09052232493785795
11102	62-63	0.10055730013858266
11102	64-65	0.08519856150318361
11102	66-67	0.03440109558582094
11102	68-69	0.11024245928894061
11102	70-71	0.17092980039669214
11102	72-73	0.12076538811705717
11102	74-75	0.07900006415488292
11102	76	0.2044220624865858
11103	1	0.07098427584347533
11103	2	0.002216797754044819
11103	3	0.02663887842362911
11103	4	0.038576621243805675
11103	5	-0.010737978253342106
11103	6	0.046076762132351234
11103	7	0.029343159282909426
11103	8	0.03216430669883863
11103	9	0.0297840536921683
11103	10-11	0.015129234419298143
11103	12-13	0.08103788815136426
11103	14-15	0.06213029312235818
11103	16-17	0.036993091233398445
11103	18-19	0.018689241738499618
11103	20-21	0.003184757396780924
11103	22-23	0.07952717872584003
