#Transcript position	Transcript coverage profile
0.0	6016.111180107859
1.0	6614.035475044683
2.0	7772.922229049205
3.0	8195.335839891617
4.0	8999.613690382117
5.0	9170.032082849139
6.0	9019.435901690773
7.0	8575.161464472169
8.0	8510.462589563942
9.0	8695.175256145465
10.0	9262.55941339866
11.0	9698.180418673202
12.0	10204.637701979347
13.0	10709.726306556586
14.0	10880.052784317735
15.0	11393.040379420854
16.0	11807.774790000318
17.0	11832.887085318338
18.0	12230.31353837894
19.0	12561.88855743539
20.0	13351.675985743446
21.0	13522.399166372443
22.0	13406.560518451193
23.0	13644.470777604185
24.0	13383.984521426708
25.0	14040.764012650496
26.0	15088.369277160677
27.0	14944.73785554151
28.0	14727.434635025607
29.0	14641.73131078344
30.0	14791.832959832718
31.0	15585.698321873644
32.0	16647.237090741648
33.0	16934.43479103379
34.0	16273.987554486657
35.0	17036.38671170575
36.0	16481.136677070343
37.0	16457.974496822742
38.0	17079.160821715406
39.0	18348.549701111417
40.0	18019.106069934176
41.0	18161.80119401719
42.0	18845.398305550403
43.0	18695.73435835276
44.0	18894.553003118956
45.0	18709.084020058654
46.0	19409.790993899685
47.0	19214.62687627233
48.0	18349.400770256394
49.0	18986.642989095657
50.0	18915.667190464017
51.0	19021.92305331543
52.0	19081.31569651292
53.0	18956.244873914366
54.0	18699.327727652646
55.0	18861.80574363873
56.0	18546.894488921567
57.0	18272.833847020735
58.0	18251.2810714566
59.0	18968.408514128405
60.0	19218.85516924384
61.0	19424.0800643601
62.0	19560.945510154103
63.0	18876.787414900118
64.0	18057.13924229547
65.0	17909.856438693074
66.0	17246.918559454243
67.0	17122.76279343998
68.0	17448.19501642324
69.0	17847.3290304038
70.0	18127.646847903558
71.0	18666.7324851133
72.0	18274.830021490405
73.0	18287.96742589718
74.0	17466.87850941623
75.0	17103.896442338366
76.0	16203.11747385758
77.0	15798.95461217548
78.0	15635.803201418385
79.0	14449.770016547196
80.0	14545.832954051572
81.0	14592.459167901403
82.0	13973.650135251903
83.0	12956.5614673038
84.0	12656.864413069818
85.0	12315.072792159606
86.0	11904.779130754141
87.0	11582.615225078634
88.0	11107.731772991956
89.0	10049.300472199026
90.0	9491.433265199452
91.0	8637.726542782142
92.0	7849.88238145757
93.0	6319.516086190769
94.0	5342.9110222802265
95.0	4021.5055007284063
96.0	2912.510372879798
97.0	2180.6929220874536
98.0	1306.8655919632245
99.0	312.2270173697493
