#Transcript position	Transcript coverage profile
0.0	9249.402464396548
1.0	10256.448018076944
2.0	11827.927891914269
3.0	12651.058779060406
4.0	13783.069258058946
5.0	14346.55336748755
6.0	14595.510419234259
7.0	14511.845363975515
8.0	14802.77440543341
9.0	15300.83154936722
10.0	16186.329908984115
11.0	16915.207961097476
12.0	17639.58605385861
13.0	18366.720375362424
14.0	18768.952843786035
15.0	19509.62368362744
16.0	20107.74675420507
17.0	20265.997757862027
18.0	20821.37232083442
19.0	21326.21225546737
20.0	22254.733186728085
21.0	22588.502660543647
22.0	22659.133476235747
23.0	22986.550490275047
24.0	22810.680899396677
25.0	23527.851110171043
26.0	24697.98694674734
27.0	24595.787853601763
28.0	24396.79630301433
29.0	24412.24629719407
30.0	24634.92633798878
31.0	25446.785804013754
32.0	26592.6146900922
33.0	27024.02951664135
34.0	26403.270647388286
35.0	27181.49576669433
36.0	26680.338156462243
37.0	26727.58370761651
38.0	27442.631411601626
39.0	28783.300110044373
40.0	28481.972383017088
41.0	28613.093458298154
42.0	29253.734583938764
43.0	29116.286221131537
44.0	29340.126908122977
45.0	29265.860465990205
46.0	30031.66391143362
47.0	29846.942688068782
48.0	28962.832346625437
49.0	29587.38546913156
50.0	29502.904533400793
51.0	29588.34545013611
52.0	29682.802279047384
53.0	29550.37234212455
54.0	29272.336501713857
55.0	29461.442548834042
56.0	29181.056903317225
57.0	28903.678476870176
58.0	28847.65002995852
59.0	29634.81983193263
60.0	29919.10835629104
61.0	30126.962193226933
62.0	30191.008618533608
63.0	29460.12240810679
64.0	28715.14820786331
65.0	28612.56322464081
66.0	27968.158220512858
67.0	27829.46581355794
68.0	28105.577225174624
69.0	28498.649596752202
70.0	28725.315208643486
71.0	29224.698987244188
72.0	28812.453128086294
73.0	28806.45101663931
74.0	27974.581873130373
75.0	27587.585395148504
76.0	26730.04610165529
77.0	26232.426414763046
78.0	25977.80972545942
79.0	24746.43446269445
80.0	24724.095893817175
81.0	24733.519251312402
82.0	24027.16538871454
83.0	22932.962636336204
84.0	22542.081119542883
85.0	22119.251646314002
86.0	21689.894365231026
87.0	21281.86391225725
88.0	20712.044110616902
89.0	19457.85820418583
90.0	18626.86857954778
91.0	17431.88981548649
92.0	16217.254782773589
93.0	14089.010700900619
94.0	12393.581655844426
95.0	10170.388924258252
96.0	7882.231619731361
97.0	5707.5294151913085
98.0	3335.773136025563
99.0	934.5036196349125
