##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	FF66-PG_S1_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	19741372
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.737235537631324	32.0	32.0	32.0	32.0	32.0
2	31.800871945475723	32.0	32.0	32.0	32.0	32.0
3	31.83157204068694	32.0	32.0	32.0	32.0	32.0
4	31.849979423922512	32.0	32.0	32.0	32.0	32.0
5	31.867753669805726	32.0	32.0	32.0	32.0	32.0
6	35.68785249576372	36.0	36.0	36.0	36.0	36.0
7	35.68806519627916	36.0	36.0	36.0	36.0	36.0
8	35.6788001360797	36.0	36.0	36.0	36.0	36.0
9	35.67605944510848	36.0	36.0	36.0	36.0	36.0
10-11	35.671919763226185	36.0	36.0	36.0	36.0	36.0
12-13	35.68190574596335	36.0	36.0	36.0	36.0	36.0
14-15	35.67316795408141	36.0	36.0	36.0	36.0	36.0
16-17	35.662136755236666	36.0	36.0	36.0	36.0	36.0
18-19	35.65468983108165	36.0	36.0	36.0	36.0	36.0
20-21	35.63802406945171	36.0	36.0	36.0	36.0	36.0
22-23	35.61659184579471	36.0	36.0	36.0	36.0	36.0
24-25	35.59206047077174	36.0	36.0	36.0	36.0	36.0
26-27	35.56011026495696	36.0	36.0	36.0	36.0	36.0
28-29	35.535897716454514	36.0	36.0	36.0	36.0	36.0
30-31	35.50369600021358	36.0	36.0	36.0	36.0	36.0
32-33	35.486758137924156	36.0	36.0	36.0	36.0	36.0
34-35	35.46171402446474	36.0	36.0	36.0	36.0	36.0
36-37	35.438481617302415	36.0	36.0	36.0	36.0	36.0
38-39	35.4114860710073	36.0	36.0	36.0	36.0	36.0
40-41	35.39152776392536	36.0	36.0	36.0	36.0	36.0
42-43	35.375369975528784	36.0	36.0	36.0	36.0	36.0
44-45	35.35102798706207	36.0	36.0	36.0	36.0	36.0
46-47	35.32835444065479	36.0	36.0	36.0	36.0	36.0
48-49	35.29550758336318	36.0	36.0	36.0	36.0	36.0
50-51	35.28723777685131	36.0	36.0	36.0	36.0	36.0
52-53	35.25961132751988	36.0	36.0	36.0	36.0	36.0
54-55	35.23792216968851	36.0	36.0	36.0	36.0	36.0
56-57	35.2079982907686	36.0	36.0	36.0	36.0	36.0
58-59	35.18926425123746	36.0	36.0	36.0	36.0	36.0
60-61	35.16659508472563	36.0	36.0	36.0	36.0	36.0
62-63	35.13526586346259	36.0	36.0	36.0	36.0	36.0
64-65	35.10622175939035	36.0	36.0	36.0	36.0	36.0
66-67	35.07656311403913	36.0	36.0	36.0	36.0	36.0
68-69	35.052013447913666	36.0	36.0	36.0	36.0	36.0
70-71	35.01564177010617	36.0	36.0	36.0	36.0	36.0
72-73	34.97217851562412	36.0	36.0	36.0	36.0	36.0
74-75	34.91969547372438	36.0	36.0	36.0	36.0	36.0
76	34.33281685556777	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.058474239913401505
11101	2	-0.02892642900985365
11101	3	0.0033935100930584383
11101	4	-0.05611525852728505
11101	5	-0.008131350631359169
11101	6	-0.02389871216945494
11101	7	0.003882430181676
11101	8	0.03044669180049908
11101	9	0.003194425657852662
11101	10-11	-0.012470380901426381
11101	12-13	-0.02872226494903174
11101	14-15	0.0166994520629018
11101	16-17	-0.02724877024219552
11101	18-19	0.005944806282947468
11101	20-21	0.016307974540779924
11101	22-23	-0.05524514136173053
11101	24-25	-8.836433629966223E-5
11101	26-27	0.04223497067695092
11101	28-29	-0.031102798574863755
11101	30-31	-0.02470403638811547
11101	32-33	-0.0701245054662607
11101	34-35	-0.04412261133823847
11101	36-37	-0.03447347043370996
11101	38-39	0.013970354115656392
11101	40-41	-0.013161085059358868
11101	42-43	-0.10842273568701444
11101	44-45	-0.0896949954036117
11101	46-47	-0.018290474449358385
11101	48-49	-0.10090768255908955
11101	50-51	-0.09390367064677463
11101	52-53	-0.006215304967206237
11101	54-55	0.001954410046565158
11101	56-57	-0.007034846063888267
11101	58-59	0.020640711813435075
11101	60-61	-0.0520806415033519
11101	62-63	-0.0480253853542294
11101	64-65	0.04389355929409078
11101	66-67	0.016766620619947048
11101	68-69	0.010273534985643096
11101	70-71	-0.018130416452791565
11101	72-73	-0.07631259676436031
11101	74-75	-0.0032709255135472404
11101	76	0.13780715070986105
11102	1	0.022269444306850517
11102	2	0.029696999765988608
11102	3	0.010811272236768588
11102	4	-0.003209930291102836
11102	5	0.016212126137371996
11102	6	7.728004307523406E-4
11102	7	0.04922201681915794
11102	8	0.006557482373082735
11102	9	0.05483837307495065
11102	10-11	0.05594948503156871
11102	12-13	0.0675122885599464
11102	14-15	0.03618374236464206
11102	16-17	5.635816356104328E-4
11102	18-19	0.04013485986282461
11102	20-21	0.06177576505543669
11102	22-23	0.05627240429908653
11102	24-25	0.053635626107485734
11102	26-27	0.015446790529360044
11102	28-29	0.0291257509764975
11102	30-31	0.014349179106218912
11102	32-33	0.053049353101535246
11102	34-35	0.08165264835973574
11102	36-37	0.05035335175395517
11102	38-39	0.0390014418230038
11102	40-41	0.08875730276198368
11102	42-43	0.030049864262039705
11102	44-45	0.06595141717875919
11102	46-47	0.07852701972127107
11102	48-49	0.12318167935604407
11102	50-51	0.07489075016309954
11102	52-53	0.08610081945544579
11102	54-55	0.1026937203279843
11102	56-57	0.09064809553301956
11102	58-59	0.1491465397606575
11102	60-61	0.20308377921185183
11102	62-63	0.1322860242018038
11102	64-65	0.19805219732990054
11102	66-67	0.15193313914411988
11102	68-69	0.059102582035642115
11102	70-71	0.19003027254881033
11102	72-73	0.17886519948708468
11102	74-75	0.18114431526907993
11102	76	0.2165801387930273
11103	1	9.56037581818947E-4
11103	2	-0.015933580459229546
11103	3	0.004923715991250077
11103	4	0.038883782031295056
11103	5	-0.019356712072543303
11103	6	-0.002841294242962533
11103	7	0.059260512000363974
11103	8	0.020222089659192477
11103	9	8.557754464533218E-5
11103	10-11	0.03373260388987376
11103	12-13	0.02934857174579264
11103	14-15	0.0021302825265010483
11103	16-17	0.001194102758709903
