#Transcript position	Transcript coverage profile
0.0	3003.982862659798
1.0	3311.9476370228585
2.0	3781.2320226101474
3.0	3923.7811905535937
4.0	4163.464474918648
5.0	4122.806231242793
6.0	4019.016282832286
7.0	3749.845778359706
8.0	3674.0383322238376
9.0	3714.8991473456817
10.0	3952.845947736145
11.0	4193.133336301348
12.0	4433.120691623891
13.0	4655.755276807627
14.0	4775.185165490436
15.0	4996.606216273848
16.0	5201.162944716015
17.0	5239.5020259366165
18.0	5521.708004175451
19.0	5711.677802887532
20.0	6087.855999083918
21.0	6163.05622945763
22.0	6094.167590212067
23.0	6269.005033181499
24.0	6151.578727309698
25.0	6465.521539748419
26.0	6923.49753713784
27.0	6976.615844276333
28.0	6988.851174603149
29.0	6926.010044074164
30.0	6952.287290750336
31.0	7081.302715915816
32.0	7409.483245091609
33.0	7486.960735889528
34.0	7235.08841895171
35.0	7969.898296102623
36.0	7773.586498895868
37.0	7796.787675779859
38.0	8033.303040476722
39.0	8338.77986569821
40.0	8199.067794724711
41.0	8452.98731216554
42.0	8804.789541558857
43.0	8922.176103383717
44.0	9027.886289528358
45.0	8835.87346422451
46.0	9182.898572795448
47.0	9023.257285327934
48.0	8752.243977015794
49.0	8959.050696336804
50.0	8895.875993492664
51.0	8941.490074633994
52.0	8952.217963383628
53.0	8803.660046842566
54.0	8614.75315317844
55.0	8661.922853375607
56.0	8562.985581722463
57.0	8560.782357290891
58.0	8633.786083948451
59.0	8944.782700455393
60.0	8940.540781440443
61.0	8965.47953706486
62.0	8944.656067119287
63.0	8597.239183410195
64.0	8230.653935243796
65.0	8243.097727131642
66.0	7904.3946353324845
67.0	7848.799910055041
68.0	7944.125853114707
69.0	7975.051116585411
70.0	8067.357506034487
71.0	8261.341936916026
72.0	8121.068877968952
73.0	8249.69530679316
74.0	7982.281452055913
75.0	7735.638227520936
76.0	7277.459263528173
77.0	7119.64011401967
78.0	7121.3284875582885
79.0	6615.5627266555075
80.0	6732.27246255251
81.0	6757.809093649676
82.0	6469.0203630828655
83.0	5902.315454893297
84.0	5776.152532253881
85.0	5584.20855543959
86.0	5388.019367043601
87.0	5288.640471265195
88.0	5063.211085029984
89.0	4543.604102398823
90.0	4246.967100633179
91.0	3826.513989615115
92.0	3511.9383525253693
93.0	2818.642887627501
94.0	2399.5681930716946
95.0	1910.3654892213544
96.0	1437.57282789266
97.0	1090.87099361713
98.0	713.1188173503956
99.0	178.364639782246
