#Transcript position	Transcript coverage profile
0.0	4308.893227753897
1.0	4747.271256827621
2.0	5351.015741107892
3.0	5663.498295994179
4.0	6080.282802918104
5.0	6239.195883447386
6.0	6325.569481144232
7.0	6220.7977840183885
8.0	6307.699032136591
9.0	6495.073712860085
10.0	6862.802670881001
11.0	7234.112585619746
12.0	7587.50513341719
13.0	7924.896706651083
14.0	8158.359130911888
15.0	8495.19486470664
16.0	8789.065010240276
17.0	8899.899903904803
18.0	9266.860895920909
19.0	9539.204763405656
20.0	9979.425459747343
21.0	10127.256300269775
22.0	10133.360321007634
23.0	10350.280458053241
24.0	10297.335627807824
25.0	10670.509347902565
26.0	11188.149329011541
27.0	11265.748892469477
28.0	11299.128973011968
29.0	11280.48648555754
30.0	11346.464892283244
31.0	11494.326241994282
32.0	11862.113726886031
33.0	11988.210213813689
34.0	11742.169898643877
35.0	12484.927357786622
36.0	12313.376500204986
37.0	12382.937124272503
38.0	12671.111520708006
39.0	13007.489945896832
40.0	12873.61609288436
41.0	13129.495915920725
42.0	13471.920129466549
43.0	13598.850085929587
44.0	13702.28955998639
45.0	13566.632472677951
46.0	13956.506079583947
47.0	13818.856150235142
48.0	13543.317937806518
49.0	13755.323918640652
50.0	13688.308808077609
51.0	13729.269994217173
52.0	13766.25647551226
53.0	13612.138143499687
54.0	13422.835036809016
55.0	13490.315071278219
56.0	13422.236710729601
57.0	13413.712855871561
58.0	13489.4267769409
59.0	13820.418409405338
60.0	13833.600536353293
61.0	13863.674291710657
62.0	13806.445735724708
63.0	13441.939636108546
64.0	13108.191399126303
65.0	13142.323273429976
66.0	12812.632496614262
67.0	12739.682041031
68.0	12802.672785090434
69.0	12834.85438243755
70.0	12929.169541434963
71.0	13119.18546856295
72.0	12968.874215555516
73.0	13073.30187166938
74.0	12792.198654739625
75.0	12528.690271104811
76.0	12102.24550939984
77.0	11914.453175795496
78.0	11875.477983229399
79.0	11341.788563190707
80.0	11404.401366255228
81.0	11420.142962987939
82.0	11090.363695865759
83.0	10493.591737828732
84.0	10331.915238614087
85.0	10095.254982042374
86.0	9868.828478164269
87.0	9716.227936250021
88.0	9446.064392336999
89.0	8845.080845798517
90.0	8415.813132037083
91.0	7827.352531014663
92.0	7310.064743269295
93.0	6349.062296963621
94.0	5591.8071251063275
95.0	4689.778966602457
96.0	3684.5797350362814
97.0	2686.3031172817455
98.0	1621.5085422942147
99.0	448.14599311084953
