#Transcript position	Transcript coverage profile
0.0	5074.346074019922
1.0	5553.029575253127
2.0	6514.221732971483
3.0	7160.360899330404
4.0	8111.664319606325
5.0	8405.419384317769
6.0	8431.146074714343
7.0	8351.543527812039
8.0	8379.212635278498
9.0	8687.081917837364
10.0	9577.692958312682
11.0	10088.059898709627
12.0	10491.578972714795
13.0	10871.977948802374
14.0	10927.42440745983
15.0	11324.231247679467
16.0	11556.888641305912
17.0	11538.711495741556
18.0	11916.32860105685
19.0	12248.685970369632
20.0	13147.207739782525
21.0	13351.08969008095
22.0	13289.44270560533
23.0	13367.903343235565
24.0	13099.099456907752
25.0	13479.475659478507
26.0	14364.975927360903
27.0	14081.88450861132
28.0	14191.827125828966
29.0	14134.87346402062
30.0	14434.637979547868
31.0	15122.316066700165
32.0	16045.352293100372
33.0	16454.014000464416
34.0	15923.947048094473
35.0	16193.600235748858
36.0	15629.180273236789
37.0	15745.18333247592
38.0	16194.113208765895
39.0	17159.527456120577
40.0	16964.97970016168
41.0	17206.77554723433
42.0	17658.213626246332
43.0	17522.39034029649
44.0	17439.56225153584
45.0	17228.99836816448
46.0	17841.326283786053
47.0	17859.530715772384
48.0	17337.090020451982
49.0	17797.470241218405
50.0	17730.534258071173
51.0	17726.816345345203
52.0	17662.302370519934
53.0	17693.326097229132
54.0	17645.67949806622
55.0	17685.01111286046
56.0	17470.381939186096
57.0	17481.369010969378
58.0	17499.92065679167
59.0	17690.691439041264
60.0	17913.332258093964
61.0	18182.11910988307
62.0	18244.31819741736
63.0	18035.741533416847
64.0	17449.078782654033
65.0	17243.147229581056
66.0	16839.409245355488
67.0	16570.929707467018
68.0	16806.681808107234
69.0	17124.98636163903
70.0	17137.97179803393
71.0	17416.46228958574
72.0	17155.877629573846
73.0	17086.49361144623
74.0	16383.990269129126
75.0	16051.472252045083
76.0	15268.749150284437
77.0	14943.033422781658
78.0	14839.63395511007
79.0	14158.87434970903
80.0	14062.922356806259
81.0	13830.153511316406
82.0	13148.479266497458
83.0	12308.77321698082
84.0	12049.011981147223
85.0	11595.218566094203
86.0	11268.465820378957
87.0	11060.557765338195
88.0	10597.180637946563
89.0	9596.863196476477
90.0	9166.578679139293
91.0	8558.442737962196
92.0	7915.529762518819
93.0	6082.533045129978
94.0	5081.571572452712
95.0	3693.928104974106
96.0	2574.0385952809957
97.0	1897.69246472483
98.0	1184.8275051855853
99.0	277.0580727030985
