#Transcript position	Transcript coverage profile
0.0	7734.248230282965
1.0	8558.165575055691
2.0	9861.794174892097
3.0	10848.255251445147
4.0	12098.78752694188
5.0	12725.267334615432
6.0	13082.222599932022
7.0	13322.168713298666
8.0	13653.596657742763
9.0	14217.122648838023
10.0	15364.257841097551
11.0	16112.174820750188
12.0	16705.485097134424
13.0	17274.397722074955
14.0	17527.43831885884
15.0	18138.83264764065
16.0	18526.855658462857
17.0	18627.92132576709
18.0	19145.764822237084
19.0	19634.7127246002
20.0	20659.885097156664
21.0	20989.091783049633
22.0	21068.422899707093
23.0	21231.33138428103
24.0	21038.062905254723
25.0	21459.370020194146
26.0	22454.61174557009
27.0	22234.939432692456
28.0	22383.78617432044
29.0	22425.683581061294
30.0	22778.92647554151
31.0	23470.279205449315
32.0	24446.37689435514
33.0	24949.479947572825
34.0	24450.558526178706
35.0	24734.04374436238
36.0	24213.1126328737
37.0	24399.01814578192
38.0	24935.517699332337
39.0	25977.97599567499
40.0	25799.476083312813
41.0	26022.812690008093
42.0	26445.362239959853
43.0	26311.214195447505
44.0	26255.64669654802
45.0	26161.879992469698
46.0	26869.719713914303
47.0	26903.88031482104
48.0	26358.39506210759
49.0	26821.981846920262
50.0	26745.101673017412
51.0	26738.971130641527
52.0	26703.76658874899
53.0	26741.012569241764
54.0	26694.77460004351
55.0	26776.358951769987
56.0	26593.721508868715
57.0	26630.81004179608
58.0	26634.840040685027
59.0	26888.342989644992
60.0	27198.337761598235
61.0	27491.146755794798
62.0	27488.649210509204
63.0	27241.707082841684
64.0	26702.90495509629
65.0	26535.24572551715
66.0	26155.820174048746
67.0	25872.42257768826
68.0	26065.4646368249
69.0	26394.513497466505
70.0	26382.801554086815
71.0	26649.487636959184
72.0	26386.66992298658
73.0	26302.469181633838
74.0	25590.350502407437
75.0	25251.804759155595
76.0	24506.295930687556
77.0	24085.23566211437
78.0	23908.955994245305
79.0	23189.561300719546
80.0	22984.909258090454
81.0	22728.84734962593
82.0	21975.147720404813
83.0	21075.643989485394
84.0	20747.061857855766
85.0	20235.304172954224
86.0	19901.332525636622
87.0	19658.19241282653
88.0	19144.720951552586
89.0	17986.93140108801
90.0	17305.144830716483
91.0	16385.75946965734
92.0	15355.40311998514
93.0	12998.58324324722
94.0	11342.533088157961
95.0	9156.979428725823
96.0	6994.936109278393
97.0	5030.18894271103
98.0	2962.5983469389253
99.0	811.6540625065846
