##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	FH29-PG_S4_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	21410721
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.751404261444534	32.0	32.0	32.0	32.0	32.0
2	31.812909009463063	32.0	32.0	32.0	32.0	32.0
3	31.836413402425823	32.0	32.0	32.0	32.0	32.0
4	31.85013470587936	32.0	32.0	32.0	32.0	32.0
5	31.865479681884604	32.0	32.0	32.0	32.0	32.0
6	35.6813043334692	36.0	36.0	36.0	36.0	36.0
7	35.68136794646009	36.0	36.0	36.0	36.0	36.0
8	35.669826251997776	36.0	36.0	36.0	36.0	36.0
9	35.66893917304326	36.0	36.0	36.0	36.0	36.0
10-11	35.66356854587008	36.0	36.0	36.0	36.0	36.0
12-13	35.67524395838888	36.0	36.0	36.0	36.0	36.0
14-15	35.66653227137937	36.0	36.0	36.0	36.0	36.0
16-17	35.66171211609362	36.0	36.0	36.0	36.0	36.0
18-19	35.65508032167623	36.0	36.0	36.0	36.0	36.0
20-21	35.64629371892707	36.0	36.0	36.0	36.0	36.0
22-23	35.62735965313826	36.0	36.0	36.0	36.0	36.0
24-25	35.609472282600855	36.0	36.0	36.0	36.0	36.0
26-27	35.58379766445199	36.0	36.0	36.0	36.0	36.0
28-29	35.564895453470754	36.0	36.0	36.0	36.0	36.0
30-31	35.54587502298078	36.0	36.0	36.0	36.0	36.0
32-33	35.532722656660916	36.0	36.0	36.0	36.0	36.0
34-35	35.513936224350566	36.0	36.0	36.0	36.0	36.0
36-37	35.499363798338536	36.0	36.0	36.0	36.0	36.0
38-39	35.47935612217479	36.0	36.0	36.0	36.0	36.0
40-41	35.4656593792414	36.0	36.0	36.0	36.0	36.0
42-43	35.45238804617452	36.0	36.0	36.0	36.0	36.0
44-45	35.43692566809764	36.0	36.0	36.0	36.0	36.0
46-47	35.42113914542221	36.0	36.0	36.0	36.0	36.0
48-49	35.40151392568319	36.0	36.0	36.0	36.0	36.0
50-51	35.391673299313574	36.0	36.0	36.0	36.0	36.0
52-53	35.37310577802826	36.0	36.0	36.0	36.0	36.0
54-55	35.35725804104543	36.0	36.0	36.0	36.0	36.0
56-57	35.336539180158674	36.0	36.0	36.0	36.0	36.0
58-59	35.317780197002264	36.0	36.0	36.0	36.0	36.0
60-61	35.29894990107086	36.0	36.0	36.0	36.0	36.0
62-63	35.275100284306646	36.0	36.0	36.0	36.0	36.0
64-65	35.24905053274622	36.0	36.0	36.0	36.0	36.0
66-67	35.222883878554654	36.0	36.0	36.0	36.0	36.0
68-69	35.20084217079588	36.0	36.0	36.0	36.0	36.0
70-71	35.16819351575094	36.0	36.0	36.0	36.0	36.0
72-73	35.135762630902576	36.0	36.0	36.0	36.0	36.0
74-75	35.08878276228485	36.0	36.0	36.0	36.0	36.0
76	34.502938606729934	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.04801145574865018
11101	2	-0.018596366200700487
11101	3	-0.024803597280339318
11101	4	-0.007611583277103762
11101	5	0.001941435068928854
11101	6	-0.10962990564609498
11101	7	-0.02334268147828311
11101	8	0.040081135649927546
11101	9	-0.012609109924291317
11101	10-11	-0.029260059053648035
11101	12-13	-0.025666355961398324
11101	14-15	-0.029720433999415263
11101	16-17	-0.0353049124265894
11101	18-19	-0.06919889957194414
11101	20-21	-0.05649204077641912
11101	22-23	-0.05347228440280816
11101	24-25	-0.08613429345700041
11101	26-27	-0.08448448583951773
11101	28-29	-0.061510952335538605
11101	30-31	-0.05375149830065595
11101	32-33	-0.08967302999550242
11101	34-35	-0.04853465462871753
11101	36-37	-0.06036367689958411
11101	38-39	-0.04019250343052505
11101	40-41	-0.08603913394152585
11101	42-43	-0.07725876816338229
11101	44-45	-0.09102775415882292
11101	46-47	-0.10283682002602035
11101	48-49	-0.04943271586248699
11101	50-51	-0.06073638112324886
11101	52-53	-0.03317983623525578
11101	54-55	-6.09560947836485E-4
11101	56-57	-0.06130309082031005
11101	58-59	-0.026025003274675385
11101	60-61	-0.04709559004205488
11101	62-63	-0.06985359159837401
11101	64-65	-7.79180384640199E-4
11101	66-67	0.009610304347901888
11101	68-69	-0.006284239854451812
11101	70-71	-0.04607255332618365
11101	72-73	-0.0895018063318389
11101	74-75	0.04174242861363808
11101	76	0.16049418688481154
11102	1	0.014873498968924537
11102	2	0.0068612536521186485
11102	3	0.0011085139002950939
11102	4	-0.012649352909409828
11102	5	-2.315149894194235E-4
11102	6	0.05154135349320654
11102	7	-0.007565562362671585
11102	8	-0.0025641459064971173
11102	9	0.021071875788415184
11102	10-11	0.03398193722676268
11102	12-13	0.015948850618677568
11102	14-15	0.02917789218557232
11102	16-17	0.011305866586958757
11102	18-19	0.018572356536253665
11102	20-21	0.028456636258042067
11102	22-23	0.050117378690771375
11102	24-25	0.03052777604604273
11102	26-27	0.01938367532873997
11102	28-29	-0.014588485900091541
11102	30-31	0.0193312025403074
11102	32-33	-0.0025694359063166416
11102	34-35	-0.005020578873370596
11102	36-37	0.04737405073765899
11102	38-39	0.03462993981204221
11102	40-41	0.012942480178530502
11102	42-43	0.017531229242507607
11102	44-45	0.011395905187448818
11102	46-47	-0.007221830096590054
11102	48-49	0.007617710930141186
11102	50-51	0.02203540272918758
11102	52-53	-0.02010069491390709
11102	54-55	-0.020316092589339974
11102	56-57	0.03620632803897905
11102	58-59	0.009591838484901416
11102	60-61	0.06916900023851724
11102	62-63	0.005203024205044926
11102	64-65	0.014308821150841311
11102	66-67	-0.0254201089922077
11102	68-69	0.012992265997894492
11102	70-71	0.007865104428660175
11102	72-73	0.09369883533363321
11102	74-75	-0.0071953969707081455
11102	76	0.11581251060349729
11103	1	0.007927869395643938
11103	2	0.03900022596802444
11103	3	0.002910981367119092
11103	4	-0.03132712240333646
11103	5	-0.003883543451344451
11103	6	0.06672031999808326
11103	7	0.047035570182202946
11103	8	0.04541471648415296
11103	9	0.05457159683896151
11103	10-11	0.01948927717888438
11103	12-13	0.032983592688793806
11103	14-15	0.047211848354692165
