#Transcript position	Transcript coverage profile
0.0	2127.5314468869324
1.0	2240.443139394798
2.0	2570.8126476098723
3.0	2948.2005590991703
4.0	3511.0753013638714
5.0	3773.7882788137185
6.0	3952.765270819717
7.0	4143.028691679138
8.0	4173.413338601693
9.0	4255.122523484141
10.0	4650.64889418665
11.0	4932.037482661126
12.0	5160.372124869425
13.0	5326.234228218139
14.0	5392.04862780306
15.0	5633.307755016702
16.0	5815.422440112563
17.0	5903.697594854819
18.0	6143.200563995019
19.0	6316.298517017979
20.0	6656.454099303118
21.0	6783.552959319814
22.0	6864.657869423839
23.0	7020.434709840613
24.0	7106.882152211821
25.0	7279.278788586986
26.0	7506.853263037472
27.0	7380.3376192317
28.0	7580.942656856645
29.0	7543.851609161514
30.0	7649.778863766895
31.0	7816.031325937443
32.0	8179.058890735417
33.0	8463.224074712716
34.0	8366.250689547665
35.0	8369.01115288904
36.0	8180.487858044125
37.0	8232.413942133082
38.0	8260.672646569436
39.0	8536.816470949905
40.0	8580.734354196198
41.0	8891.258832802449
42.0	9281.822516615402
43.0	9362.783757590489
44.0	9387.340914848768
45.0	9376.117421259503
46.0	9502.473780364811
47.0	9562.112907800796
48.0	9386.177974525906
49.0	9443.123688313164
50.0	9406.097483260746
51.0	9464.997815600998
52.0	9436.754559498024
53.0	9497.240991702987
54.0	9462.118862586507
55.0	9443.219727067224
56.0	9399.214596839785
57.0	9438.475476003996
58.0	9412.907887799349
59.0	9387.78622831494
60.0	9366.819287519738
61.0	9341.362914643953
62.0	9311.841726544555
63.0	9411.689047091051
64.0	9314.29210990537
65.0	9257.62143349611
66.0	9086.668675535871
67.0	9013.030197003392
68.0	9182.995513245616
69.0	9264.8313855965
70.0	9116.562819557494
71.0	9087.875317411419
72.0	8943.067122047447
73.0	8989.89658856594
74.0	8714.54823673391
75.0	8556.03402100887
76.0	8195.215323046961
77.0	8030.280464275897
78.0	7961.779109299482
79.0	7825.206076254075
80.0	7741.006224226121
81.0	7614.862942586722
82.0	7259.277512668855
83.0	6893.6001018625675
84.0	6834.993892152733
85.0	6538.606702505414
86.0	6355.428528788438
87.0	6186.901188564783
88.0	5906.741391303782
89.0	5326.987106548058
90.0	5043.355796934123
91.0	4712.8349241484175
92.0	4405.523725801715
93.0	3599.1471995659094
94.0	3037.5817998181255
95.0	2265.4415849046677
96.0	1560.5789975909256
97.0	1208.3576523797751
98.0	777.5245088166106
99.0	206.01133611496232
