#Transcript position	Transcript coverage profile
0.0	3602.6477710983577
1.0	3889.3162065017245
2.0	4372.35322018817
3.0	4937.787265828344
4.0	5691.753688169314
5.0	6172.735471699091
6.0	6555.075941629282
7.0	6921.924858407259
8.0	7122.105577335481
9.0	7344.034867218702
10.0	7872.096984928509
11.0	8277.533381250054
12.0	8611.14279076179
13.0	8890.28339767003
14.0	9078.302308202843
15.0	9437.69469702248
16.0	9714.992365997736
17.0	9872.961254189926
18.0	10201.244193010338
19.0	10468.31407185973
20.0	10898.803725210413
21.0	11108.239722523638
22.0	11274.76082748672
23.0	11489.48630820454
24.0	11629.428375198795
25.0	11846.600191766736
26.0	12130.4703071464
27.0	12037.850178793222
28.0	12258.7392711326
29.0	12268.99435572712
30.0	12415.946730155976
31.0	12610.983567571016
32.0	13016.757339235426
33.0	13351.312227606359
34.0	13269.169305304726
35.0	13286.58250513597
36.0	13134.660814943734
37.0	13242.829952851338
38.0	13322.45455360984
39.0	13630.631629108653
40.0	13689.41049499013
41.0	14014.11983241507
42.0	14395.131022073076
43.0	14504.03734815322
44.0	14561.063044126053
45.0	14623.577878603997
46.0	14793.717726264591
47.0	14876.79080119832
48.0	14690.627912123975
49.0	14772.330119202295
50.0	14751.082135766828
51.0	14809.676819233486
52.0	14795.35319555624
53.0	14859.870389356236
54.0	14815.175918441146
55.0	14820.950429474593
56.0	14808.39757309242
57.0	14847.125611422662
58.0	14842.502820102045
59.0	14870.24167806713
60.0	14901.704960934765
61.0	14909.34150552008
62.0	14863.38154892768
63.0	14976.268398562004
64.0	14918.679091246571
65.0	14886.546398401391
66.0	14738.294611904823
67.0	14644.725396297103
68.0	14791.082336184909
69.0	14890.586348286603
70.0	14771.996905531543
71.0	14752.913903250612
72.0	14599.04033297243
73.0	14623.330143223677
74.0	14331.008695982868
75.0	14175.311394265913
76.0	13860.164691025037
77.0	13668.851282594842
78.0	13570.424533391382
79.0	13416.946950810427
80.0	13299.554381149674
81.0	13180.770745335252
82.0	12791.646585859384
83.0	12401.91061985521
84.0	12304.94776164389
85.0	11970.891938213834
86.0	11745.064991521374
87.0	11533.716694638426
88.0	11214.707190352648
89.0	10526.120213587536
90.0	10096.925403206855
91.0	9575.764064140874
92.0	9024.450828516936
93.0	7904.719212033803
94.0	6934.533420328712
95.0	5646.644969314787
96.0	4288.3948354214135
97.0	3123.2521660941825
98.0	1857.0686639222645
99.0	526.4665233954989
