##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	FV47-BL_S13_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	43715189
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.446275435295497	32.0	32.0	32.0	32.0	32.0
2	31.536896043157906	32.0	32.0	32.0	32.0	32.0
3	31.56024650837035	32.0	32.0	32.0	32.0	32.0
4	31.579170891838075	32.0	32.0	32.0	32.0	32.0
5	31.609480334169433	32.0	32.0	32.0	32.0	32.0
6	35.17744846076269	36.0	36.0	36.0	36.0	36.0
7	35.19134385991102	36.0	36.0	36.0	36.0	36.0
8	35.15518924097526	36.0	36.0	36.0	36.0	36.0
9	35.15765797100866	36.0	36.0	36.0	36.0	36.0
10-11	35.15485507794556	36.0	36.0	36.0	36.0	36.0
12-13	35.176885784481	36.0	36.0	36.0	36.0	36.0
14-15	35.15841902227622	36.0	36.0	36.0	36.0	36.0
16-17	35.151557322558986	36.0	36.0	36.0	36.0	36.0
18-19	35.13610790977022	36.0	36.0	36.0	36.0	36.0
20-21	35.11828634665173	36.0	36.0	36.0	36.0	36.0
22-23	35.084851754844294	36.0	36.0	36.0	36.0	36.0
24-25	35.05335050707433	36.0	36.0	36.0	36.0	36.0
26-27	34.98310538327641	36.0	36.0	36.0	36.0	36.0
28-29	34.94978257162154	36.0	36.0	36.0	36.0	36.0
30-31	34.909980419997225	36.0	36.0	36.0	36.0	36.0
32-33	34.8814374395368	36.0	36.0	36.0	36.0	36.0
34-35	34.85633593636905	36.0	36.0	36.0	36.0	36.0
36-37	34.824441842826424	36.0	36.0	36.0	34.0	36.0
38-39	34.79816069447208	36.0	36.0	36.0	32.0	36.0
40-41	34.76764577194379	36.0	36.0	36.0	32.0	36.0
42-43	34.74621331057797	36.0	36.0	36.0	32.0	36.0
44-45	34.70943844217456	36.0	36.0	36.0	32.0	36.0
46-47	34.672324143866135	36.0	36.0	36.0	32.0	36.0
48-49	34.62491215788852	36.0	36.0	36.0	32.0	36.0
50-51	34.58363493066341	36.0	36.0	36.0	32.0	36.0
52-53	34.53532392203245	36.0	36.0	36.0	32.0	36.0
54-55	34.486036372607444	36.0	36.0	36.0	32.0	36.0
56-57	34.41673690498643	36.0	36.0	36.0	32.0	36.0
58-59	34.3510935655473	36.0	36.0	36.0	32.0	36.0
60-61	34.29013292996456	36.0	36.0	36.0	32.0	36.0
62-63	34.22883347236938	36.0	36.0	36.0	32.0	36.0
64-65	34.17078649338651	36.0	36.0	36.0	32.0	36.0
66-67	34.110252368447334	36.0	36.0	36.0	32.0	36.0
68-69	34.06262396363267	36.0	36.0	36.0	32.0	36.0
70-71	34.0101338325601	36.0	36.0	36.0	32.0	36.0
72-73	33.95711658170788	36.0	36.0	36.0	32.0	36.0
74-75	33.884561701966234	36.0	36.0	36.0	32.0	36.0
76	32.446346203888275	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.05448189934127612
11101	2	0.029252735869153668
11101	3	0.017100652639971514
11101	4	0.03129721752183201
11101	5	0.041632880746444556
11101	6	0.07889031315735906
11101	7	0.11974480316454361
11101	8	-0.004344915923532255
11101	9	0.09765394980192355
11101	10-11	0.0655295432454821
11101	12-13	0.06598812415568034
11101	14-15	0.07505450615122555
11101	16-17	0.08251136329214148
11101	18-19	0.05049900813196473
11101	20-21	0.10831221403355329
11101	22-23	0.07240832109826556
11101	24-25	0.12936350586699774
11101	26-27	0.04114018881924153
11101	28-29	0.08633704717281176
11101	30-31	0.06528547504900928
11101	32-33	0.12316258841293148
11101	34-35	0.12198111887224172
11101	36-37	0.1532758672514234
11101	38-39	0.15444948717744467
11101	40-41	0.12968541555844126
11101	42-43	0.14814231339988027
11101	44-45	0.1330843036024234
11101	46-47	0.1618390887549026
11101	48-49	0.08994542132736427
11101	50-51	0.13364660215417246
11101	52-53	0.13052050318086827
11101	54-55	0.16043417477420974
11101	56-57	0.1521424410478147
11101	58-59	0.14723478943173518
11101	60-61	0.16572544218525564
11101	62-63	0.1380952280903145
11101	64-65	0.13022327968621994
11101	66-67	0.322384827029353
11101	68-69	0.32658403545369197
11101	70-71	0.19006886943806478
11101	72-73	0.282095125076836
11101	74-75	0.2564324333251591
11101	76	0.29386701293812223
11102	1	0.12776604462499108
11102	2	0.09696300432543126
11102	3	0.009109299472957133
11102	4	0.005087979447377933
11102	5	0.018358254129456242
11102	6	0.07675555880665996
11102	7	0.04323347571021685
11102	8	0.041966088768248255
11102	9	0.07134807473433824
11102	10-11	0.018429720305682906
11102	12-13	0.1142308183079308
11102	14-15	0.06022318025033968
11102	16-17	6.844422861860266E-4
11102	18-19	0.07214279394110434
11102	20-21	0.03225351833518175
11102	22-23	0.05738666040965512
11102	24-25	0.11549746576678643
11102	26-27	0.06042496652213458
11102	28-29	0.10194576792174814
11102	30-31	0.08637001806319233
11102	32-33	0.09263001806225901
11102	34-35	0.08112901337703704
11102	36-37	0.1129322039870857
11102	38-39	0.1334938386314377
11102	40-41	0.1765852161164645
11102	42-43	0.13925685940273524
11102	44-45	0.13588885570447928
11102	46-47	0.1305841773538532
11102	48-49	0.18739376794894014
11102	50-51	0.1757505247351432
11102	52-53	0.13904323101518656
11102	54-55	0.2197580230854328
11102	56-57	0.084120234801631
11102	58-59	0.10566265795965535
11102	60-61	0.12213933926677356
11102	62-63	0.18928248277308768
11102	64-65	0.15015045858802978
11102	66-67	0.14078196112015462
11102	68-69	0.2192469049248018
11102	70-71	0.12577886669471638
11102	72-73	0.20486631672378763
11102	74-75	0.1386734401046823
11102	76	0.33990641761106133
11103	1	0.06900655220061225
11103	2	0.0569413596429591
11103	3	0.018644969434969738
11103	4	-0.008949081247987323
11103	5	0.0189679073728648
11103	6	0.04801153416697446
11103	7	0.00109385370118531
11103	8	0.03529004249593726
11103	9	-0.018823005324449582
11103	10-11	0.04212091543612928
11103	12-13	0.05746634039002885
11103	14-15	0.022439518423411187
11103	16-17	0.029654982942759034
11103	18-19	0.014799018220834625
11103	20-21	-0.03652862732315043
11103	22-23	0.052184838157600666
11103	24-25	0.03704226573138669
11103	26-27	0.048632754540363976
11103	28-29	0.07889452959607013
11103	30-31	0.0696729926284263
11103	32-33	0.01688847804319238
11103	34-35	0.024750827369238948
11103	36-37	0.03486118221661627
11103	38-39	0.04250422548214061
11103	40-41	0.005284822179611126
11103	42-43	0.03687204797132182
11103	44-45	0.14371313964670662
11103	46-47	-0.011367939689179707
11103	48-49	0.09834614421966847
11103	50-51	0.11219225920061149
11103	52-53	0.07970579333160543
11103	54-55	0.033573815615859814
11103	56-57	0.14859795816975918
11103	58-59	0.10899750171016365
11103	60-61	0.046855771737746466
11103	62-63	0.0264495849541575
11103	64-65	-0.003300685134803416
11103	66-67	0.11803811190887359
11103	68-69	0.13891375314941
11103	70-71	0.13089732123553688
11103	72-73	0.06444133734817825
11103	74-75	0.10722501314290156
11103	76	0.299021791590512
11104	1	0.05667815640737217
11104	2	0.019947459820823354
11104	3	0.040553226914031626
11104	4	0.012405926478461282
11104	5	0.017897783763590525
11104	6	0.04395512915793631
11104	7	0.08906261208039012
11104	8	0.027169080259021428
11104	9	0.036734887715660136
11104	10-11	0.05152975438861773
11104	12-13	0.04267780006065891
11104	14-15	0.08844947363488842
11104	16-17	0.10832158632346989
11104	18-19	0.06824392181678718
11104	20-21	0.06924596792110549
11104	22-23	0.08554515688076236
11104	24-25	0.08620492660634937
11104	26-27	0.04629464793463001
11104	28-29	0.08270558275228979
11104	30-31	0.05958901023740282
11104	32-33	0.08196587995148974
11104	34-35	0.00864827781148847
11104	36-37	0.07191243665580771
11104	38-39	0.06994134029306309
11104	40-41	0.11509756159635032
11104	42-43	0.06681513776137393
11104	44-45	0.09938680940501854
11104	46-47	0.06947527306316204
11104	48-49	0.11285583268722377
11104	50-51	0.08256366925520808
11104	52-53	0.05013630923798473
11104	54-55	0.10164256068193822
11104	56-57	0.02039612489403453
11104	58-59	0.11847705274770703
11104	60-61	0.05274982138576689
11104	62-63	0.046089915114059465
11104	64-65	0.19564192999676777
11104	66-67	0.10995792372770552
11104	68-69	0.12509736202841282
11104	70-71	0.04542584484540413
11104	72-73	0.085338882015634
11104	74-75	0.18079426245498809
11104	76	0.3603788646724482
11105	1	0.06841852470135734
11105	2	0.04237834311002331
11105	3	-0.0011426527957922872
11105	4	0.0431829454438315
11105	5	-0.007509226400674862
11105	6	0.12194756851386757
11105	7	0.0565999346694781
11105	8	0.07493372453873803
11105	9	0.01686952244071449
11105	10-11	0.07265228686625136
11105	12-13	0.032438769322475025
11105	14-15	0.09291855237822944
11105	16-17	0.05535538122385475
11105	18-19	0.024976653145344585
11105	20-21	0.037970454611730986
11105	22-23	0.004182231473777165
11105	24-25	0.028143740070206036
11105	26-27	0.06027021951162226
11105	28-29	0.03656258790893929
11105	30-31	0.10605378223426953
11105	32-33	0.06786250272073602
11105	34-35	0.08500822184778656
