#Transcript position	Transcript coverage profile
0.0	5780.096325021778
1.0	6521.626758982714
2.0	7786.990283784438
3.0	8259.729373024724
4.0	8976.9714350228
5.0	8897.055155419912
6.0	8590.98347400364
7.0	8251.872425440424
8.0	8273.116586213628
9.0	8505.227830766666
10.0	9237.345844386095
11.0	9737.69145874071
12.0	10233.345524226743
13.0	10627.761340152148
14.0	10761.796836218864
15.0	11346.548405148678
16.0	11825.478413077539
17.0	11908.798125856823
18.0	12428.237345160915
19.0	12797.56050187019
20.0	13498.800698286066
21.0	13661.429819758217
22.0	13637.399532449714
23.0	13860.752569985209
24.0	13442.63921357842
25.0	13970.333470133459
26.0	14852.289391613001
27.0	14767.116676902928
28.0	14698.953028918686
29.0	14612.076368836106
30.0	14876.113895442713
31.0	15495.620554501073
32.0	16425.084596078184
33.0	16773.766554259313
34.0	16160.172603183002
35.0	16839.33435959141
36.0	16438.981210657013
37.0	16595.787085716835
38.0	17161.843829090423
39.0	18132.873532868496
40.0	17724.699343198627
41.0	17898.547203694005
42.0	18544.51851004794
43.0	18300.42696872642
44.0	18254.970800281695
45.0	17765.824505261873
46.0	18312.340877138846
47.0	18284.94457428698
48.0	17642.776896468687
49.0	18331.393640896902
50.0	18295.44242735651
51.0	18352.029674044385
52.0	18258.247301203985
53.0	18217.177422369365
54.0	17991.601270074814
55.0	18201.484884247166
56.0	18014.189037153174
57.0	17790.72651739184
58.0	17765.1386761303
59.0	18093.85755622847
60.0	18281.610176488553
61.0	18437.76322232453
62.0	18553.662021883618
63.0	18149.951504801487
64.0	17344.861047988936
65.0	17142.5974748138
66.0	16529.147245153712
67.0	16371.001011628377
68.0	16692.509709492355
69.0	16981.282480135993
70.0	17190.643221862196
71.0	17649.829236101916
72.0	17439.288645113902
73.0	17524.798896402997
74.0	16703.360576830586
75.0	16443.388855056204
76.0	15686.565320924921
77.0	15276.823457446433
78.0	15044.62043089286
79.0	13961.714198847778
80.0	13920.490469037286
81.0	13624.287003288366
82.0	13023.33028465654
83.0	12190.718515008031
84.0	11826.074171733298
85.0	11496.912276393736
86.0	11211.79727234464
87.0	11044.645875889271
88.0	10672.491141250268
89.0	9705.675196776294
90.0	9188.327685427465
91.0	8434.3636629013
92.0	7780.172209263718
93.0	6366.232161701962
94.0	5373.5124003364135
95.0	3981.539660550576
96.0	2964.301076014403
97.0	2223.868814160708
98.0	1387.0355569277358
99.0	315.0639991604396
