#Transcript position	Transcript coverage profile
0.0	8919.761814066154
1.0	9986.21165260959
2.0	11572.824493199993
3.0	12440.879568754435
4.0	13575.297896359041
5.0	13939.955365034495
6.0	14128.658904774842
7.0	14096.556624241772
8.0	14400.163678151697
9.0	14951.444159047083
10.0	15945.363876628195
11.0	16723.636873062223
12.0	17428.79730936906
13.0	18047.831025004445
14.0	18456.30456724613
15.0	19254.22012263664
16.0	19883.14209521906
17.0	20070.211973639438
18.0	20750.246287815004
19.0	21270.153772115158
20.0	22114.694727245183
21.0	22446.55908359481
22.0	22604.90561830164
23.0	22932.338050180504
24.0	22602.49134525369
25.0	23180.943786064956
26.0	24162.019566346513
27.0	24121.306011423367
28.0	24090.321146205417
29.0	24107.029612472055
30.0	24439.978123734098
31.0	25082.08698330781
32.0	26090.615408883215
33.0	26568.926534831586
34.0	25998.19458960943
35.0	26688.654164558247
36.0	26314.75674438733
37.0	26559.637812428322
38.0	27224.066269930874
39.0	28257.719583097023
40.0	27897.729332257062
41.0	28072.27770796401
42.0	28682.8546095959
43.0	28428.74046729431
44.0	28395.754175634655
45.0	28019.53614870629
46.0	28633.696278073792
47.0	28595.605007789676
48.0	27931.967251873368
49.0	28611.519566634597
50.0	28574.499743687822
51.0	28621.219495337522
52.0	28550.916344534664
53.0	28483.51601004932
54.0	28217.458848192742
55.0	28459.370474144256
56.0	28305.25817951355
57.0	28100.69936434853
58.0	28052.264855096222
59.0	28441.35740062751
60.0	28701.992038214787
61.0	28830.86304398373
62.0	28844.993292442436
63.0	28418.37543737646
64.0	27666.367689203897
65.0	27495.554782716208
66.0	26905.925267348062
67.0	26753.179302812783
68.0	27033.321125316284
69.0	27339.10137272705
70.0	27507.125245958086
71.0	27924.19838989813
72.0	27666.163766130692
73.0	27694.904738529334
74.0	26869.056709020628
75.0	26597.22152607119
76.0	25888.597046435934
77.0	25412.853881148054
78.0	25113.92175947134
79.0	23998.42659703566
80.0	23807.409403880065
81.0	23458.571073788415
82.0	22778.595478639167
83.0	21894.20187208995
84.0	21446.91604789853
85.0	21022.997811421996
86.0	20694.411635958764
87.0	20456.1171512533
88.0	20011.004863185473
89.0	18849.231491463193
90.0	18039.211921891838
91.0	16956.479758422556
92.0	15889.059165334038
93.0	13905.884076765135
94.0	12218.526522325727
95.0	9963.992848186648
96.0	7822.768228749926
97.0	5674.325156925159
98.0	3375.0774509702396
99.0	910.9035290054495
