##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	FV47-PG_S15_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	20584590
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.75180729856655	32.0	32.0	32.0	32.0	32.0
2	31.820904667034903	32.0	32.0	32.0	32.0	32.0
3	31.84067503894904	32.0	32.0	32.0	32.0	32.0
4	31.852790315473857	32.0	32.0	32.0	32.0	32.0
5	31.86671991037956	32.0	32.0	32.0	32.0	32.0
6	35.68255136488023	36.0	36.0	36.0	36.0	36.0
7	35.68349551776353	36.0	36.0	36.0	36.0	36.0
8	35.67285105022738	36.0	36.0	36.0	36.0	36.0
9	35.66943232777529	36.0	36.0	36.0	36.0	36.0
10-11	35.66611455462557	36.0	36.0	36.0	36.0	36.0
12-13	35.679843125367086	36.0	36.0	36.0	36.0	36.0
14-15	35.6703331229818	36.0	36.0	36.0	36.0	36.0
16-17	35.66481197828084	36.0	36.0	36.0	36.0	36.0
18-19	35.657438331295396	36.0	36.0	36.0	36.0	36.0
20-21	35.65088780004848	36.0	36.0	36.0	36.0	36.0
22-23	35.63026963374058	36.0	36.0	36.0	36.0	36.0
24-25	35.612572876117525	36.0	36.0	36.0	36.0	36.0
26-27	35.58614555069349	36.0	36.0	36.0	36.0	36.0
28-29	35.56772098795743	36.0	36.0	36.0	36.0	36.0
30-31	35.549507752575664	36.0	36.0	36.0	36.0	36.0
32-33	35.536231358328386	36.0	36.0	36.0	36.0	36.0
34-35	35.51906672172119	36.0	36.0	36.0	36.0	36.0
36-37	35.504568664743104	36.0	36.0	36.0	36.0	36.0
38-39	35.486943705520105	36.0	36.0	36.0	36.0	36.0
40-41	35.47083539336624	36.0	36.0	36.0	36.0	36.0
42-43	35.45815141665039	36.0	36.0	36.0	36.0	36.0
44-45	35.44275834955755	36.0	36.0	36.0	36.0	36.0
46-47	35.4271301571138	36.0	36.0	36.0	36.0	36.0
48-49	35.4080645258784	36.0	36.0	36.0	36.0	36.0
50-51	35.400509108867126	36.0	36.0	36.0	36.0	36.0
52-53	35.382234314586285	36.0	36.0	36.0	36.0	36.0
54-55	35.36585184378884	36.0	36.0	36.0	36.0	36.0
56-57	35.346326812588714	36.0	36.0	36.0	36.0	36.0
58-59	35.327818464549125	36.0	36.0	36.0	36.0	36.0
60-61	35.307837711537005	36.0	36.0	36.0	36.0	36.0
62-63	35.283636507537345	36.0	36.0	36.0	36.0	36.0
64-65	35.2578044678464	36.0	36.0	36.0	36.0	36.0
66-67	35.23491316262243	36.0	36.0	36.0	36.0	36.0
68-69	35.212975018145436	36.0	36.0	36.0	36.0	36.0
70-71	35.178822440015054	36.0	36.0	36.0	36.0	36.0
72-73	35.147641431883216	36.0	36.0	36.0	36.0	36.0
74-75	35.103324501893766	36.0	36.0	36.0	36.0	36.0
76	34.524658735499834	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.07210822483592239
11101	2	-0.03805416782904558
11101	3	0.01512937160355321
11101	4	-0.01764650986807581
11101	5	-0.0040444039347455885
11101	6	-0.028759648975587027
11101	7	-0.038787330760314376
11101	8	-0.02863901689176629
11101	9	-0.00469984364522702
11101	10-11	-0.002306650307311031
11101	12-13	0.004074707190113713
11101	14-15	-0.006920764793790113
11101	16-17	0.001607872348252215
11101	18-19	-0.06322825341993621
11101	20-21	-0.007628022592690797
11101	22-23	-0.026857022209732406
11101	24-25	-0.008798058223668193
11101	26-27	-0.01354694558281011
11101	28-29	-7.081527052150705E-4
11101	30-31	-0.01796094848148755
11101	32-33	-0.024633756315481037
11101	34-35	-0.0030120040946712834
11101	36-37	-0.023786429993400304
11101	38-39	0.009336209166519893
11101	40-41	-0.09595715106852509
11101	42-43	-0.04078995073797387
11101	44-45	-0.0468306172636801
11101	46-47	-0.030775909467259055
11101	48-49	-0.0685372357701226
11101	50-51	-0.0037503191484020704
11101	52-53	0.019674255170976096
11101	54-55	-0.03407138246520702
11101	56-57	-0.040934997229790326
11101	58-59	-0.007752395903430909
11101	60-61	-0.016523792484015587
11101	62-63	-0.008173643996535418
11101	64-65	0.059404002528509636
11101	66-67	-0.006880123335228916
11101	68-69	-0.06334212575148257
11101	70-71	-0.02651377135410371
11101	72-73	0.056435232474235875
11101	74-75	0.058698675205860695
11101	76	0.08710690574637425
11102	1	-8.114232663984922E-4
11102	2	-0.011435960261614753
11102	3	0.02665288120251219
11102	4	0.023670785838284303
11102	5	0.008818886453759944
11102	6	0.02902919301205742
11102	7	0.0665403232170263
11102	8	0.06969548578817353
11102	9	0.03466710802101858
11102	10-11	0.024019363909800973
11102	12-13	0.02611249619260292
11102	14-15	0.027324085686522892
11102	16-17	-0.011630344573951845
11102	18-19	0.030880933746594508
11102	20-21	0.05165187962547435
11102	22-23	0.03537371280486212
11102	24-25	0.007942657508174022
11102	26-27	0.07080238883163048
11102	28-29	0.012984684915778644
11102	30-31	0.005818362325079818
11102	32-33	0.058166272206925385
11102	34-35	0.026025587369588266
11102	36-37	0.05991885595465618
11102	38-39	0.0030866300887595344
11102	40-41	0.004002633986850412
11102	42-43	0.04086190354075825
11102	44-45	0.03428498488815279
11102	46-47	0.03137482394928526
11102	48-49	0.08053738398071175
11102	50-51	0.035040798127724315
11102	52-53	0.04650258856714373
11102	54-55	0.028490723752049973
11102	56-57	0.04206370006062343
11102	58-59	0.06141948834005717
11102	60-61	0.07042285279198524
11102	62-63	0.11452501495426759
11102	64-65	0.04581641115160551
11102	66-67	0.0634888058024572
11102	68-69	-0.013354548717671832
11102	70-71	0.053351639837948994
11102	72-73	0.11121980639069307
11102	74-75	0.05982349612416016
11102	76	0.27315497939085986
11103	1	-0.03872114660224568
11103	2	0.0020841637421433745
11103	3	-0.004892876285424563
11103	4	-0.041092485922241906
11103	5	-0.002540664043401364
11103	6	0.004569480211209509
11103	7	-0.054711482654241195
11103	8	0.01436220590887416
11103	9	0.042569345395740754
11103	10-11	0.011766540853905383
11103	12-13	0.018281361066328827
11103	14-15	0.04371212022981297
11103	16-17	0.007376832528350974
