#Transcript position	Transcript coverage profile
0.0	2907.446750115079
1.0	3207.0738917105878
2.0	3625.139924865061
3.0	3816.064580922764
4.0	4065.9388086989943
5.0	4015.2458894125834
6.0	3933.4603362475864
7.0	3710.568362567572
8.0	3667.072120431263
9.0	3735.6529006813757
10.0	3980.356568765001
11.0	4233.424665763089
12.0	4538.77333422276
13.0	4749.118849990153
14.0	4925.855896296436
15.0	5189.200877433668
16.0	5396.9219681590575
17.0	5505.843419949267
18.0	5900.675178617673
19.0	6111.563928701223
20.0	6465.144016502651
21.0	6553.556911734877
22.0	6528.824641699753
23.0	6650.337077417926
24.0	6572.165610542113
25.0	6827.194219146703
26.0	7218.471380450122
27.0	7322.364282618268
28.0	7464.2336235873645
29.0	7430.076971637768
30.0	7466.267184960181
31.0	7509.527574857626
32.0	7766.4415772229095
33.0	7892.908221449089
34.0	7719.619076132385
35.0	8451.034575143918
36.0	8352.95499485344
37.0	8414.097250855402
38.0	8561.74653278347
39.0	8672.358949357096
40.0	8512.421424294647
41.0	8729.449348697517
42.0	9012.101376383582
43.0	9089.749064664311
44.0	9108.135807753479
45.0	8888.759363080271
46.0	9100.617545424691
47.0	9021.318238157768
48.0	8900.257722734072
49.0	9122.408638211742
50.0	9147.259137956096
51.0	9211.12652653587
52.0	9174.233187777962
53.0	9037.650041367348
54.0	8881.426177639218
55.0	8909.29945085055
56.0	8837.719962714158
57.0	8891.530448701249
58.0	8967.695957454955
59.0	9155.262515045188
60.0	9103.821999063508
61.0	9083.868775823861
62.0	9016.526833750828
63.0	8687.886596408778
64.0	8444.67708771516
65.0	8423.985140670917
66.0	8079.867608609681
67.0	8038.219210168702
68.0	8067.261811449254
69.0	8049.8228283661165
70.0	8165.799284867235
71.0	8297.504568284738
72.0	8217.697855340337
73.0	8343.533754605483
74.0	8082.1899522998165
75.0	7887.694960579249
76.0	7505.9206146696015
77.0	7329.086368313326
78.0	7263.354800036896
79.0	6786.097458516726
80.0	6807.790824722666
81.0	6733.202748631635
82.0	6406.450924335276
83.0	5878.705937897457
84.0	5788.129380339839
85.0	5653.306511687709
86.0	5410.674258654761
87.0	5316.022562580446
88.0	5061.554289082907
89.0	4574.697192341076
90.0	4253.9115951573995
91.0	3877.0472150861688
92.0	3596.1648764241104
93.0	2914.593874252401
94.0	2511.1666667929185
95.0	2044.7641828849614
96.0	1605.3593477935215
97.0	1216.912345691606
98.0	780.9806509906986
99.0	176.24149817826824
