#Transcript position	Transcript coverage profile
0.0	4260.444057060969
1.0	4708.250847767748
2.0	5270.460352982115
3.0	5642.154646266853
4.0	6075.968879703534
5.0	6236.970015561826
6.0	6354.541527564344
7.0	6298.481929447909
8.0	6421.8128874674985
9.0	6637.657867442062
10.0	7011.435374184012
11.0	7395.91336253103
12.0	7819.109867379629
13.0	8146.821380962851
14.0	8440.874113159854
15.0	8812.022116047618
16.0	9113.891375466788
17.0	9293.464889810217
18.0	9767.00224628433
19.0	10043.55501272784
20.0	10465.845848948311
21.0	10622.212971685181
22.0	10680.78725315999
23.0	10858.633526817799
24.0	10834.734905541447
25.0	11135.07541487656
26.0	11583.618628266711
27.0	11709.22791147747
28.0	11872.303273172036
29.0	11878.425303607262
30.0	11948.997344134654
31.0	12010.169541627845
32.0	12307.44573750445
33.0	12491.747120694401
34.0	12336.624935556058
35.0	13084.95263997662
36.0	13005.204049611906
37.0	13102.42080900368
38.0	13289.615928764246
39.0	13429.536877386985
40.0	13290.611422096852
41.0	13521.510631965826
42.0	13792.584824020869
43.0	13875.047420132834
44.0	13900.406020427212
45.0	13729.943148166152
46.0	13975.757465497396
47.0	13909.752664074538
48.0	13793.109573489575
49.0	14018.060966855694
50.0	14049.889487904471
51.0	14114.596223458086
52.0	14081.440253764142
53.0	13936.149627556633
54.0	13768.518882413173
55.0	13803.08815085745
56.0	13751.46140095728
57.0	13824.168539167245
58.0	13907.01500159195
59.0	14132.811834771243
60.0	14108.735261531923
61.0	14111.260196771744
62.0	14025.686231084983
63.0	13697.212830442484
64.0	13477.394373622585
65.0	13479.253438893204
66.0	13145.090151056846
67.0	13096.795942156856
68.0	13105.334960365792
69.0	13095.788596012273
70.0	13216.674843770428
71.0	13342.849609091218
72.0	13245.585117065939
73.0	13345.41091006458
74.0	13080.246595237097
75.0	12878.324818573847
76.0	12520.346407770747
77.0	12319.469479928579
78.0	12210.2400071873
79.0	11713.443118249379
80.0	11679.000906996573
81.0	11590.555758550854
82.0	11222.764909805255
83.0	10664.658991264296
84.0	10534.963373601819
85.0	10356.492364210557
86.0	10072.439106411786
87.0	9932.071604967676
88.0	9635.780907093498
89.0	9053.848898132506
90.0	8593.035198415333
91.0	8038.035936739347
92.0	7545.2473906085725
93.0	6594.42405167809
94.0	5837.078381235192
95.0	4925.1551503468845
96.0	3927.182792443599
97.0	2854.5426053345964
98.0	1715.224796567966
99.0	458.8872540502835
