##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	GB85-PG_S8_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	19717872
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.76239175302487	32.0	32.0	32.0	32.0	32.0
2	31.81893598863001	32.0	32.0	32.0	32.0	32.0
3	31.8406642968369	32.0	32.0	32.0	32.0	32.0
4	31.8519856503785	32.0	32.0	32.0	32.0	32.0
5	31.866063335840703	32.0	32.0	32.0	32.0	32.0
6	35.68021762186102	36.0	36.0	36.0	36.0	36.0
7	35.68126398223906	36.0	36.0	36.0	36.0	36.0
8	35.670326290788374	36.0	36.0	36.0	36.0	36.0
9	35.66799404114197	36.0	36.0	36.0	36.0	36.0
10-11	35.66342970478762	36.0	36.0	36.0	36.0	36.0
12-13	35.67671341511903	36.0	36.0	36.0	36.0	36.0
14-15	35.66744240960688	36.0	36.0	36.0	36.0	36.0
16-17	35.66456575537158	36.0	36.0	36.0	36.0	36.0
18-19	35.65745598713695	36.0	36.0	36.0	36.0	36.0
20-21	35.65256009877739	36.0	36.0	36.0	36.0	36.0
22-23	35.63382585098432	36.0	36.0	36.0	36.0	36.0
24-25	35.61986288378381	36.0	36.0	36.0	36.0	36.0
26-27	35.596449739091156	36.0	36.0	36.0	36.0	36.0
28-29	35.57937642363744	36.0	36.0	36.0	36.0	36.0
30-31	35.56457157098065	36.0	36.0	36.0	36.0	36.0
32-33	35.553986321328885	36.0	36.0	36.0	36.0	36.0
34-35	35.54106827747658	36.0	36.0	36.0	36.0	36.0
36-37	35.53044347441859	36.0	36.0	36.0	36.0	36.0
38-39	35.516484783379724	36.0	36.0	36.0	36.0	36.0
40-41	35.50250421723695	36.0	36.0	36.0	36.0	36.0
42-43	35.492666611585975	36.0	36.0	36.0	36.0	36.0
44-45	35.48028496788211	36.0	36.0	36.0	36.0	36.0
46-47	35.468696749486206	36.0	36.0	36.0	36.0	36.0
48-49	35.457192835547566	36.0	36.0	36.0	36.0	36.0
50-51	35.447482567439685	36.0	36.0	36.0	36.0	36.0
52-53	35.43358918064037	36.0	36.0	36.0	36.0	36.0
54-55	35.41884885108561	36.0	36.0	36.0	36.0	36.0
56-57	35.40317719345093	36.0	36.0	36.0	36.0	36.0
58-59	35.38453734966206	36.0	36.0	36.0	36.0	36.0
60-61	35.369244878312486	36.0	36.0	36.0	36.0	36.0
62-63	35.3483366252023	36.0	36.0	36.0	36.0	36.0
64-65	35.32485965371036	36.0	36.0	36.0	36.0	36.0
66-67	35.3032888621122	36.0	36.0	36.0	36.0	36.0
68-69	35.28284311317826	36.0	36.0	36.0	36.0	36.0
70-71	35.253458242567625	36.0	36.0	36.0	36.0	36.0
72-73	35.22342098845769	36.0	36.0	36.0	36.0	36.0
74-75	35.18228681682792	36.0	36.0	36.0	36.0	36.0
76	34.607080068714644	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.05823838520753455
11101	2	-0.04160546086981043
11101	3	0.0144670060930423
11101	4	0.006724876195935536
11101	5	-0.0035700061610093314
11101	6	-0.03904615708670178
11101	7	-0.02888317096952875
11101	8	-0.015205086607743112
11101	9	0.040085958179872705
11101	10-11	-0.058893912557309136
11101	12-13	-0.03990957497784109
11101	14-15	0.016489622294550088
11101	16-17	-0.08136276645081608
11101	18-19	-0.03388698958612224
11101	20-21	1.466562626006862E-5
11101	22-23	-0.026827232173495474
11101	24-25	-0.024725422869167346
11101	26-27	-3.063383632309069E-4
11101	28-29	-0.040703503297145005
11101	30-31	0.01919802853437602
11101	32-33	-0.0025084118737410677
11101	34-35	-0.04663230712704092
11101	36-37	-0.037211957098080006
11101	38-39	-0.007487413970110879
11101	40-41	-0.0438088236890124
11101	42-43	-0.009345848644422006
11101	44-45	0.0041234378384018555
11101	46-47	-0.02223057765547054
11101	48-49	-0.054759882293382134
11101	50-51	-0.04290096364787388
11101	52-53	-0.007684575042063102
11101	54-55	-0.034530475082519274
11101	56-57	-0.08133317819838481
11101	58-59	-0.042380772083973284
11101	60-61	-0.07579306286205423
11101	62-63	0.011000450516760907
11101	64-65	-0.036762681283470044
11101	66-67	-0.012420813046780665
11101	68-69	0.004725507851254918
11101	70-71	-0.08535297973777034
11101	72-73	0.011180200924840733
11101	74-75	-0.041194784637646364
11101	76	0.1441337471894002
11102	1	-0.04822636071363462
11102	2	0.015066729396881584
11102	3	0.039225638810357566
11102	4	-0.01734500733331501
11102	5	0.008014111572123284
11102	6	-0.002446016593964373
11102	7	0.04862924363199994
11102	8	0.06791742662486655
11102	9	0.028563447754955007
11102	10-11	0.027018639621267937
11102	12-13	0.04878896658657794
11102	14-15	0.03301574222739845
11102	16-17	0.0013337870495462312
11102	18-19	0.024642112982760978
11102	20-21	0.01087995943804998
11102	22-23	0.03746007493919734
11102	24-25	0.006035980827164167
11102	26-27	0.00795799699651667
11102	28-29	-0.005477921707367273
11102	30-31	0.004269223906703701
11102	32-33	0.013066720846204305
11102	34-35	-0.009170060306864514
11102	36-37	0.00963920756900194
11102	38-39	-0.0452922791254764
11102	40-41	0.012659931254937362
11102	42-43	-0.01580888949230541
11102	44-45	0.015581520729917031
11102	46-47	-0.053826366625919775
11102	48-49	-0.06009212999829572
11102	50-51	-0.051018561002557306
11102	52-53	0.004166158521591967
11102	54-55	0.025694240177557504
11102	56-57	-0.03752439356776449
11102	58-59	-0.012057008331915142
11102	60-61	0.07291749130178715
11102	62-63	-0.00625478539508606
11102	64-65	0.012476677820167481
11102	66-67	0.02728236281493679
11102	68-69	-0.09567493305102204
11102	70-71	0.04047783039447239
11102	72-73	0.04259280294935053
11102	74-75	-0.04578624052532376
11102	76	0.15401854318975694
11103	1	-0.026454395807846254
11103	2	0.00692761876035064
11103	3	-0.0038101724739192377
11103	4	0.015171160243252046
11103	5	-0.0133317709067029
11103	6	0.010987989301632695
11103	7	0.04018279485143239
11103	8	-0.026417698275835733
11103	9	0.032821596934333286
11103	10-11	0.021412616507006987
11103	12-13	0.0033728451553116656
11103	14-15	0.015419221628093283
