#Transcript position	Transcript coverage profile
0.0	2101.6461006850363
1.0	2281.873608502469
2.0	2565.6460324751183
3.0	2784.0558698063464
4.0	3101.59367327789
5.0	3175.143226257616
6.0	3244.827704892873
7.0	3287.380933389275
8.0	3358.091203559237
9.0	3441.7896939501907
10.0	3693.6223695153067
11.0	3888.8322600102765
12.0	4097.302791362519
13.0	4262.526703517392
14.0	4362.536006248927
15.0	4546.857228632124
16.0	4709.1258400132865
17.0	4800.0528157925355
18.0	5136.6627720827655
19.0	5291.704891816201
20.0	5589.603131381431
21.0	5661.713336432823
22.0	5659.622560228091
23.0	5802.760398123401
24.0	5850.025724508572
25.0	6084.270288557669
26.0	6387.8611748635685
27.0	6395.35879527683
28.0	6560.762880384914
29.0	6594.159726260679
30.0	6690.713375303916
31.0	6816.860610760795
32.0	7091.961870343492
33.0	7278.617233115211
34.0	7150.988810166761
35.0	7479.20243029952
36.0	7413.804924069932
37.0	7445.550628094647
38.0	7565.23730870287
39.0	7744.07440610309
40.0	7740.954300771694
41.0	7988.559550581746
42.0	8310.125705454086
43.0	8418.634914245224
44.0	8425.38426413003
45.0	8306.608071438868
46.0	8476.788415199188
47.0	8457.607219585063
48.0	8334.691713223661
49.0	8527.922484765133
50.0	8522.821114514834
51.0	8616.50015802911
52.0	8642.060899992544
53.0	8657.598938563146
54.0	8576.58916573774
55.0	8587.513157648593
56.0	8524.760499955853
57.0	8573.660165779334
58.0	8648.817388883188
59.0	8745.506881091158
60.0	8731.973328785421
61.0	8747.99304013063
62.0	8741.369030529504
63.0	8692.956643325551
64.0	8600.326188611836
65.0	8636.092117058737
66.0	8502.141725747444
67.0	8505.686648770068
68.0	8584.235060965839
69.0	8627.354630978714
70.0	8721.962958818958
71.0	8790.61668256821
72.0	8689.17787179906
73.0	8754.042845106786
74.0	8514.502557235806
75.0	8342.231729013016
76.0	7967.036468876896
77.0	7843.721217748831
78.0	7773.507586744087
79.0	7489.028039227915
80.0	7425.4611647297825
81.0	7336.9518800942
82.0	6998.899634838348
83.0	6541.057722739616
84.0	6507.045138563472
85.0	6347.853544176729
86.0	6107.388328053564
87.0	5946.3751768287075
88.0	5633.275361952486
89.0	5101.889907468498
90.0	4767.596454795651
91.0	4383.815078869468
92.0	4058.852552628288
93.0	3308.3864292457206
94.0	2829.2066504520076
95.0	2144.372805031617
96.0	1540.2619973844799
97.0	1143.9588176312993
98.0	703.4228654287047
99.0	160.03264254841565
