#Transcript position	Transcript coverage profile
0.0	3176.562487866077
1.0	3473.7161279880443
2.0	3871.8743017807456
3.0	4225.51790194213
4.0	4689.540415323031
5.0	4918.90987958981
6.0	5141.28582422635
7.0	5315.564484378168
8.0	5515.648829303886
9.0	5721.626695480622
10.0	6074.981192945674
11.0	6385.500548900532
12.0	6689.611358076078
13.0	6942.5054877883995
14.0	7149.613192372709
15.0	7433.921985855905
16.0	7678.577443888862
17.0	7832.771235589584
18.0	8237.163757315944
19.0	8467.359167350114
20.0	8828.203866104866
21.0	8965.00231548606
22.0	9044.170388843133
23.0	9250.41024545097
24.0	9357.634699313076
25.0	9641.122417532708
26.0	10007.88829476743
27.0	10061.540202024584
28.0	10259.237271435313
29.0	10337.050509247163
30.0	10481.907562569431
31.0	10643.922702899883
32.0	10971.8488960399
33.0	11215.577067378403
34.0	11114.596527934445
35.0	11470.274981239389
36.0	11439.554894745841
37.0	11528.654592603289
38.0	11697.460615464965
39.0	11917.417740501767
40.0	11939.712291444283
41.0	12205.592760206158
42.0	12542.592038581957
43.0	12679.10605356879
44.0	12699.899319585878
45.0	12641.689592438403
46.0	12854.03557011418
47.0	12862.860762489088
48.0	12751.633650817967
49.0	12967.638870305145
50.0	12986.575560477322
51.0	13096.1438515738
52.0	13143.017582229928
53.0	13168.390701757131
54.0	13115.105330611348
55.0	13154.035339297743
56.0	13124.971007636006
57.0	13191.800485705917
58.0	13276.794017474955
59.0	13420.893401463443
60.0	13457.668262252459
61.0	13512.59566833225
62.0	13507.184193761614
63.0	13478.995559507599
64.0	13418.056146234298
65.0	13482.344815173743
66.0	13379.107595584916
67.0	13391.685549710986
68.0	13476.475337241358
69.0	13560.236883666503
70.0	13685.107282316969
71.0	13778.62479262237
72.0	13688.772092126466
73.0	13745.161265668105
74.0	13505.458417495978
75.0	13353.356684864197
76.0	13023.236951797311
77.0	12892.341345774237
78.0	12799.093268257187
79.0	12503.566514306449
80.0	12408.183943784417
81.0	12329.431816075306
82.0	11976.003531256974
83.0	11529.944416320393
84.0	11496.933368638223
85.0	11322.9354540943
86.0	11057.533573253644
87.0	10857.79112910729
88.0	10520.135943326024
89.0	9899.326917898374
90.0	9444.9765635451
91.0	8907.080705742292
92.0	8376.717866143697
93.0	7333.037974813782
94.0	6466.1233416401765
95.0	5287.9313327455075
96.0	4043.7815481329017
97.0	2862.1496080275383
98.0	1661.286005601194
99.0	443.3621627337112
