##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	GC05-BL_S7_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	42116335
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.40992118616209	32.0	32.0	32.0	32.0	32.0
2	31.507858815350385	32.0	32.0	32.0	32.0	32.0
3	31.534622540161674	32.0	32.0	32.0	32.0	32.0
4	31.555454196097546	32.0	32.0	32.0	32.0	32.0
5	31.587845143695432	32.0	32.0	32.0	32.0	32.0
6	35.135793558485084	36.0	36.0	36.0	36.0	36.0
7	35.153679682716934	36.0	36.0	36.0	36.0	36.0
8	35.11355228321742	36.0	36.0	36.0	36.0	36.0
9	35.11496007427997	36.0	36.0	36.0	36.0	36.0
10-11	35.11408917703784	36.0	36.0	36.0	36.0	36.0
12-13	35.1384640543865	36.0	36.0	36.0	36.0	36.0
14-15	35.12295235328526	36.0	36.0	36.0	36.0	36.0
16-17	35.117776392461494	36.0	36.0	36.0	36.0	36.0
18-19	35.10441134063541	36.0	36.0	36.0	36.0	36.0
20-21	35.08938606600029	36.0	36.0	36.0	36.0	36.0
22-23	35.05819904557222	36.0	36.0	36.0	36.0	36.0
24-25	35.0303163606235	36.0	36.0	36.0	36.0	36.0
26-27	34.95866680160947	36.0	36.0	36.0	36.0	36.0
28-29	34.931185320680065	36.0	36.0	36.0	36.0	36.0
30-31	34.89795937695687	36.0	36.0	36.0	36.0	36.0
32-33	34.87073731553551	36.0	36.0	36.0	36.0	36.0
34-35	34.850497371728046	36.0	36.0	36.0	36.0	36.0
36-37	34.825826808019144	36.0	36.0	36.0	36.0	36.0
38-39	34.79913217025342	36.0	36.0	36.0	32.0	36.0
40-41	34.77556389221873	36.0	36.0	36.0	32.0	36.0
42-43	34.75767126588609	36.0	36.0	36.0	32.0	36.0
44-45	34.724859309140484	36.0	36.0	36.0	32.0	36.0
46-47	34.69711371813393	36.0	36.0	36.0	32.0	36.0
48-49	34.65434247500713	36.0	36.0	36.0	32.0	36.0
50-51	34.6137193482311	36.0	36.0	36.0	32.0	36.0
52-53	34.57200617395424	36.0	36.0	36.0	32.0	36.0
54-55	34.52867933558172	36.0	36.0	36.0	32.0	36.0
56-57	34.465209791988585	36.0	36.0	36.0	32.0	36.0
58-59	34.40182349947442	36.0	36.0	36.0	32.0	36.0
60-61	34.34418952764854	36.0	36.0	36.0	32.0	36.0
62-63	34.28759022640217	36.0	36.0	36.0	32.0	36.0
64-65	34.23195758224153	36.0	36.0	36.0	32.0	36.0
66-67	34.178954172023026	36.0	36.0	36.0	32.0	36.0
68-69	34.12621778770027	36.0	36.0	36.0	32.0	36.0
70-71	34.07749684112693	36.0	36.0	36.0	32.0	36.0
72-73	34.03137802754924	36.0	36.0	36.0	32.0	36.0
74-75	33.967186739543436	36.0	36.0	36.0	32.0	36.0
76	32.53050115110076	36.0	32.0	36.0	21.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.011125065691302893
11101	2	0.007311016894671951
11101	3	0.029428575649767197
11101	4	0.01537358594981697
11101	5	0.021078594880510337
11101	6	0.07537759352474183
11101	7	0.10190967768154735
11101	8	0.11097937326672991
11101	9	0.053103935097730925
11101	10-11	0.047507150707446044
11101	12-13	0.05016325105439989
11101	14-15	0.043447161788179756
11101	16-17	0.12674853611072479
11101	18-19	0.0580497110019067
11101	20-21	0.09499512127590748
11101	22-23	0.058734756095816465
11101	24-25	0.1490311491869747
11101	26-27	0.005049590593962705
11101	28-29	0.0950127060889372
11101	30-31	0.0708543873462375
11101	32-33	0.08183964609285965
11101	34-35	0.0698705459409652
11101	36-37	0.10985495864825623
11101	38-39	0.06976230142311124
11101	40-41	0.07485152685934082
11101	42-43	0.10167153833440068
11101	44-45	0.06618294618480292
11101	46-47	0.11204447292047348
11101	48-49	0.09587414053408594
11101	50-51	0.09904131710985098
11101	52-53	0.15974981158782953
11101	54-55	0.11088285703031886
11101	56-57	0.15435211079539357
11101	58-59	0.17316742262427454
11101	60-61	0.2016035956929656
11101	62-63	0.19259770302949164
11101	64-65	0.171010548603185
11101	66-67	0.23414158295900478
11101	68-69	0.26592640251215016
11101	70-71	0.18872927937429296
11101	72-73	0.1514579303903716
11101	74-75	0.2737072017032389
11101	76	0.4429969576706938
11102	1	0.136288158493997
11102	2	0.08941938817184436
11102	3	0.0855264977244552
11102	4	-0.019617489517170128
11102	5	0.08853388181417543
11102	6	0.09027728070667251
11102	7	0.13493660007219432
11102	8	0.041632624778500826
11102	9	0.08465501952778709
11102	10-11	0.11471716859207959
11102	12-13	0.11637529807730118
11102	14-15	0.09907688673709458
11102	16-17	0.06775499431894616
11102	18-19	0.08997266332396947
11102	20-21	0.042418995987432595
11102	22-23	0.015362926142699962
11102	24-25	0.12207463575986566
11102	26-27	0.1252992442571994
11102	28-29	0.11166810508316871
11102	30-31	0.14912997898825608
11102	32-33	0.10286566036884892
11102	34-35	0.11171819820341256
11102	36-37	0.14881053473872186
11102	38-39	0.16953574629643953
11102	40-41	0.12172783468847115
11102	42-43	0.23997581341961904
11102	44-45	0.20802238359942038
11102	46-47	0.1428551887602154
11102	48-49	0.1588300061687491
11102	50-51	0.19168031392722895
11102	52-53	0.07197634293530086
11102	54-55	0.21491848024626847
11102	56-57	0.19867019001041086
11102	58-59	0.1002014080504594
11102	60-61	0.13499522610042192
11102	62-63	0.14012131263342553
11102	64-65	0.18476321771674264
11102	66-67	0.200838739357593
11102	68-69	0.1111444379921096
11102	70-71	0.21400628721139725
11102	72-73	0.16394587960590457
11102	74-75	0.18916408568370002
11102	76	0.24957090285952432
11103	1	0.04610572671956348
11103	2	-0.002265493546492081
11103	3	0.043447393818286884
11103	4	0.04854763056543021
11103	5	0.024257455704031372
11103	6	0.05423290623944865
11103	7	0.058213018178165044
11103	8	0.07650747286596982
11103	9	0.11197859755313289
11103	10-11	0.10666476227092403
11103	12-13	0.06853448206521762
11103	14-15	0.10692089274556338
11103	16-17	0.06848204001877889
11103	18-19	0.08213691161874692
11103	20-21	0.05468063839033732
11103	22-23	0.069613000181306
