#Transcript position	Transcript coverage profile
0.0	2997.282858856358
1.0	3265.8495691096427
2.0	3813.3073203195736
3.0	4440.052523020282
4.0	5275.621410378449
5.0	5768.962444869733
6.0	6119.66694414371
7.0	6661.286482590877
8.0	7126.29972926508
9.0	7608.811297260464
10.0	8364.427650183727
11.0	8855.446402017817
12.0	9612.775115095326
13.0	10105.268980427152
14.0	10220.89601392612
15.0	10572.742212949684
16.0	10699.142753782091
17.0	10731.467049898798
18.0	11053.70022331839
19.0	11201.950035964392
20.0	11434.79651575998
21.0	11614.81027811467
22.0	11524.116943246565
23.0	11606.51676531006
24.0	11625.382898313594
25.0	11886.122883155373
26.0	12272.766737521883
27.0	12101.86206276032
28.0	12566.132173195992
29.0	12597.02635449053
30.0	12863.176157685033
31.0	13148.263924035744
32.0	13583.60539172268
33.0	13981.039688685183
34.0	13795.19608951846
35.0	13814.469403343453
36.0	13438.516523241946
37.0	13615.417691487066
38.0	13814.739654516932
39.0	14084.425090854318
40.0	14136.892985940367
41.0	14314.936009536925
42.0	14936.734322668537
43.0	15094.680691567764
44.0	15247.063515010512
45.0	15350.400333949223
46.0	15377.333020116002
47.0	15477.056405674435
48.0	15107.670786386034
49.0	15070.59752658088
50.0	14906.009355701066
51.0	14891.009990556404
52.0	14532.595813629936
53.0	14858.560184859669
54.0	14945.885461488568
55.0	15102.446398850707
56.0	15075.758297913002
57.0	14866.125969091634
58.0	14767.38511002001
59.0	14448.487927194192
60.0	14618.399493349809
61.0	14885.419660124284
62.0	15023.345412898223
63.0	15399.352867269663
64.0	15239.451580271676
65.0	15134.117811080534
66.0	14914.114091881222
67.0	14759.122292904545
68.0	14819.501352215524
69.0	14764.994410407786
70.0	14684.556868051131
71.0	14513.251442482297
72.0	14309.06750589086
73.0	14124.239596468053
74.0	13659.010660302829
75.0	13397.327337590526
76.0	12956.697869808999
77.0	12980.91368952336
78.0	12839.51247992666
79.0	12565.487286070422
80.0	12385.030683495455
81.0	12281.316759871634
82.0	11835.15089250919
83.0	11186.039856692518
84.0	10928.64579100382
85.0	10447.045909569179
86.0	9994.459261601447
87.0	9953.507385039187
88.0	9763.041803274999
89.0	9103.091956383405
90.0	8754.062309567575
91.0	8144.6350495907745
92.0	7372.906408078335
93.0	5712.086708508007
94.0	4586.021499710507
95.0	3072.332773453106
96.0	1979.8656473823698
97.0	1345.1120823372323
98.0	754.8234901635034
99.0	210.95887543439122
