#Transcript position	Transcript coverage profile
0.0	5986.521524557317
1.0	6593.372573997564
2.0	7459.72683237811
3.0	8508.06473662962
4.0	9751.073438205029
5.0	10701.723164072822
6.0	11499.23486514611
7.0	12412.137632574242
8.0	13169.70332443434
9.0	13916.910061269438
10.0	14899.968327561199
11.0	15642.537620961146
12.0	16615.434373015727
13.0	17328.934347027374
14.0	17693.230778766374
15.0	18248.75628288653
16.0	18579.265023387114
17.0	18764.544734209885
18.0	19254.033266373324
19.0	19544.758721383303
20.0	19918.174715222547
21.0	20280.092137315958
22.0	20323.40310415044
23.0	20510.50022192765
24.0	20645.923199394216
25.0	20974.82828898966
26.0	21474.47302057328
27.0	21367.754040124062
28.0	21840.91242937892
29.0	21974.0535125918
30.0	22317.209462496085
31.0	22620.740749424767
32.0	23142.37606937455
33.0	23639.413211146064
34.0	23505.123527061747
35.0	23571.376447386698
36.0	23256.866045249837
37.0	23554.41050144517
38.0	23875.327955354747
39.0	24210.13572851092
40.0	24289.000363710686
41.0	24460.80371417014
42.0	25066.625100980404
43.0	25254.30010714299
44.0	25437.853453962583
45.0	25687.263603143972
46.0	25828.795440878665
47.0	25938.744748152185
48.0	25555.47397029958
49.0	25558.982418487467
50.0	25428.95079476396
51.0	25440.04438163552
52.0	25108.81188893799
53.0	25428.770754209258
54.0	25488.304005695623
55.0	25695.06525488321
56.0	25751.774125590942
57.0	25582.256491494336
58.0	25529.10988429732
59.0	25331.641422435365
60.0	25524.652135441178
61.0	25807.754487731472
62.0	25921.3421600832
63.0	26314.669422871604
64.0	26194.449474909852
65.0	26120.344463441004
66.0	25917.2689683153
67.0	25791.357675382187
68.0	25843.166852071387
69.0	25823.04684917061
70.0	25739.83891955047
71.0	25557.26224947037
72.0	25335.303260176537
73.0	25118.59016987484
74.0	24680.904180297897
75.0	24428.761961989156
76.0	24023.124312610707
77.0	23997.345889554315
78.0	23816.769504359596
79.0	23481.018624188753
80.0	23206.01748509428
81.0	23080.529339363417
82.0	22559.235063965156
83.0	21842.89996591443
84.0	21476.78800919394
85.0	20924.969278504934
86.0	20419.694025486977
87.0	20299.371666685787
88.0	20030.62366450705
89.0	19160.092114627194
90.0	18485.398223921067
91.0	17560.46907594583
92.0	16404.222022326703
93.0	14155.206433302661
94.0	12255.665315365646
95.0	9753.868821698969
96.0	7407.051331341755
97.0	5229.117508573496
98.0	2991.461174785026
99.0	885.3308951700028
