##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	GC05-PG_S13_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	20425608
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.76666951603105	32.0	32.0	32.0	32.0	32.0
2	31.82175546500256	32.0	32.0	32.0	32.0	32.0
3	31.844785036509073	32.0	32.0	32.0	32.0	32.0
4	31.858833920635313	32.0	32.0	32.0	32.0	32.0
5	31.87295232533592	32.0	32.0	32.0	32.0	32.0
6	35.69357553518113	36.0	36.0	36.0	36.0	36.0
7	35.69436753118928	36.0	36.0	36.0	36.0	36.0
8	35.683752914478724	36.0	36.0	36.0	36.0	36.0
9	35.68277105876114	36.0	36.0	36.0	36.0	36.0
10-11	35.67940019215095	36.0	36.0	36.0	36.0	36.0
12-13	35.69201257069068	36.0	36.0	36.0	36.0	36.0
14-15	35.682871545366	36.0	36.0	36.0	36.0	36.0
16-17	35.67939845413659	36.0	36.0	36.0	36.0	36.0
18-19	35.673465436132915	36.0	36.0	36.0	36.0	36.0
20-21	35.667397122279056	36.0	36.0	36.0	36.0	36.0
22-23	35.64903791358377	36.0	36.0	36.0	36.0	36.0
24-25	35.63298774264149	36.0	36.0	36.0	36.0	36.0
26-27	35.60946382112783	36.0	36.0	36.0	36.0	36.0
28-29	35.59351782855677	36.0	36.0	36.0	36.0	36.0
30-31	35.57800929904789	36.0	36.0	36.0	36.0	36.0
32-33	35.56690361171256	36.0	36.0	36.0	36.0	36.0
34-35	35.5502810297385	36.0	36.0	36.0	36.0	36.0
36-37	35.539991277629554	36.0	36.0	36.0	36.0	36.0
38-39	35.52347383356137	36.0	36.0	36.0	36.0	36.0
40-41	35.50948672692628	36.0	36.0	36.0	36.0	36.0
42-43	35.50025948852769	36.0	36.0	36.0	36.0	36.0
44-45	35.48700944993516	36.0	36.0	36.0	36.0	36.0
46-47	35.473510621053705	36.0	36.0	36.0	36.0	36.0
48-49	35.45849320025181	36.0	36.0	36.0	36.0	36.0
50-51	35.45007992979147	36.0	36.0	36.0	36.0	36.0
52-53	35.434491398506765	36.0	36.0	36.0	36.0	36.0
54-55	35.41963386010028	36.0	36.0	36.0	36.0	36.0
56-57	35.40287785503307	36.0	36.0	36.0	36.0	36.0
58-59	35.38536182083692	36.0	36.0	36.0	36.0	36.0
60-61	35.36869950311977	36.0	36.0	36.0	36.0	36.0
62-63	35.347062104208874	36.0	36.0	36.0	36.0	36.0
64-65	35.32051308849446	36.0	36.0	36.0	36.0	36.0
66-67	35.298927954283016	36.0	36.0	36.0	36.0	36.0
68-69	35.27827474154704	36.0	36.0	36.0	36.0	36.0
70-71	35.24590047450346	36.0	36.0	36.0	36.0	36.0
72-73	35.21718071034931	36.0	36.0	36.0	36.0	36.0
74-75	35.1735135675048	36.0	36.0	36.0	36.0	36.0
76	34.597650515719145	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.07097055341536418
11101	2	-0.0034742736351169867
11101	3	-0.015511620358847011
11101	4	-0.009283508819375896
11101	5	4.757889078739197E-4
11101	6	-0.07039570916570881
11101	7	-0.014883365077572819
11101	8	-0.016276682644708274
11101	9	1.2362587933978375E-4
11101	10-11	-0.020552114219505313
11101	12-13	-0.012274412512233823
11101	14-15	0.004881330152869623
11101	16-17	6.506294049231087E-4
11101	18-19	-0.01408457354688153
11101	20-21	-0.012233039487369979
11101	22-23	-0.008776025585930824
11101	24-25	-0.06975698445489087
11101	26-27	-0.028837083877533587
11101	28-29	-0.02884444112952167
11101	30-31	-0.1013509909645407
11101	32-33	-0.061394287755319965
11101	34-35	-0.018242800144072646
11101	36-37	-0.06728989944529218
11101	38-39	0.01126019937725431
11101	40-41	-0.04488756861651666
11101	42-43	-0.03051304522530529
11101	44-45	-0.04083010864331271
11101	46-47	-0.055668845158329816
11101	48-49	-0.023491957984241196
11101	50-51	-0.06322468126958114
11101	52-53	-0.006488174841976502
11101	54-55	-0.07407877859587586
11101	56-57	-0.03750565434035735
11101	58-59	-0.014216180791230215
11101	60-61	-0.11451334197511898
11101	62-63	-0.061187973401182205
11101	64-65	0.007732838025752642
11101	66-67	-0.008577437975894497
11101	68-69	-0.03087065680873735
11101	70-71	-0.0053323980941542
11101	72-73	-0.04663569949892121
11101	74-75	0.01227603013874301
11101	76	0.1276095454679762
11102	1	0.016039769085669064
11102	2	-0.00444477432038326
11102	3	-0.00755595362302941
11102	4	-0.050534549110018645
11102	5	2.799631595706842E-5
11102	6	-0.01802350641190742
11102	7	0.0018551482432442867
11102	8	-0.01409626260291219
11102	9	-0.011514074593712564
11102	10-11	0.011393905809462979
11102	12-13	-0.0037589443073500206
11102	14-15	-0.02653313961591408
11102	16-17	0.0036271116703119333
11102	18-19	0.0138137259878377
11102	20-21	0.01949564299576423
11102	22-23	0.02072537822950693
11102	24-25	-0.03413126268872446
11102	26-27	-0.021505345817594446
11102	28-29	0.02476929649500903
11102	30-31	0.008944645875310187
11102	32-33	0.02125049062367168
11102	34-35	-0.02600972086536757
11102	36-37	-0.03530123396622997
11102	38-39	0.029788619814176798
11102	40-41	0.02222101203733473
11102	42-43	-0.0020751130983285293
11102	44-45	-0.0047625431645812455
11102	46-47	0.010296167506304243
11102	48-49	-0.01977569393363865
11102	50-51	0.001366743473091958
11102	52-53	0.015558169400108568
11102	54-55	-0.002731622020732516
11102	56-57	-0.020828132671091737
11102	58-59	-0.015251148486008503
11102	60-61	0.025263931096795034
11102	62-63	-0.04233112735614242
11102	64-65	0.04094841503707869
11102	66-67	-0.0029335068742000203
11102	68-69	-0.05407163453298125
11102	70-71	0.050811228513040874
11102	72-73	-0.0019226340013744903
11102	74-75	0.04140918973576646
11102	76	0.16983630714165798
11103	1	0.03772330885650277
11103	2	0.01588576894956617
11103	3	-0.016471259691087425
11103	4	0.00391372202733109
11103	5	0.015318341423078863
11103	6	0.011531793474297558
11103	7	0.004664708798429729
11103	8	0.04325762397076005
11103	9	0.024610967754504998
11103	10-11	0.03126233029833969
11103	12-13	0.05592297630373366
