#Transcript position	Transcript coverage profile
0.0	2311.006017831876
1.0	2500.5132220298997
2.0	2868.824979981982
3.0	3201.351110362527
4.0	3682.2386637931777
5.0	3744.8084355166206
6.0	3727.4454247235976
7.0	3788.028054197634
8.0	3833.132301902504
9.0	3887.0090222072163
10.0	4208.289157376716
11.0	4477.8330265894665
12.0	4700.6754669526445
13.0	4868.095514023024
14.0	4954.730124845718
15.0	5181.157258581249
16.0	5353.253143664447
17.0	5437.76632810933
18.0	5754.713966636681
19.0	5887.519855479822
20.0	6186.953294857997
21.0	6299.318298376037
22.0	6362.133775523461
23.0	6505.410409792968
24.0	6511.3955779591815
25.0	6702.039856823261
26.0	6969.152124997164
27.0	6930.108879082925
28.0	7099.310533146277
29.0	7090.102605435346
30.0	7192.526510915687
31.0	7293.558683660831
32.0	7590.414898103815
33.0	7780.966591664789
34.0	7609.931497194972
35.0	7806.86123335592
36.0	7701.024111538191
37.0	7721.361804471972
38.0	7736.950306775455
39.0	7892.294234908314
40.0	7886.827211812705
41.0	8228.21503926162
42.0	8579.183375070676
43.0	8654.378464156001
44.0	8622.485393352948
45.0	8485.275706818114
46.0	8635.645618052753
47.0	8655.888526175579
48.0	8500.32640494507
49.0	8576.270358781509
50.0	8501.504462028448
51.0	8520.80038461986
52.0	8472.314878192603
53.0	8503.81898429968
54.0	8459.489700781907
55.0	8462.578448696859
56.0	8400.036835789799
57.0	8415.589541023868
58.0	8373.854916846065
59.0	8285.98331271764
60.0	8200.690147483992
61.0	8146.640454458976
62.0	8129.100547887478
63.0	8144.706628424916
64.0	7971.543330008172
65.0	7919.02085413143
66.0	7734.02372898426
67.0	7682.142452082734
68.0	7742.601773866807
69.0	7756.246303254094
70.0	7653.922435422543
71.0	7641.950486952184
72.0	7591.651911081546
73.0	7640.676421061686
74.0	7401.042741273942
75.0	7264.80827648184
76.0	6922.855284206156
77.0	6778.966023967952
78.0	6746.8304066108885
79.0	6596.783625452293
80.0	6547.050383097205
81.0	6385.530388665689
82.0	6080.564284793149
83.0	5754.070705888544
84.0	5673.608546140229
85.0	5493.938457625424
86.0	5328.886157121673
87.0	5218.067890464449
88.0	5015.295212502168
89.0	4559.85839857262
90.0	4327.348976435988
91.0	4001.055804542376
92.0	3736.3135477826663
93.0	3056.7929504502695
94.0	2605.4818631429794
95.0	2000.915620374928
96.0	1476.9270328694636
97.0	1108.0829521384796
98.0	710.6202510887858
99.0	167.47980105546029
