#Transcript position	Transcript coverage profile
0.0	3786.7181527823295
1.0	4144.59332254512
2.0	4681.371315064786
3.0	5186.722810009347
4.0	5819.992253400775
5.0	6080.679841048178
6.0	6353.940982745737
7.0	6551.989195575699
8.0	6729.42862865555
9.0	6935.964663678601
10.0	7402.2413037694205
11.0	7811.690692187555
12.0	8139.29825308799
13.0	8417.717159228609
14.0	8625.236264622361
15.0	8952.492547282169
16.0	9213.912392449944
17.0	9386.73726929152
18.0	9788.911432440413
19.0	10013.84451507292
20.0	10393.722382745687
21.0	10583.96776863386
22.0	10722.08092658427
23.0	10912.985684063571
24.0	10973.679824740373
25.0	11215.212070243155
26.0	11549.95780398326
27.0	11544.470404590065
28.0	11725.941923102188
29.0	11759.159966238141
30.0	11895.065148133217
31.0	12002.989630726517
32.0	12354.37439223217
33.0	12603.139946715033
34.0	12458.045835263421
35.0	12667.513917646515
36.0	12589.062732139357
37.0	12654.266771997854
38.0	12714.477316623963
39.0	12890.653404217679
40.0	12885.512143817949
41.0	13225.108049644728
42.0	13570.995928222277
43.0	13665.742090519612
44.0	13640.047684009807
45.0	13548.00745475481
46.0	13739.19584417057
47.0	13778.05313679017
48.0	13617.003519794689
49.0	13698.77761684191
50.0	13633.410872375178
51.0	13644.966109276702
52.0	13622.260812855755
53.0	13644.514345028425
54.0	13584.970893993725
55.0	13594.669289405598
56.0	13545.433743362611
57.0	13560.955197296444
58.0	13544.187188349513
59.0	13500.13688405093
60.0	13452.547677742119
61.0	13415.034436940341
62.0	13370.331366284609
63.0	13388.656204840105
64.0	13251.45602179335
65.0	13217.15395235283
66.0	13047.475966824431
67.0	12975.888670811511
68.0	12997.667813812839
69.0	13015.177234716015
70.0	12915.685332734838
71.0	12897.675300208075
72.0	12832.146006101768
73.0	12839.029881167788
74.0	12589.443733895805
75.0	12439.188473808756
76.0	12125.402208476453
77.0	11954.954875395852
78.0	11895.440075653949
79.0	11725.962609411576
80.0	11631.507526618634
81.0	11464.206266973582
82.0	11122.202914175745
83.0	10767.025152292039
84.0	10645.848224818223
85.0	10412.954548403435
86.0	10219.254977359747
87.0	10050.20662756616
88.0	9780.015132724508
89.0	9212.605180194198
90.0	8833.700517342691
91.0	8336.406311438475
92.0	7862.198061569508
93.0	6897.504896019106
94.0	6084.30664332904
95.0	5019.53529515081
96.0	3911.127619713094
97.0	2832.063112755875
98.0	1695.881296138732
99.0	466.01799689238464
