##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	GI57-PG_S9_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	22826219
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.752051577179735	32.0	32.0	32.0	32.0	32.0
2	31.807467500421335	32.0	32.0	32.0	32.0	32.0
3	31.833455597705427	32.0	32.0	32.0	32.0	32.0
4	31.84691214081491	32.0	32.0	32.0	32.0	32.0
5	31.86253268664425	32.0	32.0	32.0	32.0	32.0
6	35.678657556032384	36.0	36.0	36.0	36.0	36.0
7	35.679172665433555	36.0	36.0	36.0	36.0	36.0
8	35.67021204869716	36.0	36.0	36.0	36.0	36.0
9	35.66772552212874	36.0	36.0	36.0	36.0	36.0
10-11	35.66446070196733	36.0	36.0	36.0	36.0	36.0
12-13	35.677232418562184	36.0	36.0	36.0	36.0	36.0
14-15	35.66913486635697	36.0	36.0	36.0	36.0	36.0
16-17	35.66572532227085	36.0	36.0	36.0	36.0	36.0
18-19	35.65998278120437	36.0	36.0	36.0	36.0	36.0
20-21	35.65419156803849	36.0	36.0	36.0	36.0	36.0
22-23	35.63650499892251	36.0	36.0	36.0	36.0	36.0
24-25	35.62173360818102	36.0	36.0	36.0	36.0	36.0
26-27	35.59688584397689	36.0	36.0	36.0	36.0	36.0
28-29	35.58216544965293	36.0	36.0	36.0	36.0	36.0
30-31	35.567888294441765	36.0	36.0	36.0	36.0	36.0
32-33	35.55718520698318	36.0	36.0	36.0	36.0	36.0
34-35	35.5433406127831	36.0	36.0	36.0	36.0	36.0
36-37	35.53272318381312	36.0	36.0	36.0	36.0	36.0
38-39	35.51586688787191	36.0	36.0	36.0	36.0	36.0
40-41	35.50409048338432	36.0	36.0	36.0	36.0	36.0
42-43	35.49473549885832	36.0	36.0	36.0	36.0	36.0
44-45	35.482285678885376	36.0	36.0	36.0	36.0	36.0
46-47	35.46969747927193	36.0	36.0	36.0	36.0	36.0
48-49	35.45639929531473	36.0	36.0	36.0	36.0	36.0
50-51	35.4469866901145	36.0	36.0	36.0	36.0	36.0
52-53	35.431565804659286	36.0	36.0	36.0	36.0	36.0
54-55	35.419247835923045	36.0	36.0	36.0	36.0	36.0
56-57	35.40187450003143	36.0	36.0	36.0	36.0	36.0
58-59	35.38710473884075	36.0	36.0	36.0	36.0	36.0
60-61	35.368271340702236	36.0	36.0	36.0	36.0	36.0
62-63	35.34785571994085	36.0	36.0	36.0	36.0	36.0
64-65	35.32230651291953	36.0	36.0	36.0	36.0	36.0
66-67	35.30257771409194	36.0	36.0	36.0	36.0	36.0
68-69	35.28147702308567	36.0	36.0	36.0	36.0	36.0
70-71	35.249277777267416	36.0	36.0	36.0	36.0	36.0
72-73	35.22220049106161	36.0	36.0	36.0	36.0	36.0
74-75	35.181370596269915	36.0	36.0	36.0	36.0	36.0
76	34.60796633137822	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.028394830546730532
11101	2	0.00612054960393138
11101	3	0.012646218407258658
11101	4	-0.03200473500473322
11101	5	0.003101652628295426
11101	6	-0.026240315881906895
11101	7	-0.010276429504571638
11101	8	0.030458356689813115
11101	9	0.035757204983866586
11101	10-11	0.0392133334913396
11101	12-13	0.018728704280945863
11101	14-15	0.0021942412571007708
11101	16-17	-0.013813737147870597
11101	18-19	-0.008293382101456359
11101	20-21	0.009507694801904165
11101	22-23	0.0023036546540637914
11101	24-25	-3.563747539203632E-5
11101	26-27	0.023826957110159697
11101	28-29	0.05482692831046165
11101	30-31	0.03292881861743524
11101	32-33	-0.0070082122886105935
11101	34-35	-0.052461914713099134
11101	36-37	-0.005573421371437348
11101	38-39	0.031380601224100246
11101	40-41	-0.012015017813816087
11101	42-43	0.030214547805762493
11101	44-45	-0.07304848409209086
11101	46-47	-0.014004612555332585
11101	48-49	-0.014897625939838122
11101	50-51	0.028718424296016565
11101	52-53	0.027780570169134933
11101	54-55	-0.006067378522175204
11101	56-57	-0.05465838918758692
11101	58-59	-0.04595188963827468
11101	60-61	-0.03743435244077631
11101	62-63	-0.06653640962176155
11101	64-65	-0.021894135544854976
11101	66-67	0.025488537640278253
11101	68-69	6.790538260119661E-4
11101	70-71	-0.043473889568169
11101	72-73	0.005982308944389558
11101	74-75	0.030340673822891517
11101	76	-0.040812427095389125
11102	1	0.01063569680346177
11102	2	-9.891255258871468E-4
11102	3	-0.022693482302759804
11102	4	0.029994762845213074
11102	5	4.518253284828688E-4
11102	6	0.016724511998681635
11102	7	0.01531671446070959
11102	8	0.012791534912466318
11102	9	-0.04627366180455539
11102	10-11	0.05623435562085888
11102	12-13	-0.01053442258415771
11102	14-15	-0.011110122246336118
11102	16-17	-3.523626771908539E-4
11102	18-19	0.03584338656533248
11102	20-21	0.007892987838765464
11102	22-23	0.032372561328038785
11102	24-25	-0.018064938429780852
11102	26-27	0.0284860197179313
11102	28-29	-0.014408999478689566
11102	30-31	-0.02003153894121823
11102	32-33	0.005023788001153662
11102	34-35	0.008563400040557667
11102	36-37	-0.013226651699049796
11102	38-39	0.01661952672474598
11102	40-41	0.0077413133322039585
11102	42-43	0.05091809122760793
11102	44-45	0.01888986724954833
11102	46-47	-0.005929911725324644
11102	48-49	0.02239572521093436
11102	50-51	0.008988806235294078
11102	52-53	-0.01812520042507515
11102	54-55	-0.05599989204642952
11102	56-57	-0.020511875711427763
11102	58-59	-0.013212739390716877
11102	60-61	0.024262657854215774
11102	62-63	0.06611084343977325
11102	64-65	-0.01981535143337254
11102	66-67	3.4807159821070854E-6
11102	68-69	-0.01153588009380968
11102	70-71	-0.02821499494337587
11102	72-73	0.04028556750142087
11102	74-75	-0.03432808439166024
11102	76	0.10789641095247049
11103	1	0.0016868796177078593
11103	2	-0.010463498183348463
11103	3	0.040363067465996494
11103	4	0.02743750874228823
11103	5	-0.007509217086091979
11103	6	0.010316104189200814
11103	7	-0.032175532473097235
11103	8	0.05275710878310491
11103	9	-0.007722371184058829
11103	10-11	0.042000561595486374
11103	12-13	0.01599276525386273
11103	14-15	0.02748653683796931
