#Transcript position	Transcript coverage profile
0.0	2006.10808172766
1.0	2108.8333267785647
2.0	2426.713299768681
3.0	2756.263129032362
4.0	3274.242769305891
5.0	3435.882645632155
6.0	3598.4499396074007
7.0	3749.175062766679
8.0	3746.281887475323
9.0	3771.858181938013
10.0	4108.949811909303
11.0	4329.249712392055
12.0	4531.035845419684
13.0	4721.55240434097
14.0	4804.67626709429
15.0	5021.180554400178
16.0	5171.605346364559
17.0	5265.781110600694
18.0	5595.874324469204
19.0	5718.63643536138
20.0	6025.228697474655
21.0	6149.488572910238
22.0	6251.055483424618
23.0	6484.151839388169
24.0	6643.710732954858
25.0	6928.47600458397
26.0	7228.115362013791
27.0	7189.840858938909
28.0	7392.80896916536
29.0	7398.863881996707
30.0	7528.601580570422
31.0	7670.289558551234
32.0	8056.026359457337
33.0	8300.490402645335
34.0	8208.425610792037
35.0	8234.962081965841
36.0	8092.951389899337
37.0	8084.4555201676085
38.0	8147.062629633608
39.0	8400.478301588151
40.0	8518.062435913629
41.0	8904.192102955965
42.0	9349.557005937144
43.0	9503.2412695618
44.0	9566.54493130321
45.0	9468.714242987791
46.0	9549.83772671279
47.0	9592.760636989722
48.0	9402.612571179496
49.0	9507.267827427617
50.0	9485.35200416054
51.0	9568.790829736372
52.0	9641.343480387197
53.0	9647.479548931587
54.0	9558.768839964356
55.0	9551.049223709982
56.0	9508.846254048967
57.0	9574.60880729571
58.0	9647.805406713764
59.0	9636.376769572846
60.0	9612.311428581108
61.0	9695.411580791926
62.0	9740.929021934127
63.0	9908.056270068622
64.0	9883.28527645639
65.0	9935.453338681114
66.0	9771.51411130038
67.0	9736.574729553793
68.0	9984.426991101403
69.0	10079.315308656347
70.0	10042.539628650187
71.0	9990.207071926805
72.0	9867.723855257496
73.0	9857.639802999644
74.0	9522.636692880238
75.0	9376.084600145768
76.0	8942.504176390927
77.0	8664.143609453458
78.0	8647.736519655524
79.0	8580.763345796198
80.0	8439.062789222637
81.0	8324.1621718936
82.0	7979.285910570094
83.0	7563.686043076991
84.0	7317.274186520486
85.0	6975.352121309021
86.0	6859.935715018109
87.0	6615.425434132748
88.0	6237.730587625925
89.0	5591.249812911806
90.0	5285.221948646359
91.0	4876.254231978353
92.0	4535.103000128432
93.0	3793.837108586584
94.0	3253.3021171888586
95.0	2421.3169921276412
96.0	1659.0590081089526
97.0	1261.932759612635
98.0	792.0977539093416
99.0	197.67853334522832
