#Transcript position	Transcript coverage profile
0.0	3331.513193064895
1.0	3587.337758683951
2.0	4053.97203852154
3.0	4552.088390475301
4.0	5218.616780905793
5.0	5573.392017756813
6.0	5932.118907371558
7.0	6261.4643220309545
8.0	6439.100383640172
9.0	6610.228373809847
10.0	7066.08295826438
11.0	7414.8814789223725
12.0	7734.9062533500055
13.0	8041.848851164161
14.0	8257.995122855245
15.0	8608.089171279287
16.0	8872.83955633232
17.0	9052.807946799241
18.0	9482.512793623948
19.0	9695.18876027469
20.0	10087.401090574791
21.0	10285.33643763411
22.0	10482.362653829996
23.0	10797.010240637746
24.0	11026.96866315231
25.0	11386.195728580402
26.0	11764.795019856032
27.0	11755.956352117448
28.0	11981.266079550585
29.0	12049.94477709229
30.0	12244.325534638045
31.0	12436.182335135243
32.0	12876.442830216023
33.0	13181.346405567727
34.0	13120.557505690305
35.0	13184.738422345272
36.0	13097.140839700285
37.0	13155.475030035326
38.0	13279.949021002547
39.0	13569.353817172505
40.0	13722.164515867047
41.0	14141.391964601971
42.0	14595.863126955675
43.0	14781.874432511717
44.0	14870.06485524461
45.0	14850.110397436943
46.0	15007.90603640224
47.0	15075.644617343509
48.0	14893.550422652468
49.0	15041.068748456668
50.0	15036.71336092778
51.0	15136.574984324476
52.0	15240.428151622564
53.0	15248.78822649512
54.0	15162.934228279477
55.0	15189.639009413011
56.0	15204.049318316807
57.0	15285.939117035387
58.0	15400.539495008172
59.0	15466.173897013778
60.0	15518.0885618464
61.0	15668.315031855576
62.0	15728.485365032057
63.0	15930.259690129007
64.0	15935.785443404033
65.0	16025.71935135426
66.0	15896.406035236261
67.0	15868.995471619435
68.0	16099.377848108477
69.0	16223.78972721939
70.0	16218.812835856272
71.0	16188.465527925311
72.0	16058.236012068406
73.0	16037.011206010784
74.0	15698.861566819956
75.0	15582.617147849622
76.0	15224.825938295495
77.0	14919.312008926667
78.0	14900.160470281986
79.0	14827.208223708276
80.0	14677.757396890749
81.0	14570.128601489472
82.0	14192.91879628592
83.0	13777.392291909166
84.0	13514.512879156397
85.0	13158.974601507893
86.0	13022.145046343978
87.0	12743.11887411799
88.0	12343.365947212451
89.0	11594.61761748212
90.0	11130.461682990399
91.0	10526.47751052681
92.0	9918.987732408614
93.0	8818.967276365202
94.0	7801.359386675763
95.0	6356.60612686722
96.0	4810.560430405949
97.0	3458.078055861209
98.0	2015.6597417237535
99.0	555.7097787932533
