##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	GK45-BL_S12_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	39519737
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.402222691917206	32.0	32.0	32.0	32.0	32.0
2	31.48921082141817	32.0	32.0	32.0	32.0	32.0
3	31.52909291881168	32.0	32.0	32.0	32.0	32.0
4	31.54779881252752	32.0	32.0	32.0	32.0	32.0
5	31.57343208027928	32.0	32.0	32.0	32.0	32.0
6	35.11998108691867	36.0	36.0	36.0	36.0	36.0
7	35.132194123660284	36.0	36.0	36.0	36.0	36.0
8	35.08948445178165	36.0	36.0	36.0	36.0	36.0
9	35.09195347124906	36.0	36.0	36.0	36.0	36.0
10-11	35.09329022103563	36.0	36.0	36.0	36.0	36.0
12-13	35.10941403785152	36.0	36.0	36.0	36.0	36.0
14-15	35.08674032926889	36.0	36.0	36.0	36.0	36.0
16-17	35.074204137542715	36.0	36.0	36.0	36.0	36.0
18-19	35.05444856578879	36.0	36.0	36.0	36.0	36.0
20-21	35.03081866410194	36.0	36.0	36.0	36.0	36.0
22-23	34.99048743669523	36.0	36.0	36.0	36.0	36.0
24-25	34.95139252824481	36.0	36.0	36.0	36.0	36.0
26-27	34.86647111068176	36.0	36.0	36.0	36.0	36.0
28-29	34.8280371154346	36.0	36.0	36.0	32.0	36.0
30-31	34.77947768414808	36.0	36.0	36.0	32.0	36.0
32-33	34.74954231188619	36.0	36.0	36.0	32.0	36.0
34-35	34.71674118375053	36.0	36.0	36.0	32.0	36.0
36-37	34.68433043327766	36.0	36.0	36.0	32.0	36.0
38-39	34.648937089075325	36.0	36.0	36.0	32.0	36.0
40-41	34.61993569171622	36.0	36.0	36.0	32.0	36.0
42-43	34.59652831252227	36.0	36.0	36.0	32.0	36.0
44-45	34.55713581542341	36.0	36.0	36.0	32.0	36.0
46-47	34.516513853833445	36.0	36.0	36.0	32.0	36.0
48-49	34.46211342890409	36.0	36.0	36.0	32.0	36.0
50-51	34.41761514005948	36.0	36.0	36.0	32.0	36.0
52-53	34.365747247071646	36.0	36.0	36.0	32.0	36.0
54-55	34.31334804137356	36.0	36.0	36.0	32.0	36.0
56-57	34.24038116006696	36.0	36.0	36.0	32.0	36.0
58-59	34.17242420646642	36.0	36.0	36.0	32.0	36.0
60-61	34.11294912040169	36.0	36.0	36.0	32.0	36.0
62-63	34.04732849167959	36.0	36.0	36.0	32.0	36.0
64-65	33.987558752695705	36.0	36.0	36.0	32.0	36.0
66-67	33.92615596754807	36.0	36.0	36.0	32.0	36.0
68-69	33.87400353515638	36.0	36.0	36.0	32.0	36.0
70-71	33.81833693506633	36.0	36.0	36.0	29.5	36.0
72-73	33.76317513447398	36.0	36.0	36.0	27.0	36.0
74-75	33.690123361014315	36.0	36.0	36.0	27.0	36.0
76	32.214713979435494	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.049396983190789
11101	2	0.024219386506135976
11101	3	0.048047511117371045
11101	4	0.016576431190099328
11101	5	0.051424008314310043
11101	6	0.08337250724924417
11101	7	0.12437016155512026
11101	8	0.1087835481803836
11101	9	0.06592678195232793
11101	10-11	0.0629217798892654
11101	12-13	0.10850850870059503
11101	14-15	0.044551931846100956
11101	16-17	0.1058665064817248
11101	18-19	0.0712502453467252
11101	20-21	0.09962213234273776
11101	22-23	0.0934518558770705
11101	24-25	0.09392479529427789
11101	26-27	0.04691757932231155
11101	28-29	0.08366071017778864
11101	30-31	0.13216892224447463
11101	32-33	0.11038464188057873
11101	34-35	0.11635268754429973
11101	36-37	0.16390201442581542
11101	38-39	0.09206574749224927
11101	40-41	0.19348921904362015
11101	42-43	0.08337862392220785
11101	44-45	0.09376018186773649
11101	46-47	0.1060148456254737
11101	48-49	0.09562364153557468
11101	50-51	0.150468015005643
11101	52-53	0.15072552436172515
11101	54-55	0.12359884987357361
11101	56-57	0.16116100737747985
11101	58-59	0.09814997774383727
11101	60-61	0.07363892643435577
11101	62-63	0.14373355282119604
11101	64-65	0.11207703768660338
11101	66-67	0.20163317890739307
11101	68-69	0.23983153180347472
11101	70-71	0.1588465918048385
11101	72-73	0.1487239929928137
11101	74-75	0.22848503972057443
11101	76	0.438103211855136
11102	1	0.1264683201865573
11102	2	0.05957550615554652
11102	3	0.04795021559205992
11102	4	0.06763166333606918
11102	5	0.017281016953450745
11102	6	0.06429376711127333
11102	7	0.11582456337072244
11102	8	0.04395664579840286
11102	9	0.06974935317506237
11102	10-11	0.07102355767986523
11102	12-13	0.06197269294727903
11102	14-15	0.05316012095072864
11102	16-17	0.07569109763511506
11102	18-19	0.0783908220764431
11102	20-21	0.07179125869931369
11102	22-23	0.03703573716505559
11102	24-25	0.12225098213597363
11102	26-27	0.13875092727866445
11102	28-29	0.1534675536818355
11102	30-31	0.1122026432413179
11102	32-33	0.09576888422189
11102	34-35	0.11441638844173241
11102	36-37	0.06836061475034683
11102	38-39	0.1004956104463659
11102	40-41	0.10886815141189032
11102	42-43	0.1295348521145172
11102	44-45	0.12103593972713611
11102	46-47	0.20916260818474797
11102	48-49	0.15206175483442763
11102	50-51	0.16632419950743582
11102	52-53	0.10635732604460202
11102	54-55	0.2117642942999538
11102	56-57	0.14144359342368062
11102	58-59	0.20591334669407502
11102	60-61	0.09420657653947728
11102	62-63	0.13429159271964863
11102	64-65	0.09392373428782719
11102	66-67	0.1845242307316255
11102	68-69	0.1766584219231362
11102	70-71	0.09523227373177434
11102	72-73	0.20672438071935062
11102	74-75	0.23034734868123508
11102	76	0.2951980434820314
11103	1	0.1011556620672529
11103	2	0.019543882652072853
11103	3	0.045302512552652274
11103	4	0.012291651157656958
11103	5	0.032483919356678825
11103	6	0.004819221584263289
11103	7	0.0581200970043696
11103	8	0.05292597850382208
11103	9	0.013013451233163664
11103	10-11	0.09045721900385217
11103	12-13	0.12513325876506087
11103	14-15	0.09090276853854107
11103	16-17	0.09241042173450609
11103	18-19	0.045942009343349355
11103	20-21	0.020020472487821905
11103	22-23	0.11076491564863744
11103	24-25	0.09353241012917834
11103	26-27	0.11080128402479517
11103	28-29	0.09652102748084701
11103	30-31	0.06266062675717876
11103	32-33	0.09893639965698497
11103	34-35	0.10894957610840805
11103	36-37	0.04420500049796772
11103	38-39	0.12668466377401444
11103	40-41	0.13166935293727988
11103	42-43	0.0770294223119592
11103	44-45	0.10272558135421406
11103	46-47	0.015647848123727215
11103	48-49	0.08647464710042385
11103	50-51	0.08141797856930566
11103	52-53	0.07016271716817357
11103	54-55	0.1473318007256168
11103	56-57	0.13225021367156842
11103	58-59	0.10579061823381153
11103	60-61	0.1500854849709441
11103	62-63	0.11992405968162956
11103	64-65	0.06024992009161423
11103	66-67	0.11369627795470194
11103	68-69	0.17953817328431398
11103	70-71	0.13714911466729518
11103	72-73	0.15941575931378793
11103	74-75	0.19449556542033264
11103	76	0.3199638059194996
11104	1	-0.011708771986143063
11104	2	0.09165601559368142
11104	3	0.016809519864917633
11104	4	0.08020085839524427
11104	5	0.0554465368372874
11104	6	0.05183604790364171
11104	7	0.0359593972165797
11104	8	-0.01694051914224559
11104	9	0.11408497803927276
11104	10-11	0.04282417175647879
11104	12-13	0.082558206045789
11104	14-15	0.10359160454206062
11104	16-17	0.07114332534094103
11104	18-19	0.10984793981370444
11104	20-21	0.08627402198681011
11104	22-23	0.07258313612218359
11104	24-25	0.11999536179752823
11104	26-27	0.12822539041163594
11104	28-29	0.08047156036708714
11104	30-31	0.06132611017231682
11104	32-33	0.08620241148020114
11104	34-35	0.08396421962852685
11104	36-37	0.058120553546892495
11104	38-39	0.10897467927664195
11104	40-41	0.09908724055773632
11104	42-43	0.07433949248343907
11104	44-45	0.13527740969728796
11104	46-47	0.13438124212411395
11104	48-49	0.06399617868784446
11104	50-51	0.17703722916692755
11104	52-53	0.1076218047443902
11104	54-55	0.19419105551028082
11104	56-57	0.07481158454961445
11104	58-59	0.11866520533694569
11104	60-61	0.043134120339288984
11104	62-63	0.13310034132067727
11104	64-65	0.2007035238063537
11104	66-67	0.18472296840597835
11104	68-69	0.18285986727102
11104	70-71	0.11673927596168454
11104	72-73	0.17754239886369305
11104	74-75	0.2018665318922217
11104	76	0.45635428517707766
11105	1	0.0878171635558509
11105	2	-0.013171201082947448
11105	3	0.011660683589184373
11105	4	0.008010951062615845
11105	5	0.028365259093060757
11105	6	0.04816675477846388
11105	7	0.10841301090643896
11105	8	0.04841538972745241
11105	9	0.05109566938168797
11105	10-11	0.08057434492472737
11105	12-13	0.04399593273893743
11105	14-15	0.049661787722577344
11105	16-17	-0.020815768954044245
11105	18-19	0.03151938116192099
11105	20-21	0.017205620983013148
11105	22-23	0.021167663103007328
11105	24-25	0.060538705921679536
11105	26-27	0.06331337228321843
11105	28-29	0.032626067062928144
11105	30-31	0.09841633728173349
11105	32-33	0.030149402664086722
11105	34-35	0.08111206997586606
11105	36-37	0.06605995836892475
11105	38-39	0.06808908221945131
11105	40-41	0.08585469625460007
11105	42-43	0.10492496508666704
11105	44-45	0.08242704797807221
11105	46-47	0.03055418411749855
11105	48-49	0.115958831327724
11105	50-51	0.12171690147216907
11105	52-53	0.07853552292124988
11105	54-55	0.0782414965853846
11105	56-57	0.09774291077413721
11105	58-59	0.025392889565928556
11105	60-61	0.048442559558893095
11105	62-63	0.05337771682770409
11105	64-65	0.11896208718984269
11105	66-67	0.11285816614667965
11105	68-69	0.07183327562101738
11105	70-71	0.08380219503717257
11105	72-73	0.07664702318440675
11105	74-75	0.12438035295875238
11105	76	0.13297168807870463
11106	1	0.038315224646819246
11106	2	0.033974579914939795
11106	3	-0.016590647208161613
11106	4	0.06867243865795913
11106	5	-0.019220780574269014
11106	6	0.019284413919599785
11106	7	0.08785378716714831
11106	8	0.04630883291544308
11106	9	0.013761874945615205
11106	10-11	0.042327993014311005
11106	12-13	0.050495834800742045
11106	14-15	0.040594241745743886
11106	16-17	0.029486897739865015
11106	18-19	-0.021704719624992208
11106	20-21	0.05824369838536114
11106	22-23	0.07855203240032438
11106	24-25	0.007886677531303121
11106	26-27	0.04525408113557461
11106	28-29	-0.008976717832311465
11106	30-31	0.0904563266938112
11106	32-33	0.06281249114714171
11106	34-35	-0.0034469984893448213
11106	36-37	0.044849699131120246
11106	38-39	0.005530167896139915
11106	40-41	0.11282631449445546
11106	42-43	-0.011571170214700999
11106	44-45	0.05764440480459143
11106	46-47	0.004155975479370966
11106	48-49	0.010741275401194628
11106	50-51	-0.05513515004317071
11106	52-53	0.0045810726638109145
11106	54-55	0.026260660334251895
11106	56-57	0.01791879929588447
11106	58-59	0.11552896813032731
11106	60-61	0.11129215204543641
11106	62-63	0.0866788341928384
11106	64-65	0.0014596194591121048
