#Transcript position	Transcript coverage profile
0.0	5005.513389714348
1.0	5715.129567041769
2.0	6937.473126548436
3.0	7501.529909463403
4.0	8250.054611593574
5.0	8000.575215156565
6.0	7783.091099263366
7.0	7463.998581897547
8.0	7549.052575783666
9.0	7842.79457649782
10.0	8550.90497426383
11.0	9123.46680404207
12.0	9620.841776495068
13.0	10023.536598214496
14.0	10179.479669392475
15.0	10615.747395339693
16.0	10961.37088445249
17.0	10981.09663053216
18.0	11544.291264545405
19.0	11849.980313025377
20.0	12420.689415856363
21.0	12519.697824648847
22.0	12545.485006314975
23.0	12718.810009434752
24.0	12388.71238804209
25.0	12871.086090526442
26.0	13515.793525762272
27.0	13500.101353236963
28.0	13732.374627536086
29.0	13619.433140382711
30.0	13861.600062937798
31.0	14162.701135178593
32.0	14545.579004938514
33.0	14844.266651297306
34.0	14369.922957912686
35.0	14966.36839344436
36.0	14520.5120844875
37.0	14708.658035662982
38.0	15105.39664961926
39.0	15841.320904922417
40.0	15741.147277070546
41.0	16079.408055451455
42.0	16596.33691558981
43.0	16656.501078220637
44.0	16616.695870586584
45.0	16293.596204215948
46.0	16710.470388509133
47.0	16711.16940616188
48.0	16288.066201015792
49.0	16616.0886204819
50.0	16470.272529253456
51.0	16356.247013437527
52.0	16315.60862102155
53.0	16249.05884360625
54.0	16110.936937158225
55.0	16217.736654046288
56.0	16184.299642904187
57.0	16263.530697777556
58.0	16253.4215144706
59.0	16107.694876961119
60.0	16071.873108921269
61.0	16224.276956160735
62.0	16367.911076105205
63.0	16305.524688603584
64.0	15618.58892306536
65.0	15349.595004282148
66.0	14888.715448869527
67.0	14653.025506626645
68.0	14845.541544014504
69.0	14959.90614342952
70.0	15094.94881967973
71.0	15369.729669535453
72.0	15370.23869183033
73.0	15504.811629563108
74.0	14820.142497674819
75.0	14598.776871840384
76.0	13958.378501823132
77.0	13641.255232296478
78.0	13620.651469199123
79.0	12988.396764993597
80.0	12755.097597913853
81.0	12390.425538891273
82.0	11829.934163179583
83.0	11133.740739001008
84.0	10753.090829508154
85.0	10416.287909642315
86.0	10261.788714193692
87.0	10109.339553005599
88.0	9786.13951299563
89.0	8957.344392380406
90.0	8456.691417196595
91.0	7850.894215533204
92.0	7297.497146859729
93.0	5843.838835393525
94.0	4939.0640256663255
95.0	3760.0462158734517
96.0	2930.8878343222195
97.0	2137.8134624541813
98.0	1355.6673048355317
99.0	310.6132253941664
