#Transcript position	Transcript coverage profile
0.0	7891.422816013729
1.0	8904.027741254638
2.0	10426.254084297478
3.0	11350.450834607378
4.0	12465.691114187624
5.0	12642.701137336584
6.0	12792.569981480992
7.0	12789.872042892674
8.0	13181.745197013037
9.0	13747.971084108727
10.0	14695.173128951517
11.0	15515.638912982276
12.0	16206.583782297359
13.0	16821.644454925223
14.0	17207.770925129546
15.0	17869.51448077133
16.0	18381.344484843863
17.0	18518.326607620842
18.0	19235.68936917531
19.0	19680.258754799248
20.0	20389.442779548255
21.0	20634.105416190643
22.0	20808.082289945083
23.0	21068.719304423634
24.0	20820.65540401945
25.0	21358.501044451154
26.0	22112.923259133695
27.0	22165.985628674953
28.0	22449.548046968906
29.0	22445.19975977722
30.0	22735.944513911385
31.0	23059.462442443033
32.0	23498.477535054717
33.0	23891.230509091343
34.0	23444.64856964963
35.0	24033.882630404292
36.0	23620.451595826064
37.0	23898.52367921426
38.0	24363.4345298343
39.0	25154.091704744704
40.0	25078.08600392699
41.0	25428.040069624876
42.0	25915.09316732855
43.0	25982.620311412866
44.0	25966.781724201213
45.0	25745.577440915677
46.0	26238.369889575835
47.0	26251.561825094468
48.0	25819.431954314572
49.0	26158.017005718662
50.0	26031.028124844812
51.0	25902.152656258895
52.0	25871.976573001022
53.0	25778.072864601458
54.0	25627.261947318475
55.0	25758.575702624697
56.0	25747.673671329998
57.0	25824.858463767396
58.0	25802.330871018134
59.0	25704.86498604666
60.0	25748.719907272025
61.0	25921.9018565981
62.0	25989.5937657285
63.0	25869.743354625643
64.0	25242.048245477414
65.0	25028.596768562347
66.0	24593.442291683023
67.0	24334.727023077616
68.0	24475.677556660696
69.0	24603.462583615692
70.0	24733.014992361903
71.0	25006.71175716948
72.0	24980.052738396796
73.0	25055.281039461886
74.0	24355.499438497598
75.0	24118.695521416525
76.0	23509.620441325504
77.0	23092.69395176496
78.0	22980.763565789563
79.0	22297.624844795548
80.0	21959.250020525957
81.0	21563.92563533564
82.0	20920.863110045335
83.0	20149.98646147776
84.0	19706.007097817095
85.0	19283.69803297016
86.0	19122.490759874734
87.0	18908.039332743992
88.0	18496.520569796838
89.0	17455.296108979674
90.0	16662.71812416312
91.0	15718.835256448145
92.0	14749.711462332054
93.0	12781.914412710672
94.0	11222.043994610662
95.0	9247.961422736482
96.0	7401.154331304133
97.0	5331.860098071179
98.0	3185.1086346593415
99.0	869.6950842730959
